"产物中文名","产物ID","内容类型（JAR启发式）","未加载配方数","未加载配方ID列表","序列化类型","UNITE状态样例","备注"
"钢叶斩切刀","dungeonsdelight:steeleaf_cleaver","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/steeleaf_cleaver","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"钢叶刀","dungeonsdelight:steeleaf_knife","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/steeleaf_knife","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"杂碎包","dungeonsdelight:sweetbread","NON_FOOD","1","dungeonsdelight:integration/twilightforest/monster_cooking/misc/sweetbread","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"火炬浆果干","dungeonsdelight:torchberry_raisins","NON_FOOD","1","dungeonsdelight:integration/twilightforest/smoker/torchberry_raisins_from_smoking","minecraft:smoking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"高塔蛀虫卷饼","dungeonsdelight:tower_boreito","NON_FOOD","1","dungeonsdelight:integration/twilightforest/monster_cooking/meals/tower_boreito","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"巨魔莓酸辣酱","dungeonsdelight:trollber_chutney","NON_FOOD","1","dungeonsdelight:integration/twilightforest/cooking/drinks/trollber_chutney","farmersdelight:cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"箭毒饭团","dungeonsdelight:venomous_onigiri","NON_FOOD","1","dungeonsdelight:integration/aether/monster_cooking/misc/venomous_onigiri","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"荒野午宴","dungeonsdelight:wilderness_luncheon","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/wilderness_luncheon","minecraft:crafting_shapeless","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"紫晶斩切刀","dungeonsdelight:zanite_cleaver","NON_FOOD","1","dungeonsdelight:integration/aether/crafting_table/zanite_cleaver","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"紫晶刀","dungeonsdelight:zanite_knife","NON_FOOD","1","dungeonsdelight:integration/aether/crafting_table/zanite_knife","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"minecraft:tnt","minecraft:tnt","NON_FOOD","1","mynethersdelight:crafting/tnt_alt","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"patchouli:guide_book","patchouli:guide_book","NON_FOOD","1","bakeries:patchouli/baking_guide","minecraft:crafting_shapeless","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
