"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Rice Bread Dough","bakeries:rice_bread_dough","INGREDIENT","否","不进入厨师","ingredient_token=rice_bread_dough",""
"Round Bread Dough","bakeries:round_bread_dough","INGREDIENT","否","不进入厨师","ingredient_token=round_bread_dough",""
"Salt","bakeries:salt","INGREDIENT","否","不进入厨师","ingredient_process=bakeries:flour_sieve",""
"Salt Croissant Dough","bakeries:salt_croissant_dough","INGREDIENT","否","不进入厨师","ingredient_token=salt_croissant_dough",""
"Salted Dough","bakeries:salted_dough","INGREDIENT","否","不进入厨师","ingredient_token=salted_dough",""
"Salted Dough Fermentation","bakeries:salted_dough_fermentation","INGREDIENT","否","不进入厨师","ingredient_token=salted_dough_fermentation",""
"Sweet Dough","bakeries:sweet_dough","INGREDIENT","否","不进入厨师","ingredient_token=sweet_dough",""
"Sweet Dough Fermentation","bakeries:sweet_dough_fermentation","INGREDIENT","否","不进入厨师","ingredient_token=sweet_dough_fermentation",""
"Whole Egg","bakeries:whole_egg","INGREDIENT","否","不进入厨师","ingredient_process=bakeries:bread_knife",""
"Whole Wheat Bagel Dough","bakeries:whole_wheat_bagel_dough","INGREDIENT","否","不进入厨师","ingredient_token=whole_wheat_bagel_dough",""
"Whole Wheat Dough","bakeries:whole_wheat_dough","INGREDIENT","否","不进入厨师","ingredient_token=whole_wheat_dough",""
"Whole Wheat Dough Fermentation","bakeries:whole_wheat_dough_fermentation","INGREDIENT","否","不进入厨师","ingredient_token=whole_wheat_dough_fermentation",""
"Whole Wheat Flour","bakeries:whole_wheat_flour","INGREDIENT","否","不进入厨师","ingredient_token=whole_wheat_flour",""
"Whole Wheat Flour Bag","bakeries:whole_wheat_flour_bag","INGREDIENT","否","不进入厨师","ingredient_token=whole_wheat_flour_bag",""
"Flaxen Cheese Wedge","brewinandchewin:flaxen_cheese_wedge","INGREDIENT","是","不进入厨师","manual_override;奶酪楔切割产物","保持INGREDIENT"
"Scarlet Cheese Wedge","brewinandchewin:scarlet_cheese_wedge","INGREDIENT","是","不进入厨师","manual_override;奶酪楔切割产物","保持INGREDIENT"
"Cleaved Ancient Egg","dungeonsdelight:cleaved_ancient_egg","INGREDIENT","是","不进入厨师","manual_override;切割中间产物","保持INGREDIENT"
"Creeperilla Squib","dungeonsdelight:creeperilla_squib","INGREDIENT","是","不进入厨师","manual_override;切割中间产物","保持INGREDIENT"
"Ghast Calamari","dungeonsdelight:ghast_calamari","INGREDIENT","是","不进入厨师","manual_override;切割中间产物","保持INGREDIENT"
"Gunk","dungeonsdelight:gunk","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Rotgourd Slice","dungeonsdelight:rotgourd_slice","INGREDIENT","是","不进入厨师","manual_override;切割中间产物","保持INGREDIENT"
"Rotten Tripe","dungeonsdelight:rotten_tripe","INGREDIENT","是","不进入厨师","manual_override;切割中间产物","保持INGREDIENT"
"Sculk Mayo","dungeonsdelight:sculk_mayo","INGREDIENT","是","不进入厨师","manual_override;饥饿1/饱和0.4/虚弱副作用；被devilish_eggs等后续使用；酱料非宴席","6A.2驳回T3候选"
"Sculk Polyp","dungeonsdelight:sculk_polyp","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Slice of Sculk Tart","dungeonsdelight:sculk_tart_slice","INGREDIENT","是","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Wardenzola","dungeonsdelight:wardenzola","INGREDIENT","是","不进入厨师","manual_override;仅sculk_polyp×2+milk；被polterghast_pizza使用；奶酪中间产物","6A.2驳回T3候选"
"Wardenzola Crumbles","dungeonsdelight:wardenzola_crumbles","INGREDIENT","是","不进入厨师","manual_override;奶酪碎屑切割产物","保持INGREDIENT"
"Pumpkin Slice","farmersdelight:pumpkin_slice","INGREDIENT","是","不进入厨师","manual_override;南瓜片原料","保持INGREDIENT"
"Straw","farmersdelight:straw","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Flour","kaleidoscope_cookery:flour","INGREDIENT","否","不进入厨师","ingredient_token=flour",""
"Glow Berries Bucket","kaleidoscope_tavern:glow_berries_bucket","INGREDIENT","否","不进入厨师","fluid_only_pressing_tub_or_no_item_result",""
"Gold Grape Bucket","kaleidoscope_tavern:gold_grape_bucket","INGREDIENT","否","不进入厨师","fluid_only_pressing_tub_or_no_item_result",""
"Grape Bucket","kaleidoscope_tavern:grape_bucket","INGREDIENT","否","不进入厨师","fluid_only_pressing_tub_or_no_item_result",""
"Green Grape Bucket","kaleidoscope_tavern:green_grape_bucket","INGREDIENT","否","不进入厨师","fluid_only_pressing_tub_or_no_item_result",""
"Ice Grape Bucket","kaleidoscope_tavern:ice_grape_bucket","INGREDIENT","否","不进入厨师","fluid_only_pressing_tub_or_no_item_result",""
"Sweet Berries Bucket","kaleidoscope_tavern:sweet_berries_bucket","INGREDIENT","否","不进入厨师","fluid_only_pressing_tub_or_no_item_result",""
"Blaze Powder","minecraft:blaze_powder","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Brown Dye","minecraft:brown_dye","INGREDIENT","否","不进入厨师","ingredient_process=create:milling",""
"Crimson Fungus","minecraft:crimson_fungus","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Leather","minecraft:leather","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Stick","minecraft:stick","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Warped Fungus","minecraft:warped_fungus","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Ghasmati","mynethersdelight:ghasmati","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Ghast Dough","mynethersdelight:ghast_dough","INGREDIENT","是","不进入厨师","manual_override;面团中间产物","保持INGREDIENT"
"Ghasta With Cream","mynethersdelight:ghasta_with_cream","INGREDIENT","否","不进入厨师","ingredient_token=ghasta_with_cream",""
"Hot Cream","mynethersdelight:hot_cream","INGREDIENT","是","不进入厨师","manual_override;奶油酱料","保持INGREDIENT"
"Minced Strider","mynethersdelight:minced_strider","INGREDIENT","是","不进入厨师","manual_override;绞肉中间产物","保持INGREDIENT"
"Pepper Powder","mynethersdelight:pepper_powder","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Powdery Planks","mynethersdelight:powdery_planks","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
"Raw Stuffed Hoglin","mynethersdelight:raw_stuffed_hoglin","INGREDIENT","否","不进入厨师","manual_override;整盘生坯；无FOOD；需烹饪","生坯非SERVING_DISH"
"Strider Egg","mynethersdelight:strider_egg","INGREDIENT","是","不进入厨师","manual_override;切割/原料蛋","保持INGREDIENT"
"Block of Stripped Powdery Cannon","mynethersdelight:stripped_powdery_block","INGREDIENT","否","不进入厨师","ingredient_process=farmersdelight:cutting",""
