"产物中文名","产物ID","内容类型","分类证据","分类置信度","是否可食用","饥饿值","饱和度","效果","有效配方数","无效/JAR候选配方数","有效配方ID列表","未加载配方ID列表","序列化类型列表","来源模组","建议厨师档次","建议依据","T3证据","冲突说明","人工复审备注"
"Blender","bakeries:blender","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:blender","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Bottle Cream","bakeries:bottle_cream","INGREDIENT","explicit_ingredient_id","HIGH","否","","","","3","0","bakeries:blender/bottle_cream | bakeries:compat/create/bottle_cream | bakeries:integration/create/mixing/bottle_cream","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Bottle Milk","bakeries:bottle_milk","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:bottle_milk","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Bread Basket","bakeries:bread_basket","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:bread_basket","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Bread Holders","bakeries:bread_holders","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:bread_holders","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Bread Knife","bakeries:bread_knife","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","bakeries:bread_knife","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Bread Rack","bakeries:bread_rack","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:bread_rack","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Brown Sugar Cube","bakeries:brown_sugar_cube","INGREDIENT","ingredient_token=brown_sugar_cube","HIGH","否","","","","1","0","bakeries:brown_sugar_cube","","minecraft:smelting","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Brown Sugar Latte","bakeries:brown_sugar_latte","DRINK","recipe_type=bakeries:drink","HIGH","是","0","0","effect.minecraft.speed 600tick 1级 概率1","1","0","bakeries:drink/brown_sugar_latte","","bakeries:drink","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Brown Sugar Roll","bakeries:brown_sugar_roll","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","7","7","effect.bakeries.enjoy 600tick 1级 概率1","1","0","bakeries:oven/brown_sugar_roll","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Brown Sugar Roll Dough","bakeries:brown_sugar_roll_dough","INGREDIENT","ingredient_token=brown_sugar_roll_dough","HIGH","否","","","","1","0","bakeries:brown_sugar_roll_dough","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Butter Cube","bakeries:butter_cube","INGREDIENT","explicit_ingredient_id","HIGH","否","","","","3","0","bakeries:blender/butter_cube | bakeries:compat/create/butter_cube | bakeries:integration/create/mixing/butter_cube","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Butter Flour Sand","bakeries:butter_flour_sand","INGREDIENT","ingredient_token=butter_flour_sand","HIGH","否","","","","1","0","bakeries:integration/create/mixing/butter_flour_sand","","create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Cash Register Computer","bakeries:cash_register_computer","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:cash_register_computer","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Cheese Cream","bakeries:cheese_cream","INGREDIENT","manual_override;搅拌机奶油中间产物","HIGH","是","1","2","","3","0","bakeries:blender/cheese_cream | bakeries:compat/create/cheese_cream | bakeries:integration/create/mixing/cheese_cream","","bakeries:blender | create:mixing","Bakeries","不进入厨师","搅拌机奶油中间产物","","","保持INGREDIENT"
"Cheese Cream Bread","bakeries:cheese_cream_bread","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","6","12","effect.bakeries.cheese_power 1200tick 1级 概率1","1","0","bakeries:cheese_cream_bread","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Ciabatta","bakeries:ciabatta","DISH","cooking_device=bakeries:oven;food_component","HIGH","是","4","3.2","","1","0","bakeries:oven/ciabatta","","bakeries:oven","Bakeries","T2","设备或复杂度：type=bakeries:oven;kinds=1","","",""
"Ciabatta Dough","bakeries:ciabatta_dough","INGREDIENT","ingredient_token=ciabatta_dough","HIGH","否","","","","2","1","bakeries:compat/create/ciabatta_dough | bakeries:dough_crafting_table/ciabatta_dough__fermentation_gameplay","bakeries:dough_crafting_table/ciabatta_dough","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Cocoa Dough","bakeries:cocoa_dough","INGREDIENT","ingredient_token=cocoa_dough","HIGH","否","","","","2","0","bakeries:blender/cocoa_dough | bakeries:compat/create/cocoa_dough","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Cocoa Dough Fermentation","bakeries:cocoa_dough_fermentation","INGREDIENT","ingredient_token=cocoa_dough_fermentation","HIGH","否","","","","1","0","bakeries:fermentation_box/cocoa_dough_fermentation","","bakeries:fermentation_box","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Cocoa Powder","bakeries:cocoa_powder","INGREDIENT","ingredient_process=bakeries:flour_sieve","MEDIUM","否","","","","2","0","bakeries:flour_sieve/cocoa_powder | bakeries:integration/create/milling/cocoa_beans","","bakeries:flour_sieve | create:milling","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Coffee Bean","bakeries:coffee_bean","DRINK","drink_token=coffee_bean","HIGH","否","","","","2","0","bakeries:coffee_bean | bakeries:oven/coffee_bean","","minecraft:smelting | bakeries:oven","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Coffee Table","bakeries:coffee_table","DRINK","drink_token=coffee_table","HIGH","否","","","","1","0","bakeries:coffee_table","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Cooked Taro","bakeries:cooked_taro","DISH","cooking_device=minecraft:smelting;food_component","HIGH","是","6","7.2000003","","3","0","bakeries:cooked_taro | bakeries:cooked_taro_campfire_cooking | bakeries:cooked_taro_smoking","","minecraft:smelting | minecraft:campfire_cooking | minecraft:smoking","Bakeries","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Country Bread","bakeries:country_bread","SERVING_DISH","manual_override;无Item FOOD; javap class=CountryBreadBlock extends AKnifeCutBlock; getSliceItem=COUNTRY_BREAD_SLICE getMaxSlice=4; useItemOn knife cut; recipe id=bakeries:oven/country_bread (dough→country_bread); bread_knife recipe→country_bread_slice×6; 整盘切片非整盘手持料理","HIGH","否","","","","1","0","bakeries:oven/country_bread","","bakeries:oven","Bakeries","不进入厨师","无Item FOOD; javap class=CountryBreadBlock extends AKnifeCutBlock; getSliceItem=COUNTRY_BREAD_SLICE getMaxSlice=4; useItemOn knife cut; recipe id=bakeries:oven/country_bread (dough→country_bread); bread_knife recipe→country_bread_slice×6; 整盘切片非整盘手持料理","","","Bakeries;6A.3原REVIEW→SERVING_DISH; FG仅未来展示意图"
"Country Bread Dough","bakeries:country_bread_dough","INGREDIENT","ingredient_token=country_bread_dough","HIGH","否","","","","2","1","bakeries:compat/create/country_bread_dough | bakeries:dough_crafting_table/country_bread_dough__fermentation_gameplay","bakeries:dough_crafting_table/country_bread_dough","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Country Bread Slice","bakeries:country_bread_slice","DISH","dish_token;edible=true;type=bakeries:bread_knife","HIGH","是","4","3.2","","1","0","bakeries:bread_knife/country_bread_slice","","bakeries:bread_knife","Bakeries","T2","正餐/甜点名称","","",""
"Cream Bingle Coffee","bakeries:cream_bingle_coffee","DRINK","recipe_type=bakeries:drink","HIGH","是","1","1","effect.minecraft.speed 600tick 1级 概率1","1","0","bakeries:drink/cream_bingle_coffee","","bakeries:drink","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Croissant","bakeries:croissant","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","6","12","effect.bakeries.enjoy 1200tick 1级 概率1","1","0","bakeries:oven/croissant","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Croissant Dough","bakeries:croissant_dough","INGREDIENT","ingredient_token=croissant_dough","HIGH","否","","","","2","0","bakeries:compat/create/croissant_dough | bakeries:dough_crafting_table/croissant_dough","","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Cupboard","bakeries:cupboard","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:cupboard","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Dirty Choco Croissant","bakeries:dirty_choco_croissant","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","6","12","effect.bakeries.enjoy 1200tick 1级 概率1；effect.bakeries.cocoa_mania 1200tick 1级 概率1","1","0","bakeries:dirty_choco_croissant","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Dough Crafting Table","bakeries:dough_crafting_table","INGREDIENT","ingredient_token=dough_crafting_table","HIGH","否","","","","1","0","bakeries:dough_crafting_table","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Glass Drink Cup","bakeries:drink_cup","DRINK","drink_token=drink_cup","HIGH","否","","","","1","0","bakeries:drink_cup","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Egg Tart","bakeries:egg_tart","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","8","8","effect.minecraft.instant_health 1tick 1级 概率1","1","0","bakeries:oven/egg_tart","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Egg Tart Shell","bakeries:egg_tart_shell","INGREDIENT","manual_override;蛋挞皮生坯/壳；无FOOD","HIGH","否","","","","2","0","bakeries:compat/create/egg_tart_shell | bakeries:dough_crafting_table/egg_tart_shell","","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","蛋挞皮生坯/壳；无FOOD","","","禁止dishStrong误判"
"Fermentation Box","bakeries:fermentation_box","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:fermentation_box","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Fermentation Tank","bakeries:fermentation_tank","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:fermentation_tank","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Flat Croissant","bakeries:flat_croissant","DISH","dish_token;edible=true;type=create:pressing","HIGH","是","6","12","effect.bakeries.enjoy 600tick 1级 概率1；effect.minecraft.resistance 600tick 1级 概率1","1","0","bakeries:integration/create/pressing/flat_croissant","","create:pressing","Bakeries","T2","正餐/甜点名称","","",""
"Flour","bakeries:flour","INGREDIENT","ingredient_token=flour","HIGH","否","","","","1","0","bakeries:flour_of_flour_bag","","minecraft:crafting_shapeless","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Flour Bag","bakeries:flour_bag","INGREDIENT","ingredient_token=flour_bag","HIGH","否","","","","1","0","bakeries:flour_bag","","minecraft:crafting_shapeless","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Flour Sieve","bakeries:flour_sieve","INGREDIENT","ingredient_token=flour_sieve","HIGH","否","","","","1","0","bakeries:flour_sieve","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Foamed Cream","bakeries:foamed_cream","INGREDIENT","manual_override;发泡奶油中间产物","HIGH","是","1","2","","3","0","bakeries:blender/foamed_cream | bakeries:compat/create/foamed_cream | bakeries:integration/create/mixing/foamed_cream","","bakeries:blender | create:mixing","Bakeries","不进入厨师","发泡奶油中间产物","","","保持INGREDIENT"
"Focaccia","bakeries:focaccia","DISH","cooking_device=bakeries:oven;food_component","HIGH","是","8","16","effect.bakeries.enjoy 600tick 2级 概率1","1","0","bakeries:oven/focaccia","","bakeries:oven","Bakeries","T2","设备或复杂度：type=bakeries:oven;kinds=1","","",""
"Focaccia Dough","bakeries:focaccia_dough","INGREDIENT","ingredient_token=focaccia_dough","HIGH","否","","","","1","0","bakeries:focaccia","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Fresh Cheese Cube","bakeries:fresh_cheese_cube","INGREDIENT","manual_override;芝士立方中间产物","HIGH","是","1","2","","2","0","bakeries:blender/fresh_cheese_cube | bakeries:compat/create/fresh_cheese_cube","","bakeries:blender | create:mixing","Bakeries","不进入厨师","芝士立方中间产物","","","保持INGREDIENT"
"Glass Bread Rack","bakeries:glass_bread_rack","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","bakeries:glass_bread_rack","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Glass Cabinet Door","bakeries:glass_cabinet_door","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","bakeries:glass_cabinrt_door","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Ground Coffee","bakeries:ground_coffee","DRINK","drink_token=ground_coffee","HIGH","否","","","","2","0","bakeries:ground_coffee | bakeries:integration/create/milling/ground_coffee","","minecraft:crafting_shapeless | create:milling","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Honey Butter","bakeries:honey_butter","INGREDIENT","ingredient_process=bakeries:blender","MEDIUM","否","","","","3","0","bakeries:blender/honey_butter | bakeries:compat/create/honey_butter | bakeries:integration/create/mixing/honey_butter","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Honey Butter Spread Country Bread","bakeries:honey_butter_spread_country_bread","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","6","7.7999997","","1","0","bakeries:honey_butter_spread_country_bread","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Honey Butter Spread Toast","bakeries:honey_butter_spread_toast","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","8","8","","1","0","bakeries:honey_butter_spread_toast","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Iced American","bakeries:iced_american","DRINK","recipe_type=bakeries:drink","HIGH","是","0","0","effect.minecraft.speed 600tick 1级 概率1","1","0","bakeries:drink/iced_american","","bakeries:drink","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Iced Latte","bakeries:iced_latte","DRINK","recipe_type=bakeries:drink","HIGH","是","0","0","effect.minecraft.speed 600tick 1级 概率1","1","0","bakeries:drink/iced_latte","","bakeries:drink","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Luminous Light Sign","bakeries:luminous_light_sign","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","bakeries:luminous_light_sign","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Mashed Taro","bakeries:mashed_taro","INGREDIENT","manual_override;芋泥馅料","HIGH","是","1","1","","2","0","bakeries:blender/mashed_taro | bakeries:compat/create/mashed_taro","","bakeries:blender | create:mixing","Bakeries","不进入厨师","芋泥馅料","","","保持INGREDIENT"
"Matcha Latte","bakeries:matcha_latte","DRINK","recipe_type=bakeries:drink","HIGH","是","1","1","effect.minecraft.speed 600tick 1级 概率1；effect.minecraft.haste 600tick 1级 概率1","1","0","bakeries:drink/matcha_latte","","bakeries:drink","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Matcha Parfait","bakeries:matcha_parfait","DISH","dish_token;edible=true;type=bakeries:blender","HIGH","是","9","9","effect.minecraft.speed 600tick 1级 概率1；effect.minecraft.haste 600tick 1级 概率1","2","0","bakeries:blender/matcha_parfait | bakeries:compat/create/matcha_parfait","","bakeries:blender | create:mixing","Bakeries","T2","正餐/甜点名称","","",""
"Matcha Powder","bakeries:matcha_powder","INGREDIENT","ingredient_process=bakeries:flour_sieve","MEDIUM","否","","","","2","0","bakeries:flour_sieve/matcha_powder | bakeries:integration/create/milling/matcha_powder","","bakeries:flour_sieve | create:milling","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Meat Floss","bakeries:meat_floss","INGREDIENT","manual_override;肉松馅料","HIGH","是","2","3.2","","3","0","bakeries:blender/meat_floss | bakeries:compat/create/meat_floss | bakeries:integration/create/mixing/meat_floss","","bakeries:blender | create:mixing","Bakeries","不进入厨师","肉松馅料","","","保持INGREDIENT"
"Meat Floss Bread Roll","bakeries:meat_floss_bread_roll","DISH","manual_override;FOOD nutrition=7 saturation=10.5; recipe id=bakeries:meat_floss_bread_roll (sliced_toast×4+meat_floss×4+bearnaise)×4; 多原料点心","HIGH","是","7","10.5","","1","0","bakeries:meat_floss_bread_roll","","minecraft:crafting_shapeless","Bakeries","T2","FOOD nutrition=7 saturation=10.5; recipe id=bakeries:meat_floss_bread_roll (sliced_toast×4+meat_floss×4+bearnaise)×4; 多原料点心","","","Bakeries;6A.3原REVIEW→DISH T2"
"Menu","bakeries:menu","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:menu","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Moka Pot","bakeries:moka_pot","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","bakeries:moka_pot","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Mould","bakeries:mould","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:mould","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Mould Cheese Cocoa Toast","bakeries:mould_cheese_cocoa_toast","INGREDIENT","manual_override;无FOOD; javap class=MouldToastBlock implements IMouldBlock; demould take→cheese_cocoa_toast; recipe id=bakeries:oven/cheese_cocoa_toast; bread_knife ingredient=cheese_cocoa_toast 非mould; 模具中间态","HIGH","否","","","","1","0","bakeries:oven/cheese_cocoa_toast","","bakeries:oven","Bakeries","不进入厨师","无FOOD; javap class=MouldToastBlock implements IMouldBlock; demould take→cheese_cocoa_toast; recipe id=bakeries:oven/cheese_cocoa_toast; bread_knife ingredient=cheese_cocoa_toast 非mould; 模具中间态","","","Bakeries;6A.3原REVIEW→INGREDIENT 不进入普通厨师档"
"Mould Cheese Cocoa Toast Dough","bakeries:mould_cheese_cocoa_toast_dough","INGREDIENT","ingredient_token=mould_cheese_cocoa_toast_dough","HIGH","否","","","","1","0","bakeries:cheese_cocoa_toast_dough","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Mould Toast","bakeries:mould_toast","INGREDIENT","manual_override;无FOOD; javap class=MouldToastBlock implements IMouldBlock; demouldItem take()给出脱模内容; recipe id=bakeries:oven/toast dough→mould_toast; bread_knife 切片输入是 bakeries:toast 非本物品; 模具中间态不进入普通厨师档","HIGH","否","","","","1","0","bakeries:oven/toast","","bakeries:oven","Bakeries","不进入厨师","无FOOD; javap class=MouldToastBlock implements IMouldBlock; demouldItem take()给出脱模内容; recipe id=bakeries:oven/toast dough→mould_toast; bread_knife 切片输入是 bakeries:toast 非本物品; 模具中间态不进入普通厨师档","","","Bakeries;6A.3原REVIEW→INGREDIENT 保守不进厨师"
"Mould Toast Dough","bakeries:mould_toast_dough","INGREDIENT","ingredient_token=mould_toast_dough","HIGH","否","","","","2","0","bakeries:integration/create/sequenced_assembly/mould_toast_dough | bakeries:toast_dough","","create:sequenced_assembly | minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Olive Oil","bakeries:olive_oil","INGREDIENT","ingredient_process=bakeries:blender","MEDIUM","否","","","","4","0","bakeries:blender/olive_oil | bakeries:compat/create/olive_oil | bakeries:integration/create/mixing/olive_oil | bakeries:olive_oil","","bakeries:blender | create:mixing | minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Oven","bakeries:oven","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:oven","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Pastry","bakeries:pastry","NON_FOOD","not_edible","MEDIUM","否","","","","2","0","bakeries:integration/create/mixing/pastry | bakeries:pastry","","create:mixing | minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Pineapple Bun","bakeries:pineapple_bun","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","6","18","effect.bakeries.enjoy 1200tick 1级 概率1","1","0","bakeries:oven/pineapple_bun","","bakeries:oven","Bakeries","T2","设备或复杂度：type=bakeries:oven;kinds=1","","",""
"Pineapple Bun Dough","bakeries:pineapple_bun_dough","INGREDIENT","ingredient_token=pineapple_bun_dough","HIGH","否","","","","1","0","bakeries:pineapple_bun_dough","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Pineapple Oil","bakeries:pineapple_oil","INGREDIENT","manual_override;油脂原料","HIGH","是","8","24","effect.bakeries.enjoy 1800tick 2级 概率1","1","0","bakeries:pineapple_oil","","minecraft:crafting_shapeless","Bakeries","不进入厨师","油脂原料","","","保持INGREDIENT"
"Raw Egg Tart","bakeries:raw_egg_tart","INGREDIENT","manual_override;未烘焙蛋挞；无FOOD","HIGH","否","","","","1","0","bakeries:raw_egg_tart","","minecraft:crafting_shapeless","Bakeries","不进入厨师","未烘焙蛋挞；无FOOD","","","禁止dishStrong误判"
"Raw Yolk","bakeries:raw_egg_yolk","INGREDIENT","ingredient_token=raw_egg_yolk","HIGH","否","","","","1","0","bakeries:bread_knife/raw_egg_yolk","","bakeries:bread_knife","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Rice Bread","bakeries:rice_bread","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","12","9.6","effect.bakeries.enjoy 600tick 1级 概率1","1","0","bakeries:oven/rice_bread","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Rice Bread Dough","bakeries:rice_bread_dough","INGREDIENT","ingredient_token=rice_bread_dough","HIGH","否","","","","1","0","bakeries:compat/rice_bread_dough","","minecraft:crafting_shapeless","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Round Bread","bakeries:round_bread","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","3","3.6000001","","1","0","bakeries:oven/round_bread","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Round Bread Dough","bakeries:round_bread_dough","INGREDIENT","ingredient_token=round_bread_dough","HIGH","否","","","","2","1","bakeries:compat/create/round_bread_dough | bakeries:dough_crafting_table/round_bread_dough__fermentation_gameplay","bakeries:dough_crafting_table/round_bread_dough","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Salmon Sandwich","bakeries:salmon_sandwich","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","12","9.6","effect.bakeries.enjoy 600tick 1级 概率1","1","0","bakeries:compat/salmon_sandwich","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Salt","bakeries:salt","INGREDIENT","ingredient_process=bakeries:flour_sieve","MEDIUM","否","","","","4","0","bakeries:flour_sieve/salt | bakeries:integration/create/milling/salt | bakeries:salt_ore | bakeries:salt_ore_2","","bakeries:flour_sieve | create:milling | minecraft:smelting","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Salt Croissant","bakeries:salt_croissant","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","6","12","effect.bakeries.enjoy 600tick 1级 概率1；effect.minecraft.strength 600tick 1级 概率1","1","0","bakeries:oven/salt_croissant","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Salt Croissant Dough","bakeries:salt_croissant_dough","INGREDIENT","ingredient_token=salt_croissant_dough","HIGH","否","","","","1","0","bakeries:salt_croissant_dough","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
