模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
万花筒烹饪,pot/kelp_to_dried_kelp_4.json,干海带(minecraft:dried_kelp),4,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_5.json,干海带(minecraft:dried_kelp),5,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_6.json,干海带(minecraft:dried_kelp),6,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_7.json,干海带(minecraft:dried_kelp),7,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_8.json,干海带(minecraft:dried_kelp),8,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_9.json,干海带(minecraft:dried_kelp),9,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,flex_pot/candied_potato.json,拔丝土豆(kaleidoscope_cookery:candied_potato),1,炒锅(灵活),糖(minecraft:sugar) + 马铃薯(minecraft:potato),载体:碗(minecraft:bowl),20,22.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/candied_potato.json,拔丝土豆(kaleidoscope_cookery:candied_potato),1,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 糖(minecraft:sugar) + 糖(minecraft:sugar),载体:碗(minecraft:bowl),20,22.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/crystal_lamb_chop.json,水晶羊排(kaleidoscope_cookery:crystal_lamb_chop),1,炒锅(灵活),紫水晶碎片(minecraft:amethyst_shard) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl),13,16.0,急迫2 5分,原始(统一基准),
万花筒烹饪,pot/crystal_lamb_chop.json,水晶羊排(kaleidoscope_cookery:crystal_lamb_chop),1,炒锅(置于炉灶上),紫水晶碎片(minecraft:amethyst_shard) + 紫水晶碎片(minecraft:amethyst_shard) + 紫水晶碎片(minecraft:amethyst_shard) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl),13,16.0,急迫2 5分,原始(统一基准),
万花筒烹饪,flex_pot/oil_splashed_fish.json,油泼鱼(kaleidoscope_cookery:oil_splashed_fish),1,炒锅(灵活),生鱼(#c:raw_fishes) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/oil_splashed_fish.json,油泼鱼(kaleidoscope_cookery:oil_splashed_fish),1,炒锅(置于炉灶上),生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/fried_caterpillar.json,油炸猪儿虫(kaleidoscope_cookery:fried_caterpillar),1,炒锅(灵活),毛虫(#kaleidoscope_cookery:caterpillars),载体:碗(minecraft:bowl),12,19.2,胀气 10秒,原始(统一基准),
万花筒烹饪,pot/fried_caterpillar.json,油炸猪儿虫(kaleidoscope_cookery:fried_caterpillar),1,炒锅(置于炉灶上),毛虫(#kaleidoscope_cookery:caterpillars) + 毛虫(#kaleidoscope_cookery:caterpillars) + 毛虫(#kaleidoscope_cookery:caterpillars),载体:碗(minecraft:bowl),12,19.2,胀气 10秒,原始(统一基准),
农夫乐事(万花筒机器),pot/modify/fried_rice.json,炒饭(farmersdelight:fried_rice),1,炒锅(置于炉灶上),稻米(#c:crops/rice) + 蛋(#c:eggs) + 胡萝卜(#c:crops/carrot) + 洋葱(#c:crops/onion),载体:碗(minecraft:bowl),12,19.2,营养 3分,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,flex_pot/fried_spring_roll.json,炸春卷(kaleidoscope_cookery:fried_spring_roll),1,炒锅(灵活),幻翼膜(minecraft:phantom_membrane) + 生猪排(#c:foods/raw_pork) + 蘑菇(#c:mushrooms),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/fried_spring_roll.json,炸春卷(kaleidoscope_cookery:fried_spring_roll),1,炒锅(置于炉灶上),幻翼膜(minecraft:phantom_membrane) + 幻翼膜(minecraft:phantom_membrane) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 蘑菇(#c:mushrooms) + 蘑菇(#c:mushrooms),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/blaze_lamb_chop.json,烈焰羊排(kaleidoscope_cookery:blaze_lamb_chop),1,炒锅(灵活),烈焰粉(minecraft:blaze_powder) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl),13,16.0,抗火 1分20秒,原始(统一基准),
万花筒烹饪,pot/blaze_lamb_chop.json,烈焰羊排(kaleidoscope_cookery:blaze_lamb_chop),1,炒锅(置于炉灶上),烈焰粉(minecraft:blaze_powder) + 烈焰粉(minecraft:blaze_powder) + 烈焰粉(minecraft:blaze_powder) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl),13,16.0,抗火 1分20秒,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_1.json,烤马铃薯(minecraft:baked_potato),1,炒锅(置于炉灶上),马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_2.json,烤马铃薯(minecraft:baked_potato),2,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_3.json,烤马铃薯(minecraft:baked_potato),3,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_4.json,烤马铃薯(minecraft:baked_potato),4,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_5.json,烤马铃薯(minecraft:baked_potato),5,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_6.json,烤马铃薯(minecraft:baked_potato),6,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_7.json,烤马铃薯(minecraft:baked_potato),7,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_8.json,烤马铃薯(minecraft:baked_potato),8,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/potato_to_baked_potato_9.json,烤马铃薯(minecraft:baked_potato),9,炒锅(置于炉灶上),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato),,,,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_1.json,煎蛋(kaleidoscope_cookery:fried_egg),1,炒锅(置于炉灶上),蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_2.json,煎蛋(kaleidoscope_cookery:fried_egg),2,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_3.json,煎蛋(kaleidoscope_cookery:fried_egg),3,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_4.json,煎蛋(kaleidoscope_cookery:fried_egg),4,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_5.json,煎蛋(kaleidoscope_cookery:fried_egg),5,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_6.json,煎蛋(kaleidoscope_cookery:fried_egg),6,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_7.json,煎蛋(kaleidoscope_cookery:fried_egg),7,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_8.json,煎蛋(kaleidoscope_cookery:fried_egg),8,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/egg_to_fried_egg_9.json,煎蛋(kaleidoscope_cookery:fried_egg),9,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),,4,4.0,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_1.json,熟丸子(kaleidoscope_cookery:cooked_meatball),1,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_2.json,熟丸子(kaleidoscope_cookery:cooked_meatball),2,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_3.json,熟丸子(kaleidoscope_cookery:cooked_meatball),3,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_4.json,熟丸子(kaleidoscope_cookery:cooked_meatball),4,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_5.json,熟丸子(kaleidoscope_cookery:cooked_meatball),5,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_6.json,熟丸子(kaleidoscope_cookery:cooked_meatball),6,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_7.json,熟丸子(kaleidoscope_cookery:cooked_meatball),7,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_8.json,熟丸子(kaleidoscope_cookery:cooked_meatball),8,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_meatball_to_cooked_meatball_9.json,熟丸子(kaleidoscope_cookery:cooked_meatball),9,炒锅(置于炉灶上),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,8,12.8,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_1.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),1,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_2.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),2,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_3.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),3,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_4.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),4,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_5.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),5,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_6.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),6,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_7.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),7,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_8.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),8,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_pork_belly_to_cooked_pork_belly_9.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),9,炒锅(置于炉灶上),生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly) + 生五花肉(kaleidoscope_cookery:raw_pork_belly),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_1.json,熟兔肉(minecraft:cooked_rabbit),1,炒锅(置于炉灶上),生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_2.json,熟兔肉(minecraft:cooked_rabbit),2,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_3.json,熟兔肉(minecraft:cooked_rabbit),3,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_4.json,熟兔肉(minecraft:cooked_rabbit),4,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_5.json,熟兔肉(minecraft:cooked_rabbit),5,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_6.json,熟兔肉(minecraft:cooked_rabbit),6,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_7.json,熟兔肉(minecraft:cooked_rabbit),7,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_8.json,熟兔肉(minecraft:cooked_rabbit),8,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/rabbit_to_cooked_rabbit_9.json,熟兔肉(minecraft:cooked_rabbit),9,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit),,,,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_1.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),1,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_2.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),2,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_3.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),3,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
