"dependencyId","dependencyKind","occurrenceRows","affectedTargetCount","affectedTargetIds","affectedTiers","currentPrice","currentPriceSource","priceConfidence","containerDecision","suggestedPrice","suggestedPriceEvidence","economicRisk","decision"
"dungeonsdelight:spider_pie_slice","ITEM","1","1","dungeonsdelight:spider_pie_slice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:wormroot_stalk","ITEM","6","6","dungeonsdelight:bubblegunk;dungeonsdelight:necronog;dungeonsdelight:slicorice;mynethersdelight:bacon-wrapped_sausage_on_a_stick;mynethersdelight:red_loin_on_a_stick;mynethersdelight:tear_popsicle","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:wormroot_tendrils","ITEM","6","6","dungeonsdelight:bubblegunk;dungeonsdelight:necronog;dungeonsdelight:slicorice;mynethersdelight:bacon-wrapped_sausage_on_a_stick;mynethersdelight:red_loin_on_a_stick;mynethersdelight:tear_popsicle","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"farmersdelight:fried_egg","ITEM","1","1","dungeonsdelight:gyudon","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"farmersdelight:rotten_tomato","ITEM","3","3","dungeonsdelight:chicken_jockey_sandwich;dungeonsdelight:ghoulash;dungeonsdelight:monster_burger","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"farmersrespite:blazing_chili","ITEM","1","1","mynethersdelight:chilidog","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:blaze_powder","ITEM","1","1","mynethersdelight:sizzling_pudding","T2","25","人工定价(PROVISIONAL):配方派生(循环证明)","PROVISIONAL","","","","仅猜想锚点，禁止进入正式池","PROVISIONAL"
"minecraft:bucket","ITEM","4","4","mynethersdelight:hot_cream_cone;mynethersdelight:hot_wings;mynethersdelight:hot_wings_bucket;mynethersdelight:magma_cake_slice","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:calibrated_sculk_sensor","ITEM","3","3","dungeonsdelight:amethyst_rock_candy;dungeonsdelight:sculk_apple;dungeonsdelight:trial_freakshake","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:echo_shard","ITEM","1","1","dungeonsdelight:echo_rock_candy","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:fermented_spider_eye","ITEM","3","3","dungeonsdelight:monster_burger;dungeonsdelight:spider_pie_slice;dungeonsdelight:spider_salmagundi","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:glass_bottle","ITEM","11","8","bakeries:bagel_filled_sauce;bakeries:cheese_cream_bread;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:focaccia;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:taro_salt_yolk_bread","T2","2","人工定价(PROVISIONAL):服务器既有猜想锚点","PROVISIONAL","","","","仅猜想锚点，禁止进入正式池","PROVISIONAL"
"minecraft:lava_bucket","ITEM","2","2","mynethersdelight:hot_cream_cone;mynethersdelight:magma_cake_slice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:moss_block","ITEM","5","4","dungeonsdelight:chloropasta;dungeonsdelight:cooked_snifferwurst;dungeonsdelight:snifferwurst;dungeonsdelight:snuffledog","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:poisonous_potato","ITEM","3","3","dungeonsdelight:au_rotten_potatoes;dungeonsdelight:bloated_baked_potato;dungeonsdelight:poisonous_poutine","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:rotten_flesh","ITEM","2","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","2","人工定价(PROVISIONAL):服务器既有猜想锚点","PROVISIONAL","","","","仅猜想锚点，禁止进入正式池","PROVISIONAL"
"minecraft:sniffer_egg","ITEM","1","1","dungeonsdelight:soft_serve_sniffer_egg","COMMON","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:soul_sand","ITEM","1","1","dungeonsdelight:ghastly_spirits","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:twisting_vines","ITEM","2","2","dungeonsdelight:ghast_roll;mynethersdelight:nether_burger","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"minecraft:wind_charge","ITEM","7","5","dungeonsdelight:breeze_cream_cone;dungeonsdelight:jelly_beans;dungeonsdelight:marshbellow;dungeonsdelight:trial_freakshake;dungeonsdelight:wispy_rice_ball","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:bullet_pepper","ITEM","63","7","mynethersdelight:fried_hoglin_chop;mynethersdelight:hot_cream_cone;mynethersdelight:magma_cake_slice;mynethersdelight:sizzling_pudding;mynethersdelight:spicy_hoglin_stew;mynethersdelight:spicy_skewer;mynethersdelight:stuffed_pepper","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:crimson_fungus_colony","ITEM","5","5","mynethersdelight:crimson_stroganoff;mynethersdelight:nether_burger;mynethersdelight:red_loin_on_a_stick;mynethersdelight:strider_stew;mynethersdelight:strider_with_grilled_fungus","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:ghast_dough","ITEM","4","2","brewinandchewin:ham_and_cheese_sandwich;minecraft:bread","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:ghast_sourdough","ITEM","2","2","mynethersdelight:slices_of_bread;mynethersdelight:toasts","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:ghasta","ITEM","11","9","brewinandchewin:ham_and_cheese_sandwich;minecraft:bread;mynethersdelight:dried_ghast_with_milk;mynethersdelight:fries_ghasta;mynethersdelight:sizzling_pudding;mynethersdelight:slices_of_bread;mynethersdelight:spicy_cotton;mynethersdelight:toasts;mynethersdelight:twisted_ghasta","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hoglin_hide","ITEM","4","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hoglin_loin","ITEM","28","17","mynethersdelight:bacon-wrapped_sausage_on_a_stick;mynethersdelight:blue_tenderloin_steak;mynethersdelight:breakfast_sampler;mynethersdelight:chilidog;mynethersdelight:cooked_loin;mynethersdelight:deviled_egg;mynethersdelight:fried_hoglin_chop;mynethersdelight:hoglin_sausage;mynethersdelight:hotdog;mynethersdelight:hotdog_with_mixed_salad;mynethersdelight:hotdog_with_nether_salad;mynethersdelight:nether_burger;mynethersdelight:red_loin_on_a_stick;mynethersdelight:roasted_sausage;mynethersdelight:sausage_and_potatoes;mynethersdelight:scotch_eggs;mynethersdelight:spicy_hoglin_stew","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hoglin_trophy","ITEM","4","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hot_cream","ITEM","1","1","mynethersdelight:magma_cake_slice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hot_cream_cone","ITEM","3","1","mynethersdelight:hot_cream_cone","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hot_wings","ITEM","3","1","mynethersdelight:hot_wings","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:hot_wings_bucket","ITEM","1","1","mynethersdelight:hot_wings_bucket","COMMON","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:magma_cake_slice","ITEM","7","1","mynethersdelight:magma_cake_slice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:powder_cannon","ITEM","12","7","mynethersdelight:bacon-wrapped_sausage_on_a_stick;mynethersdelight:blue_tenderloin_steak;mynethersdelight:hot_cream_cone;mynethersdelight:magma_cake_slice;mynethersdelight:red_loin_on_a_stick;mynethersdelight:strider_stew;mynethersdelight:tear_popsicle","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:strider_rock","ITEM","2","2","mynethersdelight:breakfast_sampler;mynethersdelight:rock_soup","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:strider_slice","ITEM","4","4","mynethersdelight:bleeding_tartar;mynethersdelight:chilidog;mynethersdelight:crimson_stroganoff;mynethersdelight:strider_with_grilled_fungus","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:warped_fungus_colony","ITEM","7","7","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara;mynethersdelight:blue_tenderloin_steak;mynethersdelight:nether_burger;mynethersdelight:strider_stew;mynethersdelight:strider_with_grilled_fungus;mynethersdelight:twisted_ghasta","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"mynethersdelight:zoglin_trophy","ITEM","4","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:adzuki_beans","ITEM","6","6","neapolitan:adzuki_bun;neapolitan:adzuki_curry;neapolitan:adzuki_ice_cream;neapolitan:adzuki_stew;neapolitan:roasted_adzuki_beans;neapolitan:strawberry_bean_bonbons","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:chocolate_bar","ITEM","1","1","neapolitan:chocolate_bar","COMMON","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:dried_vanilla_pods","ITEM","6","6","neapolitan:dried_vanilla_pods;neapolitan:neapolitan_ice_cream;neapolitan:vanilla_chocolate_fingers;neapolitan:vanilla_fudge;neapolitan:vanilla_ice_cream;neapolitan:vanilla_pudding","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:ice_cubes","ITEM","26","9","bakeries:matcha_parfait;mynethersdelight:tear_popsicle;neapolitan:adzuki_ice_cream;neapolitan:banana_ice_cream;neapolitan:chocolate_ice_cream;neapolitan:mint_ice_cream;neapolitan:neapolitan_ice_cream;neapolitan:strawberry_ice_cream;neapolitan:vanilla_ice_cream","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:mint_leaves","ITEM","5","5","neapolitan:cooked_mint_chops;neapolitan:mint_candies;neapolitan:mint_chocolate;neapolitan:mint_chops;neapolitan:mint_ice_cream","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:roasted_adzuki_beans","ITEM","6","6","neapolitan:adzuki_bun;neapolitan:adzuki_curry;neapolitan:adzuki_ice_cream;neapolitan:adzuki_stew;neapolitan:roasted_adzuki_beans;neapolitan:strawberry_bean_bonbons","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"neapolitan:vanilla_pods","ITEM","6","6","neapolitan:dried_vanilla_pods;neapolitan:neapolitan_ice_cream;neapolitan:vanilla_chocolate_fingers;neapolitan:vanilla_fudge;neapolitan:vanilla_ice_cream;neapolitan:vanilla_pudding","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"#brewinandchewin:foods/cheese_wedge","TAG","6","5","brewinandchewin:creamy_onion_soup;brewinandchewin:horror_lasagna;brewinandchewin:pizza_slice;brewinandchewin:quiche_slice;brewinandchewin:vegetable_omelet","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#brewinandchewin:foods/pizza_topping","TAG","1","1","brewinandchewin:pizza_slice","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:butter","TAG","92","20","bakeries:bagel;bakeries:bagel_filled_sauce;bakeries:berry_bagel;bakeries:brown_sugar_roll;bakeries:cheese_cream_bread;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:flat_croissant;bakeries:focaccia;bakeries:honey_butter_spread_country_bread;bakeries:honey_butter_spread_toast;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:round_bread;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:cheese","TAG","1","1","bakeries:tomato_cheese_croissant_sandwich","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:flours/wheat","TAG","67","24","bakeries:bagel;bakeries:bagel_filled_sauce;bakeries:baguette;bakeries:baguette_with_filling;bakeries:berry_bagel;bakeries:brown_sugar_roll;bakeries:cheese_cream_bread;bakeries:ciabatta;bakeries:country_bread_slice;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:flat_croissant;bakeries:focaccia;bakeries:honey_butter_spread_country_bread;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:round_bread;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich;bakeries:whole_wheat_bagel","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/banana","TAG","8","4","neapolitan:adzuki_curry;neapolitan:banana_bread;neapolitan:banana_ice_cream;neapolitan:dried_banana","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/boiled_egg","TAG","4","3","mynethersdelight:deviled_egg;mynethersdelight:egg_soup;mynethersdelight:scotch_eggs","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/cabbage","TAG","1","1","brewinandchewin:scarlet_pierogi","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/chocolate_bar","TAG","7","6","neapolitan:chocolate_ice_cream;neapolitan:chocolate_spider_eye;neapolitan:chocolate_strawberries;neapolitan:mint_chocolate;neapolitan:neapolitan_ice_cream;neapolitan:vanilla_chocolate_fingers","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/giant_tentacles","TAG","2","1","mynethersdelight:giant_takoyaki","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/onion","TAG","3","3","brewinandchewin:creamy_onion_soup;brewinandchewin:vegetable_omelet;mynethersdelight:egg_soup","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/raw_ghast","TAG","1","1","mynethersdelight:ghast_salad","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/raw_hoglin","TAG","1","1","mynethersdelight:spicy_noodle_soup","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/raw_strider","TAG","2","2","mynethersdelight:spicy_skewer;mynethersdelight:strider_stew","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/rice_pasta","TAG","1","1","mynethersdelight:spicy_noodle_soup","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/safe_raw_fish","TAG","1","1","brewinandchewin:cheesy_pasta","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/strawberry","TAG","6","5","neapolitan:chocolate_strawberries;neapolitan:neapolitan_ice_cream;neapolitan:strawberry_bean_bonbons;neapolitan:strawberry_ice_cream;neapolitan:strawberry_scones","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:foods/tomato","TAG","1","1","brewinandchewin:cheesy_pasta","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:matcha","TAG","2","1","bakeries:matcha_parfait","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:milk","TAG","11","10","neapolitan:adzuki_bun;neapolitan:adzuki_ice_cream;neapolitan:banana_ice_cream;neapolitan:chocolate_bar;neapolitan:chocolate_ice_cream;neapolitan:mint_ice_cream;neapolitan:neapolitan_ice_cream;neapolitan:strawberry_ice_cream;neapolitan:vanilla_fudge;neapolitan:vanilla_ice_cream","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:pumpkins","TAG","1","1","neapolitan:adzuki_curry","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#c:salt","TAG","98","24","bakeries:bagel;bakeries:bagel_filled_sauce;bakeries:baguette;bakeries:baguette_with_filling;bakeries:berry_bagel;bakeries:brown_sugar_roll;bakeries:cheese_cream_bread;bakeries:ciabatta;bakeries:country_bread_slice;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:flat_croissant;bakeries:focaccia;bakeries:honey_butter_spread_country_bread;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:round_bread;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich;bakeries:whole_wheat_bagel","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:acidics","TAG","3","3","dungeonsdelight:monster_cake_slice;dungeonsdelight:monster_muffin;dungeonsdelight:spider_pie_slice","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
