"dependencyId","dependencyKind","affectedTargetCount","decision","rationale","status"
"brewinandchewin:scarlet_cheese_wedge","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"create:wheat_flour","ITEM","23","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:ancient_egg","ITEM","9","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"dungeonsdelight:bogged_brain","ITEM","3","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:brined_flesh","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:candied_vex_sucker","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:carved_rotgourd","CONTAINER","1","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"dungeonsdelight:ghast_tentacle","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:gritty_flesh","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:monster_cake_slice","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:rotbulb","ITEM","19","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:rotbulb_plant","ITEM","14","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:rotgourd","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:silverfish_abdomen","ITEM","4","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:slime_bar","ITEM","14","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:sniffer_shank","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:spider_meat","ITEM","7","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:spider_pie_slice","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:wormroot_stalk","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
"dungeonsdelight:wormroot_tendrils","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
"farmersdelight:fried_egg","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"farmersdelight:hamburger","CONTAINER","1","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"farmersdelight:rotten_tomato","ITEM","3","REVIEW","缺少可核验价格证据","REVIEW"
"farmersrespite:blazing_chili","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:bowl","CONTAINER","5","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"minecraft:bread","CONTAINER","3","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"minecraft:bucket","CONTAINER","2","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"minecraft:bucket","ITEM","4","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:calibrated_sculk_sensor","ITEM","3","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"minecraft:echo_shard","ITEM","1","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"minecraft:fermented_spider_eye","ITEM","3","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:glass_bottle","CONTAINER","12","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"minecraft:lava_bucket","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:moss_block","ITEM","4","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:paper","CONTAINER","1","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"minecraft:phantom_membrane","CONTAINER","1","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"minecraft:poisonous_potato","ITEM","3","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:sniffer_egg","ITEM","1","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"minecraft:soul_sand","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:twisting_vines","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"minecraft:wind_charge","ITEM","5","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"mynethersdelight:bullet_pepper","ITEM","7","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:crimson_fungus_colony","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:ghast_dough","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:ghast_sourdough","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:ghasta","ITEM","9","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hoglin_hide","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hoglin_loin","ITEM","17","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hoglin_trophy","ITEM","2","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"mynethersdelight:hot_cream","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hot_cream_cone","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hot_wings","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hot_wings_bucket","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:hotdog","CONTAINER","1","REVIEW","recipe JSON container 字段 + 设备行为：容器为交付物组成部分，非返还；成本计入","REVIEW"
"mynethersdelight:magma_cake_slice","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:powder_cannon","ITEM","7","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:strider_rock","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:strider_slice","ITEM","4","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:warped_fungus_colony","ITEM","7","REVIEW","缺少可核验价格证据","REVIEW"
"mynethersdelight:zoglin_trophy","ITEM","2","EXCLUDED","探索/头目/机制专属物品，无稳定市场价格，明确排除，不补价","EXCLUDED"
"neapolitan:adzuki_beans","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
"neapolitan:chocolate_bar","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"neapolitan:dried_vanilla_pods","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
"neapolitan:ice_cubes","ITEM","9","REVIEW","缺少可核验价格证据","REVIEW"
"neapolitan:mint_leaves","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"neapolitan:roasted_adzuki_beans","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
"neapolitan:vanilla_pods","ITEM","6","REVIEW","缺少可核验价格证据","REVIEW"
