"effectId","sourceMod","affectedDishCount","affectedDishIds","evidenceSource","positiveOrNegative","suggestedClass","factor","decision","reviewReason"
"dungeonsdelight:swift_step","dungeonsdelight","4","dungeonsdelight:breeze_cream_cone;dungeonsdelight:marshbellow;dungeonsdelight:trial_freakshake;dungeonsdelight:wispy_rice_ball","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"dungeonsdelight:tenacity","dungeonsdelight","11","dungeonsdelight:au_rotten_potatoes;dungeonsdelight:brains_in_a_brick;dungeonsdelight:gelled_salad;dungeonsdelight:monster_burger;dungeonsdelight:poi;dungeonsdelight:rubaboo;dungeonsdelight:salt_soaked_stew;dungeonsdelight:shiokara;dungeonsdelight:silverfish_fried_rice;dungeonsdelight:sinigang;dungeonsdelight:spider_salmagundi","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"dungeonsdelight:voracity","dungeonsdelight","6","dungeonsdelight:brains_in_a_brick;dungeonsdelight:ghoulash;dungeonsdelight:gyudon;dungeonsdelight:monster_burger;dungeonsdelight:poisonous_poutine;dungeonsdelight:takoyaki","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"farmersdelight:nourishment","farmersdelight","22","brewinandchewin:cheesy_pasta;brewinandchewin:creamy_onion_soup;brewinandchewin:horror_lasagna;brewinandchewin:scarlet_pierogi;brewinandchewin:vegetable_omelet;dungeonsdelight:chloropasta;mynethersdelight:bleeding_tartar;mynethersdelight:blue_tenderloin_steak;mynethersdelight:breakfast_sampler;mynethersdelight:crimson_stroganoff;mynethersdelight:egg_soup;mynethersdelight:fried_hoglin_chop;mynethersdelight:hot_wings;mynethersdelight:hot_wings_bucket;mynethersdelight:rock_soup;mynethersdelight:scotch_eggs;mynethersdelight:spicy_curry;mynethersdelight:spicy_hoglin_stew;mynethersdelight:spicy_noodle_soup;mynethersdelight:strider_stew;mynethersdelight:strider_with_grilled_fungus;mynethersdelight:twisted_ghasta","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","原版/已批准因子"
"minecraft:fire_resistance","minecraft","9","dungeonsdelight:gyudon;dungeonsdelight:rubaboo;mynethersdelight:bleeding_tartar;mynethersdelight:chilidog;mynethersdelight:crimson_stroganoff;mynethersdelight:hot_cream_cone;mynethersdelight:magma_cake_slice;mynethersdelight:spicy_cotton;mynethersdelight:strider_stew","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","原版/已批准因子"
"minecraft:haste","minecraft","1","bakeries:matcha_parfait","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","原版/已批准因子"
"minecraft:instant_health","minecraft","1","bakeries:egg_tart","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","原版/已批准因子"
"minecraft:levitation","minecraft","1","dungeonsdelight:ghastly_spirits","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"minecraft:nausea","minecraft","3","mynethersdelight:blue_tenderloin_steak;mynethersdelight:hoglin_sausage;mynethersdelight:hotdog_with_nether_salad","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","negative","NEGATIVE","0.85","DEFINED","原版/已批准因子"
"minecraft:poison","minecraft","2","dungeonsdelight:spider_extract;neapolitan:chocolate_spider_eye","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","negative","NEGATIVE","0.85","DEFINED","原版/已批准因子"
"minecraft:regeneration","minecraft","9","bakeries:berry_bagel;dungeonsdelight:chloropasta;dungeonsdelight:ghastly_spirits;dungeonsdelight:shiokara;dungeonsdelight:snuffledog;dungeonsdelight:soft_serve_sniffer_egg;mynethersdelight:ghast_salad;mynethersdelight:hotdog_with_mixed_salad;mynethersdelight:tear_popsicle","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","原版/已批准因子"
"minecraft:resistance","minecraft","1","bakeries:flat_croissant","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","原版/已批准因子"
"minecraft:saturation","minecraft","1","bakeries:whole_wheat_bagel","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","原版/已批准因子"
"minecraft:slow_falling","minecraft","1","dungeonsdelight:ghastly_spirits","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","原版/已批准因子"
"minecraft:speed","minecraft","2","bakeries:matcha_parfait;mynethersdelight:magma_cake_slice","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","原版/已批准因子"
"minecraft:strength","minecraft","3","bakeries:salt_croissant;dungeonsdelight:amethyst_rock_candy;dungeonsdelight:echo_rock_candy","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","原版/已批准因子"
"minecraft:water_breathing","minecraft","3","dungeonsdelight:salt_soaked_stew;dungeonsdelight:soaked_skewer;dungeonsdelight:terrine_loaf","javap(MobEffectCategory.KNOWN) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","原版/已批准因子"
"mynethersdelight:b_pungent","mynethersdelight","12","mynethersdelight:burnt_roll;mynethersdelight:deviled_egg;mynethersdelight:fried_hoglin_chop;mynethersdelight:hot_wings;mynethersdelight:hot_wings_bucket;mynethersdelight:rock_soup;mynethersdelight:sizzling_pudding;mynethersdelight:spicy_curry;mynethersdelight:spicy_hoglin_stew;mynethersdelight:spicy_noodle_soup;mynethersdelight:spicy_skewer;mynethersdelight:stuffed_pepper","javap(MobEffectCategory.HARMFUL) 食物三档分类表.csv 效果buff","negative","NEGATIVE","0.85","DEFINED","javap MobEffectCategory.HARMFUL → NEGATIVE"
"mynethersdelight:g_pungent","mynethersdelight","3","mynethersdelight:chilidog;mynethersdelight:hot_cream_cone;mynethersdelight:magma_cake_slice","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","beneficial","","","REVIEW","javap tick 复杂火防效果（transformEffect/火焰保护判定），强度证据不足 → REVIEW；BENEFICIAL 仅方向证据，行为强度证据不足，保持 REVIEW"
"neapolitan:agility","neapolitan","4","neapolitan:adzuki_curry;neapolitan:banana_bread;neapolitan:banana_ice_cream;neapolitan:dried_banana","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"neapolitan:berserking","neapolitan","5","neapolitan:cooked_mint_chops;neapolitan:mint_candies;neapolitan:mint_chocolate;neapolitan:mint_chops;neapolitan:mint_ice_cream","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","javap addAttributeModifier ARMOR / ATTACK_DAMAGE → STRONG"
"neapolitan:harmony","neapolitan","6","neapolitan:adzuki_bun;neapolitan:adzuki_curry;neapolitan:adzuki_ice_cream;neapolitan:adzuki_stew;neapolitan:roasted_adzuki_beans;neapolitan:strawberry_bean_bonbons","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","beneficial","","","REVIEW","javap 无属性加成，tick 行为无源码证据 → REVIEW；BENEFICIAL 仅方向证据，行为强度证据不足，保持 REVIEW"
"neapolitan:sugar_rush","neapolitan","7","neapolitan:chocolate_bar;neapolitan:chocolate_ice_cream;neapolitan:chocolate_spider_eye;neapolitan:chocolate_strawberries;neapolitan:mint_chocolate;neapolitan:neapolitan_ice_cream;neapolitan:vanilla_chocolate_fingers","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","javap addAttributeModifier MOVEMENT_SPEED / BLOCK_BREAK_SPEED → STRONG"
"neapolitan:vanilla_scent","neapolitan","6","neapolitan:dried_vanilla_pods;neapolitan:neapolitan_ice_cream;neapolitan:vanilla_chocolate_fingers;neapolitan:vanilla_fudge;neapolitan:vanilla_ice_cream;neapolitan:vanilla_pudding","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","beneficial","","","REVIEW","javap 无属性加成，tick 行为无源码证据 → REVIEW；BENEFICIAL 仅方向证据，行为强度证据不足，保持 REVIEW"
