"itemId","档次","静态候选配方ID","设备","输出数量","整份原料成本","单件原料成本","难度系数","buff系数","common系数","建议unitWorth","runtimeStatus","runtimeVerified","staticEvidence","来源JAR","recipe JSON路径","原料选择","容器决策","证据链","风险","REVIEW原因"
"bakeries:honey_butter_spread_toast","T2","bakeries:honey_butter_spread_toast","工作台（无序）","4","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/honey_butter_spread_toast.json","bakeries:honey_butter×1 + bakeries:bake_sliced_toast×1 + bakeries:bake_sliced_toast×1 + bakeries:bake_sliced_toast×1 + bakeries:bake_sliced_toast×1","NONE","bakeries:honey_butter_spread_toast <- recipe=bakeries:honey_butter_spread_toast;type=minecraft:crafting_shapeless;output=4;choices=bakeries:honey_butter×1 + bakeries:bake_sliced_toast×1 + bakeries:bake_sliced_toast×1 + bakeries:bake_sliced_toast×1 + bakeries:bake_sliced_toast×1;container=NONE -> bakeries:honey_butter <- recipe=bakeries:blender/honey_butter;type=bakeries:blender;output=4;choices=minecraft:honey_bottle×1;container=NONE -> minecraft:honey_bottle=12(猜想) -> bakeries:bake_sliced_toast <- recipe=bakeries:bake_sliced_toast;type=minecraft:campfire_cooking;output=1;choices=bakeries:sliced_toast×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:bake_sliced_toast <- recipe=bakeries:bake_sliced_toast;type=minecraft:campfire_cooking;output=1;choices=bakeries:sliced_toast×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:bake_sliced_toast <- recipe=bakeries:bake_sliced_toast;type=minecraft:campfire_cooking;output=1;choices=bakeries:sliced_toast×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:bake_sliced_toast <- recipe=bakeries:bake_sliced_toast;type=minecraft:campfire_cooking;output=1;choices=bakeries:sliced_toast×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE","TAG_PRICE_MISSING;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","TAG_PRICE_MISSING;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:matcha_parfait","T2","bakeries:blender/matcha_parfait","烘焙坊搅拌机","1","","","1.65","1.15","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/blender/matcha_parfait.json","minecraft:ice×1 + #c:foods/milk×1 + bakeries:bottle_cream×1","PART_OF_RESULT:minecraft:glass_bottle=2","bakeries:matcha_parfait <- recipe=bakeries:blender/matcha_parfait;type=bakeries:blender;output=1;choices=minecraft:ice×1 + #c:foods/milk×1 + bakeries:bottle_cream×1;container=PART_OF_RESULT:minecraft:glass_bottle=2 -> minecraft:ice=8(猜想) -> #c:foods/milk=6(猜想) -> bakeries:bottle_cream <- recipe=bakeries:compat/create/bottle_cream;type=create:mixing;output=1;choices=#c:foods/milk×1;container=NONE -> #c:foods/milk=6(猜想)","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:meat_floss_bread_roll","T2","bakeries:meat_floss_bread_roll","工作台（无序）","4","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/meat_floss_bread_roll.json","bakeries:sliced_toast×1 + bakeries:sliced_toast×1 + bakeries:sliced_toast×1 + bakeries:sliced_toast×1 + bakeries:meat_floss×1 + bakeries:meat_floss×1 + bakeries:meat_floss×1 + bakeries:meat_floss×1 + bakeries:bearnaise×1","NONE","bakeries:meat_floss_bread_roll <- recipe=bakeries:meat_floss_bread_roll;type=minecraft:crafting_shapeless;output=4;choices=bakeries:sliced_toast×1 + bakeries:sliced_toast×1 + bakeries:sliced_toast×1 + bakeries:sliced_toast×1 + bakeries:meat_floss×1 + bakeries:meat_floss×1 + bakeries:meat_floss×1 + bakeries:meat_floss×1 + bakeries:bearnaise×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> bakeries:meat_floss <- recipe=bakeries:blender/meat_floss;type=bakeries:blender;output=4;choices=minecraft:cooked_porkchop×1;container=NONE -> minecraft:cooked_porkchop=17(猜想) -> bakeries:meat_floss <- recipe=bakeries:blender/meat_floss;type=bakeries:blender;output=4;choices=minecraft:cooked_porkchop×1;container=NONE -> minecraft:cooked_porkchop=17(猜想) -> bakeries:meat_floss <- recipe=bakeries:blender/meat_floss;type=bakeries:blender;output=4;choices=minecraft:cooked_porkchop×1;container=NONE -> minecraft:cooked_porkchop=17(猜想) -> bakeries:meat_floss <- recipe=bakeries:blender/meat_floss;type=bakeries:blender;output=4;choices=minecraft:cooked_porkchop×1;container=NONE -> minecraft:cooked_porkchop=17(猜想) -> bakeries:bearnaise <- recipe=bakeries:bearnaise;type=minecraft:crafting_shapeless;output=1;choices=bakeries:olive_oil×1 + bakeries:raw_egg_yolk×1 + minecraft:sugar×1 + minecraft:glass_bottle×1;container=NONE -> bakeries:olive_oil <- recipe=bakeries:blender/olive_oil;type=bakeries:blender;output=1;choices=;container=PART_OF_RESULT:minecraft:glass_bottle=2 -> bakeries:raw_egg_yolk <- recipe=bakeries:bread_knife/raw_egg_yolk;type=bakeries:bread_knife;output=1;choices=bakeries:whole_egg×1;container=NONE -> bakeries:whole_egg <- recipe=bakeries:bread_knife/whole_egg;type=bakeries:bread_knife;output=1;choices=minecraft:egg×1;container=NONE -> minecraft:egg=5(已定义) -> minecraft:sugar=4(已定义) -> minecraft:glass_bottle=2(人工定价(PROVISIONAL):服务器既有猜想锚点)","MISSING_PRICE;ZERO_COST;CO_PRODUCT_ALLOCATION_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","MISSING_PRICE;ZERO_COST;CO_PRODUCT_ALLOCATION_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:pineapple_bun","T2","bakeries:oven/pineapple_bun","烘焙坊烤箱","1","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/pineapple_bun.json","bakeries:pineapple_bun_dough×1","NONE","bakeries:pineapple_bun <- recipe=bakeries:oven/pineapple_bun;type=bakeries:oven;output=1;choices=bakeries:pineapple_bun_dough×1;container=NONE -> bakeries:pineapple_bun_dough <- recipe=bakeries:pineapple_bun_dough;type=minecraft:crafting_shaped;output=4;choices=bakeries:round_bread_dough×4 + minecraft:sugar×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> minecraft:sugar=4(已定义)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:rice_bread","T2","bakeries:oven/rice_bread","烘焙坊烤箱","1","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/rice_bread.json","bakeries:rice_bread_dough×1","NONE","bakeries:rice_bread <- recipe=bakeries:oven/rice_bread;type=bakeries:oven;output=1;choices=bakeries:rice_bread_dough×1;container=NONE -> bakeries:rice_bread_dough <- recipe=bakeries:compat/rice_bread_dough;type=minecraft:crafting_shapeless;output=1;choices=bakeries:round_bread_dough×1 + farmersdelight:rice×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> farmersdelight:rice=5(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:round_bread","T2","bakeries:oven/round_bread","烘焙坊烤箱","1","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/round_bread.json","bakeries:round_bread_dough×1","NONE","bakeries:round_bread <- recipe=bakeries:oven/round_bread;type=bakeries:oven;output=1;choices=bakeries:round_bread_dough×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:salmon_sandwich","T2","bakeries:compat/salmon_sandwich","工作台（无序）","1","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/compat/salmon_sandwich.json","bakeries:sliced_toast×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1","NONE","bakeries:salmon_sandwich <- recipe=bakeries:compat/salmon_sandwich;type=minecraft:crafting_shapeless;output=1;choices=bakeries:sliced_toast×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> farmersdelight:salmon_slice=6(猜想) -> farmersdelight:salmon_slice=6(猜想) -> farmersdelight:salmon_slice=6(猜想) -> farmersdelight:salmon_slice=6(猜想)","MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:salt_croissant","T2","bakeries:oven/salt_croissant","烘焙坊烤箱","1","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/salt_croissant.json","bakeries:salt_croissant_dough×1","NONE","bakeries:salt_croissant <- recipe=bakeries:oven/salt_croissant;type=bakeries:oven;output=1;choices=bakeries:salt_croissant_dough×1;container=NONE -> bakeries:salt_croissant_dough <- recipe=bakeries:salt_croissant_dough;type=minecraft:crafting_shaped;output=4;choices=bakeries:croissant_dough×4;container=NONE -> bakeries:croissant_dough <- recipe=bakeries:compat/create/croissant_dough;type=create:cutting;output=2;choices=bakeries:pastry×1;container=NONE -> bakeries:pastry <- recipe=bakeries:integration/create/mixing/pastry;type=create:mixing;output=1;choices=bakeries:butter_flour_sand×1;container=NONE -> bakeries:butter_flour_sand <- recipe=bakeries:integration/create/mixing/butter_flour_sand;type=create:mixing;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义)","CO_PRODUCT_ALLOCATION_REVIEW;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;INVALID_INGREDIENT_STACK;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_INVALID_INGREDIENT_STACK","CO_PRODUCT_ALLOCATION_REVIEW;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;INVALID_INGREDIENT_STACK;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_INVALID_INGREDIENT_STACK"
"bakeries:sliced_cheese_cocoa_toast","T2","bakeries:bread_knife/sliced_cheese_cocoa_toast","bakeries:bread_knife","4","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/bread_knife/sliced_cheese_cocoa_toast.json","","NONE","bakeries:sliced_cheese_cocoa_toast <- recipe=bakeries:bread_knife/sliced_cheese_cocoa_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST"
"bakeries:sliced_toast","T2","bakeries:bread_knife/sliced_toast","bakeries:bread_knife","4","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/bread_knife/sliced_toast.json","","NONE","bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST"
