"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Horror Lasagna","brewinandchewin:horror_lasagna","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Pizza Slice","brewinandchewin:pizza_slice","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Quiche Slice","brewinandchewin:quiche_slice","DISH","是","COMMON","dish_token;edible=true;type=farmersdelight:cutting",""
"Scarlet Pierogi","brewinandchewin:scarlet_pierogi","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Sweet Berry Jam","brewinandchewin:sweet_berry_jam","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Vegetable Omelet","brewinandchewin:vegetable_omelet","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Amethyst Rock Candy","dungeonsdelight:amethyst_rock_candy","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Au Rotten Potatoes","dungeonsdelight:au_rotten_potatoes","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Bloated Baked Potato","dungeonsdelight:bloated_baked_potato","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Bloody Mary","dungeonsdelight:bloody_mary","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Brains in a Brick","dungeonsdelight:brains_in_a_brick","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Breeze Cream Cone","dungeonsdelight:breeze_cream_cone","DISH","是","T2","explicit_dish_allowlist",""
"Bubblegunk","dungeonsdelight:bubblegunk","DISH","是","COMMON","manual_override;可食用成品小吃；饥饿0但成品；非关键中间料","边界→COMMON小吃"
"Chicken Jockey Sandwich","dungeonsdelight:chicken_jockey_sandwich","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Chloropasta","dungeonsdelight:chloropasta","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Cob n' Candy","dungeonsdelight:cob_n_candy","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Cooked Sniffer Shank","dungeonsdelight:cooked_sniffer_shank","DISH","是","COMMON","cooking_device=minecraft:campfire_cooking;food_component",""
"Cooked Snifferwurst","dungeonsdelight:cooked_snifferwurst","DISH","是","COMMON","cooking_device=minecraft:campfire_cooking;food_component",""
"Croak Monster","dungeonsdelight:croak_monster","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Devilish Eggs","dungeonsdelight:devilish_eggs","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Echo Rock Candy","dungeonsdelight:echo_rock_candy","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Fried Ghast Calamari","dungeonsdelight:fried_ghast_calamari","DISH","是","COMMON","cooking_device=minecraft:campfire_cooking;food_component",""
"Gelled Salad","dungeonsdelight:gelled_salad","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Ghast Roll","dungeonsdelight:ghast_roll","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Ghastly Spirits","dungeonsdelight:ghastly_spirits","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Ghoulash","dungeonsdelight:ghoulash","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Gyudon","dungeonsdelight:gyudon","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Haggis","dungeonsdelight:haggis","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Jelly Beans","dungeonsdelight:jelly_beans","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Malicious Sandwich","dungeonsdelight:malicious_sandwich","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Marshbellow","dungeonsdelight:marshbellow","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Monster Burger","dungeonsdelight:monster_burger","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Slice of Monster Cake","dungeonsdelight:monster_cake_slice","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Monster Muffin","dungeonsdelight:monster_muffin","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Necronog","dungeonsdelight:necronog","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Poi","dungeonsdelight:poi","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Poisonous Poutine","dungeonsdelight:poisonous_poutine","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Rot Roast","dungeonsdelight:rot_roast","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Rotpop","dungeonsdelight:rotpop","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Rubaboo","dungeonsdelight:rubaboo","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Salt Soaked Stew","dungeonsdelight:salt_soaked_stew","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Sculk Apple","dungeonsdelight:sculk_apple","DISH","是","T2","manual_override;FOOD nutrition=5 saturation=5; recipe id=dungeonsdelight:sculk_apple (apple+sculk_polyp×2+honey_bottle); 加工特殊料理","Dungeon's Delight;6A.3原REVIEW→DISH T2"
"Shiokara","dungeonsdelight:shiokara","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Silverfish Fried Rice","dungeonsdelight:silverfish_fried_rice","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Sinigang","dungeonsdelight:sinigang","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Slicorice","dungeonsdelight:slicorice","DISH","是","COMMON","manual_override;可食用成品零食","边界→COMMON小吃"
"Slime Slab","dungeonsdelight:slime_bar","DISH","是","COMMON","manual_override;可食用成品零食","边界→COMMON小吃"
"Slime Noodles","dungeonsdelight:slime_noodles","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Smoked Spider Meat","dungeonsdelight:smoked_spider_meat","DISH","是","COMMON","cooking_device=minecraft:campfire_cooking;food_component",""
"Raw Snifferwurst","dungeonsdelight:snifferwurst","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Snuffledog","dungeonsdelight:snuffledog","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Soaked Skewer","dungeonsdelight:soaked_skewer","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Soft Serve Sniffer Egg","dungeonsdelight:soft_serve_sniffer_egg","DISH","是","COMMON","cooking_device=minecraft:campfire_cooking;food_component",""
"Spider Bisque","dungeonsdelight:spider_bisque","DISH","是","T2","dish_token;edible=true;type=dungeonsdelight:monster_cooking",""
"Spider Extract","dungeonsdelight:spider_extract","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Slice of Spider Pie","dungeonsdelight:spider_pie_slice","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Spider Salmagundi","dungeonsdelight:spider_salmagundi","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Spider Tanghulu","dungeonsdelight:spider_tanghulu","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Takoyaki","dungeonsdelight:takoyaki","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Terrine Loaf","dungeonsdelight:terrine_loaf","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Trial Freakshake","dungeonsdelight:trial_freakshake","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Wispy Rice Ball","dungeonsdelight:wispy_rice_ball","DISH","是","T2","cooking_device=dungeonsdelight:monster_cooking;food_component",""
"Bread","minecraft:bread","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Bacon-wrapped Sausage on a Stick","mynethersdelight:bacon-wrapped_sausage_on_a_stick","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Bleeding Tartar","mynethersdelight:bleeding_tartar","DISH","是","T2","manual_override;FOOD nutrition=6 saturation=9 effects=fire_resistance+nourishment; recipe id=mynethersdelight:crafting/bleeding_tartar (minced_strider×2+egg+bowl); 碗装复合","My Nether's Delight;6A.3原REVIEW→DISH T2"
"Blue Tenderloin Steak","mynethersdelight:blue_tenderloin_steak","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Boiled Egg","mynethersdelight:boiled_egg","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Breakfast Sampler","mynethersdelight:breakfast_sampler","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Burnt Roll","mynethersdelight:burnt_roll","DISH","是","COMMON","dish_token;edible=true;type=farmersdelight:cooking",""
"Chilidog","mynethersdelight:chilidog","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Cooked Loin","mynethersdelight:cooked_loin","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Crimson Stroganoff","mynethersdelight:crimson_stroganoff","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Deviled Egg","mynethersdelight:deviled_egg","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Dried Ghast with Milk","mynethersdelight:dried_ghast_with_milk","DISH","是","COMMON","manual_override;最终可食用餐食；饥饿6；简单合成","边界→COMMON"
"Egg Soup","mynethersdelight:egg_soup","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Fried Hoglin Chop","mynethersdelight:fried_hoglin_chop","DISH","是","COMMON","cooking_device=farmersdelight:cooking;food_component",""
"Fries Ghasta","mynethersdelight:fries_ghasta","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Ghast Salad","mynethersdelight:ghast_salad","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Giant Takoyaki","mynethersdelight:giant_takoyaki","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Hoglin Sausage","mynethersdelight:hoglin_sausage","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Hot Cream Cone","mynethersdelight:hot_cream_cone","DISH","是","T2","manual_override;FOOD nutrition=4 saturation=8 effects=g_pungent+fire_resistance; recipe id=mynethersdelight:crafting/hotcream_cone (hot_cream+powder_cannon×3)×3; HotCreamConeItem; 复合甜品","My Nether's Delight;6A.3原REVIEW→DISH T2"
"Hot Wings","mynethersdelight:hot_wings","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Hot Wings Bucket","mynethersdelight:hot_wings_bucket","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Hotdog","mynethersdelight:hotdog","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Hotdog with Mixed Salad","mynethersdelight:hotdog_with_mixed_salad","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Hotdog with Nether Salad","mynethersdelight:hotdog_with_nether_salad","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Magma Cake Slice","mynethersdelight:magma_cake_slice","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Nether Burger","mynethersdelight:nether_burger","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Red Loin on a Stick","mynethersdelight:red_loin_on_a_stick","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Roasted Sausage","mynethersdelight:roasted_sausage","DISH","是","COMMON","dish_token;edible=true;type=minecraft:smelting",""
"Rock Soup","mynethersdelight:rock_soup","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Sausage and Potatoes","mynethersdelight:sausage_and_potatoes","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Scotch Eggs","mynethersdelight:scotch_eggs","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Sizzling Pudding","mynethersdelight:sizzling_pudding","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Slices of Bread","mynethersdelight:slices_of_bread","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cutting",""
"Spicy Cotton","mynethersdelight:spicy_cotton","DISH","是","COMMON","manual_override;可食用成品；火焰抗性buff；非中间料","边界→COMMON小吃"
"Spicy Curry","mynethersdelight:spicy_curry","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Spicy Hoglin Stew","mynethersdelight:spicy_hoglin_stew","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Spicy Noodle Soup","mynethersdelight:spicy_noodle_soup","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Spicy Skewer","mynethersdelight:spicy_skewer","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Strider Stew","mynethersdelight:strider_stew","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Strider with Grilled Fungus","mynethersdelight:strider_with_grilled_fungus","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Stuffed Pepper","mynethersdelight:stuffed_pepper","DISH","是","T2","manual_override;FOOD nutrition=8 saturation=12.8 effect=b_pungent; recipe id=mynethersdelight:crafting/stuffed_pepper (bullet_pepper+cooked_pork+milk); 复合正餐","My Nether's Delight;6A.3原REVIEW→DISH T2"
"Tear Popsicle","mynethersdelight:tear_popsicle","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shaped",""
"Toasts","mynethersdelight:toasts","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Twisted Ghasta","mynethersdelight:twisted_ghasta","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Adzuki Bun","neapolitan:adzuki_bun","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Adzuki Curry","neapolitan:adzuki_curry","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Adzuki Ice Cream","neapolitan:adzuki_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Adzuki Stew","neapolitan:adzuki_stew","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Banana Bread","neapolitan:banana_bread","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Banana Ice Cream","neapolitan:banana_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Chocolate Bar","neapolitan:chocolate_bar","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Chocolate Ice Cream","neapolitan:chocolate_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Chocolate Spider Eye","neapolitan:chocolate_spider_eye","DISH","是","COMMON","manual_override;可食用成品；sugar_rush效果；简单合成","边界→COMMON"
"Chocolate Strawberries","neapolitan:chocolate_strawberries","DISH","是","COMMON","manual_override;FOOD nutrition=4 saturation=0.8 effect=sugar_rush; recipe id=neapolitan:chocolate_strawberries (strawberry+chocolate_bar); 简单加工甜点","Neapolitan;6A.3原REVIEW→DISH COMMON"
"Cooked Mint Chops","neapolitan:cooked_mint_chops","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Dried Banana","neapolitan:dried_banana","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Dried Vanilla Pods","neapolitan:dried_vanilla_pods","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Mint Candies","neapolitan:mint_candies","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Mint Chocolate","neapolitan:mint_chocolate","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Raw Mint Chops","neapolitan:mint_chops","DISH","是","COMMON","manual_override;简单烹饪肉类；berserking效果；复杂度低","边界→COMMON"
"Mint Ice Cream","neapolitan:mint_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Neapolitan Ice Cream","neapolitan:neapolitan_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Roasted Adzuki Beans","neapolitan:roasted_adzuki_beans","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Strawberry Bean Bonbons","neapolitan:strawberry_bean_bonbons","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Strawberry Ice Cream","neapolitan:strawberry_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Strawberry Scones","neapolitan:strawberry_scones","DISH","是","T2","manual_override;FOOD nutrition=5 saturation=1; recipe id=neapolitan:strawberry_scones (wheat×2+strawberry+sugar)×2; 烘焙点心","Neapolitan;6A.3原REVIEW→DISH T2"
"Vanilla Chocolate Fingers","neapolitan:vanilla_chocolate_fingers","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Vanilla Fudge","neapolitan:vanilla_fudge","DISH","是","COMMON","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Vanilla Ice Cream","neapolitan:vanilla_ice_cream","DISH","是","T2","explicit_dish_allowlist",""
"Vanilla Pudding","neapolitan:vanilla_pudding","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
