物品ID,单价_铜币,来源,备注
minecraft:kelp,2,已定义,
minecraft:leather,8,猜想,牛皮糖
minecraft:lily_pad,5,猜想,生粽原料
minecraft:melon,25,已定义,
minecraft:melon_slice,3,配方派生,1个西瓜可切出9片，按整瓜25除以9向上取整
minecraft:milk_bucket,8,猜想,
minecraft:mutton,15,已定义,
minecraft:nether_star,8,缺省猜想,配方出现1次
minecraft:nether_wart,10,猜想,
minecraft:oak_sapling,5,已定义,
minecraft:packed_ice,15,猜想,
minecraft:paper,3,猜想,
minecraft:phantom_membrane,30,猜想,
minecraft:popped_chorus_fruit,22,猜想,
minecraft:porkchop,15,已定义,
minecraft:potato,4,已定义,
minecraft:pufferfish,10,猜想,
minecraft:pumpkin,17,已定义,
minecraft:pumpkin_pie,30,猜想,
minecraft:rabbit,12,猜想,
minecraft:rabbit_foot,20,猜想,
minecraft:red_mushroom,5,猜想,
minecraft:rotten_flesh,2,猜想,
minecraft:salmon,8,已定义,
minecraft:sculk,28,缺省猜想,配方出现1次
minecraft:slime_ball,8,猜想,青团
minecraft:snowball,8,缺省猜想,配方出现3次
minecraft:spider_eye,6,猜想,
minecraft:stick,1,猜想,
minecraft:string,6,已定义,
minecraft:sugar,4,已定义,牛皮糖
minecraft:sugar_cane,4,已定义,
minecraft:sweet_berries,6,已定义,浆果拼盘
minecraft:tropical_fish,9,猜想,
minecraft:warped_fungus,8,猜想,
minecraft:water_bucket,1,猜想,
minecraft:wheat,5,已定义,
minecraft:wheat_seeds,2,猜想,
minecraft:wither_rose,8,缺省猜想,配方出现1次
不含河豚,8,缺省猜想,配方出现2次
