"模组显示名","实际JAR文件","JAR版本","JAR原始来源命名空间","运行时配方ID","配方序列化类型","机器/工序","产物中文名","产物ID","数量","是否可食用","饥饿值","饱和度","效果","内容类型","分类证据","分类置信度","原料种类数","原料槽位数","稀有原料","中间产物","容器/载体","流体","烹饪时间","设备温度","UNITE状态","提供者包列表","是否为最终有效配方","建议厨师档次","建议依据","T3证据","是否需要料理完成事件适配","建议CookingDevice","设备覆盖说明","人工复审备注"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/whole_wheat_dough","bakeries:blender","烘焙坊搅拌机","Whole Wheat Dough","bakeries:whole_wheat_dough","1","否","","","","INGREDIENT","ingredient_token=whole_wheat_dough","HIGH","4","7","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bottle_milk","minecraft:crafting_shaped","工作台（有序）","Bottle Milk","bakeries:bottle_milk","3","否","","","","NON_FOOD","not_edible","MEDIUM","2","2","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_basket","minecraft:crafting_shaped","工作台（有序）","Bread Basket","bakeries:bread_basket","1","否","","","","NON_FOOD","not_edible","MEDIUM","1","1","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_holders","minecraft:crafting_shaped","工作台（有序）","Bread Holders","bakeries:bread_holders","1","否","","","","NON_FOOD","not_edible","MEDIUM","3","3","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_knife","minecraft:crafting_shaped","工作台（有序）","Bread Knife","bakeries:bread_knife","1","否","","","","NON_FOOD","non_edible_block_or_tool","HIGH","3","3","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_knife/country_bread_slice","bakeries:bread_knife","烘焙坊面包刀","Country Bread Slice","bakeries:country_bread_slice","6","是","4","3.2","","DISH","dish_token;edible=true;type=bakeries:bread_knife","HIGH","1","1","否","否","","","","","无","(base)","是","T2","正餐/甜点名称","","待评估","OTHER","",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_knife/raw_egg_yolk","bakeries:bread_knife","烘焙坊面包刀","Raw Yolk","bakeries:raw_egg_yolk","1","否","","","","INGREDIENT","ingredient_token=raw_egg_yolk","HIGH","1","1","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","待评估","OTHER","",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_knife/sliced_cheese_cocoa_toast","bakeries:bread_knife","烘焙坊面包刀","Sliced Cheese Cocoa Toast","bakeries:sliced_cheese_cocoa_toast","4","是","4","6.4","effect.bakeries.cocoa_mania 600tick 1级 概率1；effect.bakeries.cheese_power 600tick 1级 概率1","DISH","dish_token;edible=true;type=bakeries:bread_knife","HIGH","1","1","否","否","","","","","无","(base)","是","T2","正餐/甜点名称","","待评估","OTHER","",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_knife/sliced_toast","bakeries:bread_knife","烘焙坊面包刀","Sliced Toast","bakeries:sliced_toast","4","是","4","3.2","","DISH","dish_token;edible=true;type=bakeries:bread_knife","HIGH","1","1","否","否","","","","","无","(base)","是","T2","正餐/甜点名称","","待评估","OTHER","",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_knife/whole_egg","bakeries:bread_knife","烘焙坊面包刀","Whole Egg","bakeries:whole_egg","1","否","","","","INGREDIENT","ingredient_process=bakeries:bread_knife","MEDIUM","1","1","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","待评估","OTHER","",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bread_rack","minecraft:crafting_shaped","工作台（有序）","Bread Rack","bakeries:bread_rack","1","否","","","","NON_FOOD","not_edible","MEDIUM","2","2","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:brown_sugar_cube","minecraft:smelting","熔炉","Brown Sugar Cube","bakeries:brown_sugar_cube","1","否","","","","INGREDIENT","ingredient_token=brown_sugar_cube","HIGH","1","1","否","是","","","200","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","已覆盖","FURNACE","ItemSmeltedEvent（菜单启发）",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:brown_sugar_roll_dough","minecraft:crafting_shaped","工作台（有序）","Brown Sugar Roll Dough","bakeries:brown_sugar_roll_dough","4","否","","","","INGREDIENT","ingredient_token=brown_sugar_roll_dough","HIGH","3","3","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:cash_register_computer","minecraft:crafting_shaped","工作台（有序）","Cash Register Computer","bakeries:cash_register_computer","1","否","","","","NON_FOOD","not_edible","MEDIUM","4","4","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:cheese_cocoa_toast_dough","minecraft:crafting_shaped","工作台（有序）","Mould Cheese Cocoa Toast Dough","bakeries:mould_cheese_cocoa_toast_dough","1","否","","","","INGREDIENT","ingredient_token=mould_cheese_cocoa_toast_dough","HIGH","4","4","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:cheese_cream_bread","minecraft:crafting_shapeless","工作台（无序）","Cheese Cream Bread","bakeries:cheese_cream_bread","2","是","6","12","effect.bakeries.cheese_power 1200tick 1级 概率1","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","2","3","否","否","","","","","无","(base)","是","T2","正餐/甜点名称","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:coffee_bean","minecraft:smelting","熔炉","Coffee Bean","bakeries:coffee_bean","1","否","","","","DRINK","drink_token=coffee_bean","HIGH","1","1","否","否","","","100","","无","(base)","是","不进入厨师","内容类型=DRINK","","已覆盖","FURNACE","ItemSmeltedEvent（菜单启发）",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:coffee_table","minecraft:crafting_shaped","工作台（有序）","Coffee Table","bakeries:coffee_table","2","否","","","","DRINK","drink_token=coffee_table","HIGH","2","2","否","否","","","","","无","(base)","是","不进入厨师","内容类型=DRINK","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/bagel_dough","create:cutting","Create 切割（自动化）","Bagel Dough","bakeries:bagel_dough","4","否","","","","INGREDIENT","ingredient_token=bagel_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/baguette_dough","create:cutting","Create 切割（自动化）","Baguette Dough","bakeries:baguette_dough","2","否","","","","INGREDIENT","ingredient_token=baguette_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/bottle_cream","create:mixing","Create 搅拌（自动化）","Bottle Cream","bakeries:bottle_cream","1","否","","","","INGREDIENT","explicit_ingredient_id","HIGH","1","1","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/butter_cube","create:mixing","Create 搅拌（自动化）","Butter Cube","bakeries:butter_cube","1","否","","","","INGREDIENT","explicit_ingredient_id","HIGH","1","1","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/cheese_cream","create:mixing","Create 搅拌（自动化）","Cheese Cream","bakeries:cheese_cream","2","是","1","2","","INGREDIENT","manual_override;搅拌机奶油中间产物","HIGH","2","2","否","是","","","","","无","(base)","是","不进入厨师","搅拌机奶油中间产物","","不接入玩家事件","—","Create 自动化不得记玩家厨技","人工覆盖优先；Create 自动化不得记玩家厨技；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/ciabatta_dough","create:cutting","Create 切割（自动化）","Ciabatta Dough","bakeries:ciabatta_dough","4","否","","","","INGREDIENT","ingredient_token=ciabatta_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/cocoa_dough","create:mixing","Create 搅拌（自动化）","Cocoa Dough","bakeries:cocoa_dough","1","否","","","","INGREDIENT","ingredient_token=cocoa_dough","HIGH","7","9","否","是","","","","","always包","(base)|always","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/country_bread_dough","create:cutting","Create 切割（自动化）","Country Bread Dough","bakeries:country_bread_dough","1","否","","","","INGREDIENT","ingredient_token=country_bread_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/croissant_dough","create:cutting","Create 切割（自动化）","Croissant Dough","bakeries:croissant_dough","2","否","","","","INGREDIENT","ingredient_token=croissant_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/egg_tart_shell","create:cutting","Create 切割（自动化）","Egg Tart Shell","bakeries:egg_tart_shell","3","否","","","","INGREDIENT","manual_override;蛋挞皮生坯/壳；无FOOD","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","蛋挞皮生坯/壳；无FOOD","","不接入玩家事件","—","Create 自动化","人工覆盖优先；Create 自动化不得记玩家厨技；禁止dishStrong误判"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/foamed_cream","create:mixing","Create 搅拌（自动化）","Foamed Cream","bakeries:foamed_cream","4","是","1","2","","INGREDIENT","manual_override;发泡奶油中间产物","HIGH","2","3","否","是","","","","","无","(base)","是","不进入厨师","发泡奶油中间产物","","不接入玩家事件","—","Create 自动化不得记玩家厨技","人工覆盖优先；Create 自动化不得记玩家厨技；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/fresh_cheese_cube","create:mixing","Create 搅拌（自动化）","Fresh Cheese Cube","bakeries:fresh_cheese_cube","4","是","1","2","","INGREDIENT","manual_override;芝士立方中间产物","HIGH","2","5","否","是","","","","","无","(base)","是","不进入厨师","芝士立方中间产物","","不接入玩家事件","—","Create 自动化不得记玩家厨技","人工覆盖优先；Create 自动化不得记玩家厨技；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/honey_butter","create:mixing","Create 搅拌（自动化）","Honey Butter","bakeries:honey_butter","4","否","","","","NON_FOOD","not_edible","MEDIUM","2","3","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/mashed_taro","create:mixing","Create 搅拌（自动化）","Mashed Taro","bakeries:mashed_taro","4","是","1","1","","INGREDIENT","manual_override;芋泥馅料","HIGH","3","3","否","是","","","","","无","(base)","是","不进入厨师","芋泥馅料","","不接入玩家事件","—","Create 自动化不得记玩家厨技","人工覆盖优先；Create 自动化不得记玩家厨技；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/matcha_parfait","create:mixing","Create 搅拌（自动化）","Matcha Parfait","bakeries:matcha_parfait","1","是","9","9","effect.minecraft.speed 600tick 1级 概率1；effect.minecraft.haste 600tick 1级 概率1","DISH","dish_token;edible=true;type=create:mixing","HIGH","4","4","否","否","","","","","无","(base)","是","T2","正餐/甜点名称","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/meat_floss","create:mixing","Create 搅拌（自动化）","Meat Floss","bakeries:meat_floss","4","是","2","3.2","","INGREDIENT","manual_override;肉松馅料","HIGH","1","1","否","是","","","","","无","(base)","是","不进入厨师","肉松馅料","","不接入玩家事件","—","Create 自动化不得记玩家厨技","人工覆盖优先；Create 自动化不得记玩家厨技；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/olive_oil","create:mixing","Create 搅拌（自动化）","Olive Oil","bakeries:olive_oil","1","否","","","","NON_FOOD","not_edible","MEDIUM","1","4","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/round_bread_dough","create:cutting","Create 切割（自动化）","Round Bread Dough","bakeries:round_bread_dough","6","否","","","","INGREDIENT","ingredient_token=round_bread_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/salted_dough","create:mixing","Create 搅拌（自动化）","Salted Dough","bakeries:salted_dough","1","否","","","","INGREDIENT","ingredient_token=salted_dough","HIGH","4","7","否","是","","","","","always包","(base)|always","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/sweet_dough","create:mixing","Create 搅拌（自动化）","Sweet Dough","bakeries:sweet_dough","1","否","","","","INGREDIENT","ingredient_token=sweet_dough","HIGH","6","9","否","是","","","","","always包","(base)|always","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化不得记玩家厨技","Create 自动化不得记玩家厨技"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:compat/create/whole_wheat_bagel_dough","create:cutting","Create 切割（自动化）","Whole Wheat Bagel Dough","bakeries:whole_wheat_bagel_dough","4","否","","","","INGREDIENT","ingredient_token=whole_wheat_bagel_dough","HIGH","1","1","否","是","","","50","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","不接入玩家事件","—","Create 自动化","Create 自动化不得记玩家厨技"
