"targetItemId","recipeId","sourceJar","sourceRecipePath","风险类型","风险对象","证据","建议动作","状态"
"bakeries:round_bread","bakeries:oven/round_bread","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/round_bread.json","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","bakeries:round_bread","bakeries:round_bread <- recipe=bakeries:oven/round_bread;type=bakeries:oven;output=1;choices=bakeries:round_bread_dough×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想)","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:salmon_sandwich","bakeries:compat/salmon_sandwich","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/compat/salmon_sandwich.json","MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","bakeries:salmon_sandwich","bakeries:salmon_sandwich <- recipe=bakeries:compat/salmon_sandwich;type=minecraft:crafting_shapeless;output=1;choices=bakeries:sliced_toast×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1 + farmersdelight:salmon_slice×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE -> farmersdelight:salmon_slice=6(猜想) -> farmersdelight:salmon_slice=6(猜想) -> farmersdelight:salmon_slice=6(猜想) -> farmersdelight:salmon_slice=6(猜想)","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:salt_croissant","bakeries:oven/salt_croissant","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/salt_croissant.json","CO_PRODUCT_ALLOCATION_REVIEW;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;INVALID_INGREDIENT_STACK;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_INVALID_INGREDIENT_STACK","bakeries:salt_croissant","bakeries:salt_croissant <- recipe=bakeries:oven/salt_croissant;type=bakeries:oven;output=1;choices=bakeries:salt_croissant_dough×1;container=NONE -> bakeries:salt_croissant_dough <- recipe=bakeries:salt_croissant_dough;type=minecraft:crafting_shaped;output=4;choices=bakeries:croissant_dough×4;container=NONE -> bakeries:croissant_dough <- recipe=bakeries:compat/create/croissant_dough;type=create:cutting;output=2;choices=bakeries:pastry×1;container=NONE -> bakeries:pastry <- recipe=bakeries:integration/create/mixing/pastry;type=create:mixing;output=1;choices=bakeries:butter_flour_sand×1;container=NONE -> bakeries:butter_flour_sand <- recipe=bakeries:integration/create/mixing/butter_flour_sand;type=create:mixing;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义)","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:sliced_cheese_cocoa_toast","bakeries:bread_knife/sliced_cheese_cocoa_toast","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/bread_knife/sliced_cheese_cocoa_toast.json","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST","bakeries:sliced_cheese_cocoa_toast","bakeries:sliced_cheese_cocoa_toast <- recipe=bakeries:bread_knife/sliced_cheese_cocoa_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:sliced_toast","bakeries:bread_knife/sliced_toast","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/bread_knife/sliced_toast.json","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST","bakeries:sliced_toast","bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:taro_salt_yolk_bread","bakeries:taro_salt_yolk_bread","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/taro_salt_yolk_bread.json","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;CO_PRODUCT_ALLOCATION_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","bakeries:taro_salt_yolk_bread","bakeries:taro_salt_yolk_bread <- recipe=bakeries:taro_salt_yolk_bread;type=minecraft:crafting_shapeless;output=2;choices=bakeries:round_bread×1 + bakeries:round_bread×1 + bakeries:mashed_taro×1 + bakeries:mashed_taro×1 + bakeries:salt_yolk×1;container=NONE -> bakeries:round_bread <- recipe=bakeries:oven/round_bread;type=bakeries:oven;output=1;choices=bakeries:round_bread_dough×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> bakeries:round_bread <- recipe=bakeries:oven/round_bread;type=bakeries:oven;output=1;choices=bakeries:round_bread_dough×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> bakeries:mashed_taro <- recipe=bakeries:blender/mashed_taro;type=bakeries:blender;output=4;choices=bakeries:cooked_taro×1 + minecraft:sugar×1 + bakeries:bottle_cream×1;container=NONE -> bakeries:cooked_taro <- recipe=bakeries:cooked_taro;type=minecraft:smelting;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> bakeries:bottle_cream <- recipe=bakeries:compat/create/bottle_cream;type=create:mixing;output=1;choices=#c:foods/milk×1;container=NONE -> #c:foods/milk=6(猜想) -> bakeries:mashed_taro <- recipe=bakeries:blender/mashed_taro;type=bakeries:blender;output=4;choices=bakeries:cooked_taro×1 + minecraft:sugar×1 + bakeries:bottle_cream×1;container=NONE -> bakeries:cooked_taro <- recipe=bakeries:cooked_taro;type=minecraft:smelting;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> bakeries:bottle_cream <- recipe=bakeries:compat/create/bottle_cream;type=create:mixing;output=1;choices=#c:foods/milk×1;container=NONE -> #c:foods/milk=6(猜想) -> bakeries:salt_yolk <- recipe=bakeries:salt_yolk;type=minecraft:crafting_shapeless;output=4;choices=bakeries:raw_egg_yolk×1 + bakeries:raw_egg_yolk×1 + bakeries:raw_egg_yolk×1 + bakeries:raw_egg_yolk×1;container=NONE -> bakeries:raw_egg_yolk <- recipe=bakeries:bread_knife/raw_egg_yolk;type=bakeries:bread_knife;output=1;choices=bakeries:whole_egg×1;container=NONE -> bakeries:whole_egg <- recipe=bakeries:bread_knife/whole_egg;type=bakeries:bread_knife;output=1;choices=minecraft:egg×1;container=NONE -> minecraft:egg=5(已定义) -> bakeries:raw_egg_yolk <- recipe=bakeries:bread_knife/raw_egg_yolk;type=bakeries:bread_knife;output=1;choices=bakeries:whole_egg×1;container=NONE -> bakeries:whole_egg <- recipe=bakeries:bread_knife/whole_egg;type=bakeries:bread_knife;output=1;choices=minecraft:egg×1;container=NONE -> minecraft:egg=5(已定义) -> bakeries:raw_egg_yolk <- recipe=bakeries:bread_knife/raw_egg_yolk;type=bakeries:bread_knife;output=1;choices=bakeries:whole_egg×1;container=NONE -> bakeries:whole_egg <- recipe=bakeries:bread_knife/whole_egg;type=bakeries:bread_knife;output=1;choices=minecraft:egg×1;container=NONE -> minecraft:egg=5(已定义) -> bakeries:raw_egg_yolk <- recipe=bakeries:bread_knife/raw_egg_yolk;type=bakeries:bread_knife;output=1;choices=bakeries:whole_egg×1;container=NONE -> bakeries:whole_egg <- recipe=bakeries:bread_knife/whole_egg;type=bakeries:bread_knife;output=1;choices=minecraft:egg×1;container=NONE -> minecraft:egg=5(已定义)","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:tomato_cheese_croissant_sandwich","bakeries:tomato_cheese_croissant_sandwich","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/tomato_cheese_croissant_sandwich.json","CO_PRODUCT_ALLOCATION_REVIEW;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;INVALID_INGREDIENT_STACK;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_INVALID_INGREDIENT_STACK","bakeries:tomato_cheese_croissant_sandwich","bakeries:tomato_cheese_croissant_sandwich <- recipe=bakeries:tomato_cheese_croissant_sandwich;type=minecraft:crafting_shapeless;output=1;choices=bakeries:croissant×1 + #c:crops/tomato×1;container=NONE -> bakeries:croissant <- recipe=bakeries:oven/croissant;type=bakeries:oven;output=1;choices=bakeries:croissant_dough×1;container=NONE -> bakeries:croissant_dough <- recipe=bakeries:compat/create/croissant_dough;type=create:cutting;output=2;choices=bakeries:pastry×1;container=NONE -> bakeries:pastry <- recipe=bakeries:integration/create/mixing/pastry;type=create:mixing;output=1;choices=bakeries:butter_flour_sand×1;container=NONE -> bakeries:butter_flour_sand <- recipe=bakeries:integration/create/mixing/butter_flour_sand;type=create:mixing;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:crops/tomato=6(已定义)","补齐证据后复审，不写入正式池","REVIEW"
"bakeries:whole_wheat_bagel","bakeries:oven/whole_wheat_bagel","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/whole_wheat_bagel.json","TAG_PRICE_MISSING;MISSING_PRICE;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","bakeries:whole_wheat_bagel","bakeries:whole_wheat_bagel <- recipe=bakeries:oven/whole_wheat_bagel;type=bakeries:oven;output=1;choices=bakeries:whole_wheat_bagel_dough×1;container=NONE -> bakeries:whole_wheat_bagel_dough <- recipe=bakeries:compat/create/whole_wheat_bagel_dough;type=create:cutting;output=4;choices=bakeries:whole_wheat_dough×1;container=NONE -> bakeries:whole_wheat_dough <- recipe=bakeries:blender/whole_wheat_dough;type=bakeries:blender;output=1;choices=minecraft:water_bucket×1;container=NONE -> minecraft:water_bucket=1(猜想)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:apple_jelly","brewinandchewin:cooking/apple_jelly","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cooking/apple_jelly.json","PROVISIONAL_PRICE_ANCHOR;猜想锚点:minecraft:apple=6(猜想)|minecraft:glass_bottle=2(人工定价(PROVISIONAL):服务器既有猜想锚点)","brewinandchewin:apple_jelly","brewinandchewin:apple_jelly <- recipe=brewinandchewin:cooking/apple_jelly;type=farmersdelight:cooking;output=1;choices=minecraft:apple×1 + minecraft:apple×1 + minecraft:apple×1 + minecraft:sugar×1;container=PART_OF_RESULT:minecraft:glass_bottle=2 -> minecraft:apple=6(猜想) -> minecraft:apple=6(猜想) -> minecraft:apple=6(猜想) -> minecraft:sugar=4(已定义)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:cheesy_pasta","brewinandchewin:cooking/cheesy_pasta","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cooking/cheesy_pasta.json","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:cheesy_pasta","brewinandchewin:cheesy_pasta <- recipe=brewinandchewin:cooking/cheesy_pasta;type=farmersdelight:cooking;output=1;choices=brewinandchewin:flaxen_cheese_wedge×1 + #c:foods/pasta×1;container=PART_OF_RESULT:minecraft:bowl=2 -> brewinandchewin:flaxen_cheese_wedge <- recipe=brewinandchewin:cutting/flaxen_cheese_wheel;type=farmersdelight:cutting;output=4;choices=brewinandchewin:flaxen_cheese_wheel×1;container=NONE -> brewinandchewin:flaxen_cheese_wheel <- recipe=brewinandchewin:flaxen_cheese_wheel_from_wedges;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> #c:foods/pasta=8(缺省猜想)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:creamy_onion_soup","brewinandchewin:cooking/creamy_onion_soup","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cooking/creamy_onion_soup.json","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:creamy_onion_soup","brewinandchewin:creamy_onion_soup <- recipe=brewinandchewin:cooking/creamy_onion_soup;type=farmersdelight:cooking;output=1;choices=#c:foods/vegetable×1 + #c:foods/bread×1;container=PART_OF_RESULT:minecraft:bowl=2 -> #c:foods/vegetable=8(缺省猜想) -> #c:foods/bread=12(猜想)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:glow_berry_marmalade","brewinandchewin:cooking/glow_berry_marmalade","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cooking/glow_berry_marmalade.json","PROVISIONAL_PRICE_ANCHOR;猜想锚点:minecraft:glass_bottle=2(人工定价(PROVISIONAL):服务器既有猜想锚点)","brewinandchewin:glow_berry_marmalade","brewinandchewin:glow_berry_marmalade <- recipe=brewinandchewin:cooking/glow_berry_marmalade;type=farmersdelight:cooking;output=1;choices=minecraft:glow_berries×1 + minecraft:glow_berries×1 + minecraft:glow_berries×1 + minecraft:sugar×1;container=PART_OF_RESULT:minecraft:glass_bottle=2 -> minecraft:glow_berries=9(已定义) -> minecraft:glow_berries=9(已定义) -> minecraft:glow_berries=9(已定义) -> minecraft:sugar=4(已定义)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:ham_and_cheese_sandwich","brewinandchewin:ham_and_cheese_sandwich","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/ham_and_cheese_sandwich.json","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:ham_and_cheese_sandwich","brewinandchewin:ham_and_cheese_sandwich <- recipe=brewinandchewin:ham_and_cheese_sandwich;type=minecraft:crafting_shapeless;output=2;choices=minecraft:bread×1 + farmersdelight:smoked_ham×1 + brewinandchewin:flaxen_cheese_wedge×1 + minecraft:bread×1;container=NONE -> minecraft:bread=12(猜想) -> farmersdelight:smoked_ham=22(猜想) -> brewinandchewin:flaxen_cheese_wedge <- recipe=brewinandchewin:cutting/flaxen_cheese_wheel;type=farmersdelight:cutting;output=4;choices=brewinandchewin:flaxen_cheese_wheel×1;container=NONE -> brewinandchewin:flaxen_cheese_wheel <- recipe=brewinandchewin:flaxen_cheese_wheel_from_wedges;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> minecraft:bread=12(猜想)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:horror_lasagna","brewinandchewin:cooking/horror_lasagna","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cooking/horror_lasagna.json","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:horror_lasagna","brewinandchewin:horror_lasagna <- recipe=brewinandchewin:cooking/horror_lasagna;type=farmersdelight:cooking;output=1;choices=brewinandchewin:scarlet_cheese_wedge×1 + #c:crops/beetroot×1 + farmersdelight:tomato_sauce×1 + #c:foods/pasta×1;container=PART_OF_RESULT:minecraft:bowl=2 -> brewinandchewin:scarlet_cheese_wedge <- recipe=brewinandchewin:cutting/scarlet_cheese_wheel;type=farmersdelight:cutting;output=4;choices=brewinandchewin:scarlet_cheese_wheel×1;container=NONE -> brewinandchewin:scarlet_cheese_wheel <- recipe=brewinandchewin:scarlet_cheese_wheel_from_wedges;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> #c:crops/beetroot=7(猜想) -> farmersdelight:tomato_sauce=10(猜想) -> #c:foods/pasta=8(缺省猜想)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:pizza_slice","brewinandchewin:cutting/pizza","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cutting/pizza.json","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:pizza_slice","brewinandchewin:pizza_slice <- recipe=brewinandchewin:cutting/pizza;type=farmersdelight:cutting;output=4;choices=brewinandchewin:pizza×1;container=NONE -> brewinandchewin:pizza <- recipe=brewinandchewin:pizza;type=minecraft:crafting_shaped;output=1;choices=farmersdelight:tomato_sauce×1 + minecraft:wheat×3;container=NONE -> farmersdelight:tomato_sauce=10(猜想) -> minecraft:wheat=5(已定义)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:quiche_slice","brewinandchewin:cutting/quiche","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cutting/quiche.json","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:quiche_slice","brewinandchewin:quiche_slice <- recipe=brewinandchewin:cutting/quiche;type=farmersdelight:cutting;output=4;choices=brewinandchewin:quiche×1;container=NONE -> brewinandchewin:quiche <- recipe=brewinandchewin:quiche_from_bacon;type=minecraft:crafting_shaped;output=1;choices=farmersdelight:cooked_bacon×2 + #c:crops/cabbage×1 + #c:drinks/milk×2 + minecraft:egg×2 + farmersdelight:pie_crust×1;container=NONE -> farmersdelight:cooked_bacon=10(猜想) -> #c:crops/cabbage=6(已定义) -> #c:drinks/milk=6(猜想) -> minecraft:egg=5(已定义) -> farmersdelight:pie_crust=10(猜想)","补齐证据后复审，不写入正式池","REVIEW"
"brewinandchewin:scarlet_pierogi","brewinandchewin:cooking/scarlet_pierogi","[农夫乐事-饮酒作乐]BrewinAndChewin-neoforge-4.5.0+1.21.1.jar","data/brewinandchewin/recipe/cooking/scarlet_pierogi.json","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","brewinandchewin:scarlet_pierogi","brewinandchewin:scarlet_pierogi <- recipe=brewinandchewin:cooking/scarlet_pierogi;type=farmersdelight:cooking;output=1;choices=brewinandchewin:scarlet_cheese_wedge×1 + #c:crops/potato×1 + #c:foods/dough×1 + minecraft:nether_wart×1;container=PART_OF_RESULT:minecraft:bowl=2 -> brewinandchewin:scarlet_cheese_wedge <- recipe=brewinandchewin:cutting/scarlet_cheese_wheel;type=farmersdelight:cutting;output=4;choices=brewinandchewin:scarlet_cheese_wheel×1;container=NONE -> brewinandchewin:scarlet_cheese_wheel <- recipe=brewinandchewin:scarlet_cheese_wheel_from_wedges;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> #c:crops/potato=4(猜想) -> #c:foods/dough=8(猜想) -> minecraft:nether_wart=10(猜想)","补齐证据后复审，不写入正式池","REVIEW"
