"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Molotov Cocktail","kaleidoscope_tavern:molotov","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Mother Snow","kaleidoscope_tavern:mother_snow","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Nether Special","kaleidoscope_tavern:nether_special","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Plum Wine","kaleidoscope_tavern:plum_wine","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Polaris Sweet White","kaleidoscope_tavern:polaris_sweet_white","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Red Queen","kaleidoscope_tavern:red_queen","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Riesling Dry White","kaleidoscope_tavern:riesling_dry_white","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Rum","kaleidoscope_tavern:rum","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Sakura Wine","kaleidoscope_tavern:sakura_wine","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Sauvignon Blanc Dry White","kaleidoscope_tavern:sauvignon_blanc_dry_white","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Screwdriver","kaleidoscope_tavern:screwdriver","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Sculk Special","kaleidoscope_tavern:sculk_special","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Sherry","kaleidoscope_tavern:sherry","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Sunset Glow","kaleidoscope_tavern:sunset_glow","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Sweet Berry Wine","kaleidoscope_tavern:sweet_berry_wine","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Vodka","kaleidoscope_tavern:vodka","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Whiskey","kaleidoscope_tavern:whiskey","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"White Lady","kaleidoscope_tavern:white_lady","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Wine","kaleidoscope_tavern:wine","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Honey Bottle","minecraft:honey_bottle","DRINK","是","不进入厨师","recipe_type=brewinandchewin:keg_pouring",""
"Milk Bucket","minecraft:milk_bucket","DRINK","否","不进入厨师","recipe_type=brewinandchewin:keg_pouring",""
"Uncraftable Potion","minecraft:potion","DRINK","否","不进入厨师","recipe_type=brewinandchewin:create_potion_pouring",""
"Water Bucket","minecraft:water_bucket","DRINK","否","不进入厨师","recipe_type=brewinandchewin:keg_pouring",""
"Ghast Sourdough","mynethersdelight:ghast_sourdough","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Adzuki Milkshake","neapolitan:adzuki_milkshake","DRINK","是","不进入厨师","drink_token=adzuki_milkshake",""
"Banana Milkshake","neapolitan:banana_milkshake","DRINK","是","不进入厨师","drink_token=banana_milkshake",""
"Chocolate Milkshake","neapolitan:chocolate_milkshake","DRINK","是","不进入厨师","drink_token=chocolate_milkshake",""
"Mint Milkshake","neapolitan:mint_milkshake","DRINK","是","不进入厨师","drink_token=mint_milkshake",""
"Strawberry Banana Smoothie","neapolitan:strawberry_banana_smoothie","DRINK","是","不进入厨师","drink_token=strawberry_banana_smoothie",""
"Strawberry Milkshake","neapolitan:strawberry_milkshake","DRINK","是","不进入厨师","drink_token=strawberry_milkshake",""
"Vanilla Milkshake","neapolitan:vanilla_milkshake","DRINK","是","不进入厨师","drink_token=vanilla_milkshake",""
