"item_id","中文名","来源模组","6A分类","6A建议档次","旧权威表档次","当前item档次","命中recipe覆盖","当前实际档次","合并状态","是否新增","有效配方ID","分类证据","建议动作"
"bakeries:sliced_toast","Sliced Toast","Bakeries","DISH","T2","","","","","NEW","是","bakeries:bread_knife/sliced_toast","dish_token;edible=true;type=bakeries:bread_knife","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:taro_salt_yolk_bread","Taro Salt Yolk Bread","Bakeries","DISH","T2","","","","","NEW","是","bakeries:taro_salt_yolk_bread","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:tomato_cheese_croissant_sandwich","Tomato Cheese Croissant Sandwich","Bakeries","DISH","T2","","","","","NEW","是","bakeries:tomato_cheese_croissant_sandwich","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:whole_wheat_bagel","Whole Wheat Bagel","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/whole_wheat_bagel","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:apple_jelly","Apple Jelly","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/apple_jelly","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:cheesy_pasta","Pasta with Cheese","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/cheesy_pasta","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:creamy_onion_soup","Creamy Onion Soup","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/creamy_onion_soup","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:glow_berry_marmalade","Glow Berry Marmalade","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/glow_berry_marmalade","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:ham_and_cheese_sandwich","Ham and Cheese Sandwich","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:ham_and_cheese_sandwich","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:horror_lasagna","Horror Lasagna","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/horror_lasagna","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:pizza_slice","Pizza Slice","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cutting/pizza","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:quiche_slice","Quiche Slice","Brewin' and Chewin'","DISH","COMMON","","","","","NEW","是","brewinandchewin:cutting/quiche","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=COMMON + FG entry"
"brewinandchewin:scarlet_pierogi","Scarlet Pierogi","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/scarlet_pierogi","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:sweet_berry_jam","Sweet Berry Jam","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/sweet_berry_jam","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"brewinandchewin:vegetable_omelet","Vegetable Omelet","Brewin' and Chewin'","DISH","T2","","","","","NEW","是","brewinandchewin:cooking/vegetable_omelet","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:amethyst_rock_candy","Amethyst Rock Candy","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cooking/amethyst_rock_candy","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:au_rotten_potatoes","Au Rotten Potatoes","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/au_rotten_potatoes","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:bloated_baked_potato","Bloated Baked Potato","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/bloated_baked_potato","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:bloody_mary","Bloody Mary","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/bloody_mary","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:brains_in_a_brick","Brains in a Brick","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/brains_in_a_brick","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:breeze_cream_cone","Breeze Cream Cone","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/breeze_cream_cone","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:bubblegunk","Bubblegunk","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:bubblegunk_from_shapeless","manual_override;可食用成品小吃；饥饿0但成品；非关键中间料","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:chicken_jockey_sandwich","Chicken Jockey Sandwich","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/chicken_jockey_sandwich","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:chloropasta","Chloropasta","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cooking/chloropasta","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:cob_n_candy","Cob n' Candy","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/cob_n_candy","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:cooked_sniffer_shank","Cooked Sniffer Shank","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:cooked_sniffer_shank_from_campfire | dungeonsdelight:cooked_sniffer_shank_from_smelting | dungeonsdelight:cooked_sniffer_shank_from_smoking","cooking_device=minecraft:campfire_cooking;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:cooked_snifferwurst","Cooked Snifferwurst","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:cooked_snifferwurst_from_campfire | dungeonsdelight:cooked_snifferwurst_from_smelting | dungeonsdelight:cooked_snifferwurst_from_smoking","cooking_device=minecraft:campfire_cooking;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:croak_monster","Croak Monster","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/croak_monster","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:devilish_eggs","Devilish Eggs","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/devilish_eggs","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:echo_rock_candy","Echo Rock Candy","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/echo_rock_candy","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:fried_ghast_calamari","Fried Ghast Calamari","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:fried_ghast_calamari_from_campfire | dungeonsdelight:fried_ghast_calamari_from_smelting | dungeonsdelight:fried_ghast_calamari_from_smoking","cooking_device=minecraft:campfire_cooking;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:gelled_salad","Gelled Salad","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/gelled_salad","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:ghast_roll","Ghast Roll","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/ghast_roll","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:ghastly_spirits","Ghastly Spirits","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/ghastly_spirits","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:ghoulash","Ghoulash","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/ghoulash","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:gyudon","Gyudon","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/gyudon","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:haggis","Haggis","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/haggis","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:jelly_beans","Jelly Beans","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/jelly_beans","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:malicious_sandwich","Malicious Sandwich","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/malicious_sandwich","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:marshbellow","Marshbellow","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/marshbellow","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:monster_burger","Monster Burger","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/monster_burger","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:monster_cake_slice","Slice of Monster Cake","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cutting/monster_cake","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:monster_muffin","Monster Muffin","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/monster_muffin","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:necronog","Necronog","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/necronog","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:poi","Poi","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/poi | dungeonsdelight:poi","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:poisonous_poutine","Poisonous Poutine","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/poisonous_poutine","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:rot_roast","Rot Roast","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/rot_roast","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:rotpop","Rotpop","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/rotpop","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:rubaboo","Rubaboo","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/rubaboo","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:salt_soaked_stew","Salt Soaked Stew","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/salt_soaked_stew","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:sculk_apple","Sculk Apple","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:sculk_apple","manual_override;FOOD nutrition=5 saturation=5; recipe id=dungeonsdelight:sculk_apple (apple+sculk_polyp×2+honey_bottle); 加工特殊料理","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:shiokara","Shiokara","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/shiokara","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:silverfish_fried_rice","Silverfish Fried Rice","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/silverfish_fried_rice","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:sinigang","Sinigang","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/sinigang","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:slicorice","Slicorice","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:slicorice","manual_override;可食用成品零食","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:slime_bar","Slime Slab","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:slime_bar_from_shapeless","manual_override;可食用成品零食","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:slime_noodles","Slime Noodles","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cutting/slime_bar","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:smoked_spider_meat","Smoked Spider Meat","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:smoked_spider_meat_from_campfire | dungeonsdelight:smoked_spider_meat_from_smelting | dungeonsdelight:smoked_spider_meat_from_smoking","cooking_device=minecraft:campfire_cooking;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:snifferwurst","Raw Snifferwurst","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cooking/snifferwurst","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:snuffledog","Snuffledog","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cooking/snuffledog","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:soaked_skewer","Soaked Skewer","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/soaked_skewer","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:soft_serve_sniffer_egg","Soft Serve Sniffer Egg","Dungeon's Delight","DISH","COMMON","","","","","NEW","是","dungeonsdelight:soft_serve_sniffer_egg_from_campfire","cooking_device=minecraft:campfire_cooking;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"dungeonsdelight:spider_bisque","Spider Bisque","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/spider_bisque","dish_token;edible=true;type=dungeonsdelight:monster_cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:spider_extract","Spider Extract","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/spider_extract","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:spider_pie_slice","Slice of Spider Pie","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:cutting/spider_pie","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:spider_salmagundi","Spider Salmagundi","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/spider_salmagundi","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:spider_tanghulu","Spider Tanghulu","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/spider_tanghulu","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:takoyaki","Takoyaki","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/takoyaki","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:terrine_loaf","Terrine Loaf","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/terrine_loaf","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:trial_freakshake","Trial Freakshake","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/trial_freakshake","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"dungeonsdelight:wispy_rice_ball","Wispy Rice Ball","Dungeon's Delight","DISH","T2","","","","","NEW","是","dungeonsdelight:monster_cooking/wispy_rice_ball","cooking_device=dungeonsdelight:monster_cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"minecraft:bread","Bread","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:bread_from_smelting | mynethersdelight:bread_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:bacon-wrapped_sausage_on_a_stick","Bacon-wrapped Sausage on a Stick","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/bacon_wrapped_sausage_stick","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:bleeding_tartar","Bleeding Tartar","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/bleeding_tartar","manual_override;FOOD nutrition=6 saturation=9 effects=fire_resistance+nourishment; recipe id=mynethersdelight:crafting/bleeding_tartar (minced_strider×2+egg+bowl); 碗装复合","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:blue_tenderloin_steak","Blue Tenderloin Steak","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/blue_tenderloin_steak","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:boiled_egg","Boiled Egg","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:boiled_egg_cooking | mynethersdelight:boiled_egg_from_campfire_cooking | mynethersdelight:boiled_egg_from_smoking | mynethersdelight:cooking/boiled_eggs","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:breakfast_sampler","Breakfast Sampler","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/breakfast_sampler","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:burnt_roll","Burnt Roll","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:cooking/burn_roll | mynethersdelight:crafting/burnt_roll","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:chilidog","Chilidog","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/chilidog","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:cooked_loin","Cooked Loin","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:hoglin_loin_cooking | mynethersdelight:hoglin_loin_from_campfire_cooking | mynethersdelight:hoglin_loin_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:crimson_stroganoff","Crimson Stroganoff","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/crimson_stroganoff","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
