"设备","recipeId","输入容器","交付物","返还路径","证据","决定","scopeStatus","runtimeStatus"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/ossobuco_block","minecraft:skeleton_skull","dungeonsdelight:ossobuco_block","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/rot_roast","dungeonsdelight:carved_rotgourd","dungeonsdelight:rot_roast","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/spider_bubble_tea","farmersdelight:milk_bottle","dungeonsdelight:spider_bubble_tea","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/apple_jelly","minecraft:glass_bottle","brewinandchewin:apple_jelly","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/cheesy_pasta","minecraft:bowl","brewinandchewin:cheesy_pasta","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/creamy_onion_soup","minecraft:bowl","brewinandchewin:creamy_onion_soup","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/fiery_fondue_pot","minecraft:cauldron","brewinandchewin:fiery_fondue_pot","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/glow_berry_marmalade","minecraft:glass_bottle","brewinandchewin:glow_berry_marmalade","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/horror_lasagna","minecraft:bowl","brewinandchewin:horror_lasagna","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/scarlet_pierogi","minecraft:bowl","brewinandchewin:scarlet_pierogi","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/sweet_berry_jam","minecraft:glass_bottle","brewinandchewin:sweet_berry_jam","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","brewinandchewin:cooking/vegetable_omelet","minecraft:bowl","brewinandchewin:vegetable_omelet","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"brewinandchewin:keg_pouring","brewinandchewin:pouring/potion","minecraft:glass_bottle","minecraft:potion","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"brewinandchewin:create_potion_pouring","brewinandchewin:pouring/create/potion","minecraft:glass_bottle","minecraft:potion","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"brewinandchewin:keg_pouring","brewinandchewin:pouring/unripe_flaxen_cheese_wheel","minecraft:honeycomb","brewinandchewin:unripe_flaxen_cheese_wheel","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"brewinandchewin:keg_pouring","brewinandchewin:pouring/unripe_scarlet_cheese_wheel","minecraft:honeycomb","brewinandchewin:unripe_scarlet_cheese_wheel","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"brewinandchewin:keg_pouring","brewinandchewin:pouring/create/builders_tea","minecraft:glass_bottle","create:builders_tea","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"bakeries:blender","bakeries:blender/bottle_cream","minecraft:glass_bottle","bakeries:bottle_cream","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"bakeries:blender","bakeries:blender/matcha_parfait","minecraft:glass_bottle","bakeries:matcha_parfait","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"bakeries:blender","bakeries:blender/olive_oil","minecraft:glass_bottle","bakeries:olive_oil","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
