"item_id","建议分类","entry_id","当前是否存在","当前所在分类","合并状态","是否建议新增","解锁方式","备注"
"dungeonsdelight:fried_ghast_calamari","COMMON","item:dungeonsdelight/fried_ghast_calamari","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:gelled_salad","T2","item:dungeonsdelight/gelled_salad","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:ghast_roll","T2","item:dungeonsdelight/ghast_roll","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:ghastly_spirits","T2","item:dungeonsdelight/ghastly_spirits","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:ghoulash","T2","item:dungeonsdelight/ghoulash","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:gyudon","T2","item:dungeonsdelight/gyudon","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:haggis","T2","item:dungeonsdelight/haggis","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:jelly_beans","T2","item:dungeonsdelight/jelly_beans","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:malicious_sandwich","T2","item:dungeonsdelight/malicious_sandwich","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:marshbellow","T2","item:dungeonsdelight/marshbellow","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:monster_burger","T2","item:dungeonsdelight/monster_burger","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:monster_cake_slice","T2","item:dungeonsdelight/monster_cake_slice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:monster_muffin","T2","item:dungeonsdelight/monster_muffin","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:necronog","T2","item:dungeonsdelight/necronog","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:poi","T2","item:dungeonsdelight/poi","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:poisonous_poutine","T2","item:dungeonsdelight/poisonous_poutine","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:rot_roast","T2","item:dungeonsdelight/rot_roast","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:rotpop","T2","item:dungeonsdelight/rotpop","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:rubaboo","T2","item:dungeonsdelight/rubaboo","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:salt_soaked_stew","T2","item:dungeonsdelight/salt_soaked_stew","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:sculk_apple","T2","item:dungeonsdelight/sculk_apple","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:shiokara","T2","item:dungeonsdelight/shiokara","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:silverfish_fried_rice","T2","item:dungeonsdelight/silverfish_fried_rice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:sinigang","T2","item:dungeonsdelight/sinigang","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:slicorice","COMMON","item:dungeonsdelight/slicorice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:slime_bar","COMMON","item:dungeonsdelight/slime_bar","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:slime_noodles","T2","item:dungeonsdelight/slime_noodles","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:smoked_spider_meat","COMMON","item:dungeonsdelight/smoked_spider_meat","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:snifferwurst","T2","item:dungeonsdelight/snifferwurst","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:snuffledog","T2","item:dungeonsdelight/snuffledog","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:soaked_skewer","T2","item:dungeonsdelight/soaked_skewer","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:soft_serve_sniffer_egg","COMMON","item:dungeonsdelight/soft_serve_sniffer_egg","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:spider_bisque","T2","item:dungeonsdelight/spider_bisque","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:spider_extract","T2","item:dungeonsdelight/spider_extract","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:spider_pie_slice","T2","item:dungeonsdelight/spider_pie_slice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:spider_salmagundi","T2","item:dungeonsdelight/spider_salmagundi","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:spider_tanghulu","T2","item:dungeonsdelight/spider_tanghulu","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:takoyaki","T2","item:dungeonsdelight/takoyaki","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:terrine_loaf","T2","item:dungeonsdelight/terrine_loaf","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:trial_freakshake","T2","item:dungeonsdelight/trial_freakshake","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:wispy_rice_ball","T2","item:dungeonsdelight/wispy_rice_ball","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"minecraft:bread","COMMON","item:minecraft/bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:bacon-wrapped_sausage_on_a_stick","T2","item:mynethersdelight/bacon-wrapped_sausage_on_a_stick","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:bleeding_tartar","T2","item:mynethersdelight/bleeding_tartar","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:blue_tenderloin_steak","T2","item:mynethersdelight/blue_tenderloin_steak","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:boiled_egg","COMMON","item:mynethersdelight/boiled_egg","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:breakfast_sampler","T2","item:mynethersdelight/breakfast_sampler","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:burnt_roll","COMMON","item:mynethersdelight/burnt_roll","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:chilidog","T2","item:mynethersdelight/chilidog","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:cooked_loin","COMMON","item:mynethersdelight/cooked_loin","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:crimson_stroganoff","T2","item:mynethersdelight/crimson_stroganoff","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:deviled_egg","T2","item:mynethersdelight/deviled_egg","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:dried_ghast_with_milk","COMMON","item:mynethersdelight/dried_ghast_with_milk","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:egg_soup","T2","item:mynethersdelight/egg_soup","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:fried_hoglin_chop","COMMON","item:mynethersdelight/fried_hoglin_chop","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:fries_ghasta","T2","item:mynethersdelight/fries_ghasta","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:ghast_salad","T2","item:mynethersdelight/ghast_salad","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:giant_takoyaki","T2","item:mynethersdelight/giant_takoyaki","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hoglin_sausage","T2","item:mynethersdelight/hoglin_sausage","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hot_cream_cone","T2","item:mynethersdelight/hot_cream_cone","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hot_wings","T2","item:mynethersdelight/hot_wings","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hot_wings_bucket","COMMON","item:mynethersdelight/hot_wings_bucket","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hotdog","COMMON","item:mynethersdelight/hotdog","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hotdog_with_mixed_salad","T2","item:mynethersdelight/hotdog_with_mixed_salad","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:hotdog_with_nether_salad","T2","item:mynethersdelight/hotdog_with_nether_salad","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:magma_cake_slice","T2","item:mynethersdelight/magma_cake_slice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:nether_burger","T2","item:mynethersdelight/nether_burger","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:red_loin_on_a_stick","COMMON","item:mynethersdelight/red_loin_on_a_stick","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:roasted_sausage","COMMON","item:mynethersdelight/roasted_sausage","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:rock_soup","T2","item:mynethersdelight/rock_soup","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:sausage_and_potatoes","T2","item:mynethersdelight/sausage_and_potatoes","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:scotch_eggs","T2","item:mynethersdelight/scotch_eggs","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:sizzling_pudding","T2","item:mynethersdelight/sizzling_pudding","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:slices_of_bread","T2","item:mynethersdelight/slices_of_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:spicy_cotton","COMMON","item:mynethersdelight/spicy_cotton","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:spicy_curry","T2","item:mynethersdelight/spicy_curry","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:spicy_hoglin_stew","T2","item:mynethersdelight/spicy_hoglin_stew","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:spicy_noodle_soup","T2","item:mynethersdelight/spicy_noodle_soup","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:spicy_skewer","T2","item:mynethersdelight/spicy_skewer","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:strider_stew","T2","item:mynethersdelight/strider_stew","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:strider_with_grilled_fungus","T2","item:mynethersdelight/strider_with_grilled_fungus","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:stuffed_pepper","T2","item:mynethersdelight/stuffed_pepper","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:tear_popsicle","COMMON","item:mynethersdelight/tear_popsicle","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"mynethersdelight:toasts","COMMON","item:mynethersdelight/toasts","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
