来源,文件名,modId,显示名,版本,端侧,判断依据,引用client类,必选依赖,可选依赖,不兼容,备注
服务器mods,[不够用的配方书]Not Enough Recipe Book-NEOFORGE-0.4.3+1.21.jar,nerb,Not Enough Recipe Book,0.4.3,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0,); minecraft@[1.21,); architectury@[13.0.2,); octolib@[0.4.2,)",,,
服务器mods,[丰收]bountiful-neoforge-8.0.0-beta.2.jar,bountiful,Bountiful,8.0.0-beta.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[20.2.88,); kambrik@8.0.0-beta.2; minecraft@1.21",,,
服务器mods,[传送石碑]waystones-neoforge-1.21.1-21.1.38.jar,waystones,Waystones,21.1.38,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21-beta,); minecraft@[1.21,); balm@[21.0.39,)",,,
服务器mods,[信息提示]Jade-1.21.1-NeoForge-15.10.5.jar,jade,Jade,${file.jarVersion},双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.143, )",,,
服务器mods,[信息提示扩展]JadeAddons-1.21.1-NeoForge-6.1.0.jar,jadeaddons,Jade Addons,${file.jarVersion},双端,服务器+客户端均加载(Automodpack分发),是,"jade@[15.10, )",,,
服务器mods,[农夫乐事-食物可视化]displaydelight-1.6.0.jar,displaydelight,Display Delight,1.6.0,双端,服务器+客户端均加载(Automodpack分发),是,,"farmersdelight@[1.3.0,)",,
服务器mods,[农夫乐事]FarmersDelight-1.21.1-1.3.2.jar,farmersdelight,Farmer's Delight,1.3.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.219,); minecraft@[1.21.1]","crafttweaker@[14.0.6,)",,
服务器mods,[出生点C2ME修复]spawn_c2me_fix-1.21.1-1.0.0.jar,spawn_c2me_fix,Spawn C2ME Fix,1.21.1-1.0.0,双端,服务器+客户端均加载(Automodpack分发),否,"neoforge@[21.1.233,); minecraft@[1.21.1]; spawn@*",,,
服务器mods,[击杀效果]gd656killicon-1.1.0.020-1.21.1-neoforge.jar,gd656killicon,GD656Killicon,1.1.0.020-1.21.1-neoforge,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.0,); minecraft@[1.21.1,1.22)",,,
服务器mods,[动物生态]spawn-4.0.7-1.21.1.jar,spawn,Spawn,4.0.7-1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.234,); minecraft@[1.21.1]; teallib@[1.3.teal,)",,,
服务器mods,[可扩展光照]ScalableLux-neoforge-0.3.0-alpha.0.6-all.jar,scalablelux,ScalableLux,0.3.0-alpha.0.6+1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"minecraft@[1.21.1,)",,,
服务器mods,[土豆商店]spudaciousshops-1.10.3-neoforge-1.21.1.jar,spudaciousshops,Spud's Shops,1.10.3-neoforge-1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21.1,1.22)",,,
服务器mods,[地形-前置]biolith-neoforge-3.0.14.jar,biolith,Biolith,3.0.14,双端,服务器+客户端均加载(Automodpack分发),否,"neoforge@[21.1.22,); minecraft@[1.21.1,1.21.2)",,,
服务器mods,[地形-无人之地]nomansland-1.5.12.jar,nomansland,No Man's Land,1.5.12,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.207,); minecraft@[1.21.1]; mixed_litter@[1.1.0,); biolith@[3.0.9,)",create; farmersdelight; blockbox; nirvana; boatload,,
服务器mods,[地形构造]tectonic-3.0.26-neoforge-21.1.jar,tectonic,Tectonic,3.0.26,服务器端,仅服务器加载(被autoExclude排除),是,"minecraft@[1.21, 1.21.1]",,,文件已禁用(.disabled)未加载
服务器mods,[岩石缝合]lithostitched-1.7.13-neoforge-21.1.jar,lithostitched,Lithostitched,1.7.13,双端,服务器+客户端均加载(Automodpack分发),是,,,,
服务器mods,[并行区块管理引擎]c2me-neoforge-mc1.21.1-0.4.0-alpha.0.116.jar,c2me,Concurrent Chunk Management Engine,0.4.0-alpha.0.116+1.21.1,双端,服务器+客户端均加载(Automodpack分发),否,"minecraft@[1.21.1,1.21.2)",,,
服务器mods,[性能分析]spark-1.10.124-neoforge.jar,spark,spark,1.10.124,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[20,)",,,
服务器mods,[手工家具]handcrafted-neoforge-1.21.1-4.0.3.jar,handcrafted,Handcrafted,4.0.3,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21,); resourcefullib@[3.0.0,)",,,
服务器mods,[收藏家商队]collectors_caravan-8.5.0-neoforge-1.21.1.jar,collectors_caravan,Collector's Caravan,8.5.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.65,); minecraft@[1.21.1]","geckolib@[0,)",,
服务器mods,[料理订单]ordertocook-1.3.5-neoforge1.21.1.jar,ordertocook,Order To Cook,1.3.5,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.0,); minecraft@[1.21.1,1.21.2); geckolib@[4.8.0,)",,,
服务器mods,[旋律前置库]melody_neoforge_1.0.10_MC_1.21.jar,melody,Melody,1.0.10,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.20-beta,); minecraft@[1.21,)",,,
服务器mods,[服务器核心]servercore-neoforge-1.5.19+1.21.1.jar,servercore,ServerCore,1.5.19+1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"minecraft@[1.21,); neoforge@[20.2.86,)",,,
服务器mods,[机械动力]create-1.21.1-6.0.10.jar,create,Create,6.0.10,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.219,); minecraft@[1.21.1]; flywheel@[1.0.0,2.0); ponder@[1.0.82,)","sodium@[0.6.9,); lithium@[0.14.7,); journeymap@[1.21.1-6.0.0-beta.46,); xaeroworldmap@[1.40.2,)",radium; palladium,
服务器mods,[枪械2]tacz-neoforge-1.21.1-1.1.8-hotfix-r6.jar,tacz,Timeless & Classics Guns: Zero,1.1.8-hotfix-r6,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21.1]",,,
服务器mods,[框架]framework-neoforge-1.21.1-0.13.11.jar,framework,Framework,0.13.11,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1,); minecraft@[1.21.1,)",,,
服务器mods,[森罗物语-兼容]kaleidoscope_compat-2.9.7-neoforge+mc1.21.1.jar,kaleidoscope_compat,Kaleidoscope Compat,2.9.7-neoforge+mc1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.215,); minecraft@[1.21.1]; kaleidoscope_cookery@[1.4.0-neoforge+mc1.21.1,)","kaleidoscope_tavern@[1.0.0,); artifacts; kaleidoscope_doll@[1.3.0,)",,
服务器mods,[沉浸式家具]immersive_furniture-neoforge-0.3.2+1.21.1.jar,immersive_furniture,Immersive Furniture,0.3.2+1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[1,); minecraft@[1.21, 1.22)",ferritecore@*; packetfixer@*,,
服务器mods,[沉浸式界面]immersiveoverlays-1.7.3+1.21.1-neoforge.jar,immersiveoverlays,Immersive Overlays,1.7.3+1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.181,); minecraft@[1.21.1]; mru@[1.0.30, )",,,
服务器mods,[泰拉瑞斯]Terralith_1.21.1_v2.6.2_Neoforge.jar,terralith,Terralith,2.6.2,双端,服务器+客户端均加载(Automodpack分发),是,"lithostitched@[1.7.7,); lithostitched@[1.7.7,)",,,
服务器mods,[海浪]Waves-1.21.x-1.6.jar,waves,Waves,1.6,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.0-beta,); minecraft@[1.21,)",,,
服务器mods,[灼热枪械]ScorchedGuns-Neoforge-1.5.jar,scguns,Scorched Guns,1.5,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.228,); minecraft@[1.21.1,1.22); framework@[0.13.9,); curios@[9.4.1,); geckolib@[4.8.4,)",controllable; backpacked; jei; create; farmersdelight; immersiveengineering; sculkhorde; valkyrienskies; mekanism; playerrevive,,
服务器mods,[物品描述]item_descriptions-2.8.0+1.21.1-neoforge.jar,item_descriptions,Item Descriptions,2.8.0+1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0,); minecraft@[1.21, 1.21.3]",,,
服务器mods,[物品查询]oneenoughitem-neoforge-1.21.1-1.0.8.jar,oneenoughitem,oneenoughitem,1.0.8,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.194,); oelib@[0.1.2,); minecraft@[1.21,1.21.2)",,,
服务器mods,[物品管理]jei-1.21.1-neoforge-19.42.0.385.jar,jei,Just Enough Items,19.42.0.385,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.238,); minecraft@[1.21, 1.21.1)",,,
服务器mods,[物品限制]itemrestrictions-9.0.0-neoforge.jar,itemrestrictions,Item Restrictions,9.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[4,); minecraft@[1.21,); architectury@[13.0.6,); yamlconfig@[9.0.0,); arc@[9.0.0,)",,,
服务器mods,[现代修复]modernfix-neoforge-5.27.20+mc1.21.1.jar,modernfix,ModernFix,5.27.20+mc1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.111-beta,); minecraft@[1.21, 1.22)","jei@[15.8.0.11,)",,
服务器mods,[生物控制]incontrol-1.21-10.2.6.jar,incontrol,InControl,${file.jarVersion},双端,服务器+客户端均加载(Automodpack分发),否,"neoforge@[21.0,)","lostcities@[1.21-8.2.1,)",,
服务器mods,[界面库]uilib-9.0.0-neoforge.jar,uilib,UI Lib,9.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21,); architectury@[13.0.6,)",,,
服务器mods,[破坏记录]grieflogger-1.2.9-1.21.1-neoforge.jar,grieflogger,GriefLogger,1.2.9-1.21.1,服务器端,仅服务器加载(被autoExclude排除),否,"neoforge@[3,); minecraft@[1.21.1,); architectury@[13.0.8,); supermartijn642configlib@[1.1.8,)",,,
服务器mods,[禁用聊天举报]NoChatReports-NEOFORGE-1.21.1-v2.9.1.jar,nochatreports,No Chat Reports,1.21.1-v2.9.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.0,); minecraft@[1.21,)",,,
服务器mods,[章鱼库]OctoLib-NEOFORGE-0.6.2+1.21.jar,octolib,OctoLib,0.6.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0,); minecraft@[1.21,); architectury@[13.0.2,)",,,
服务器mods,[结构建造师]structure_crafter-1.21.1neoforge-0.2.9.1.jar,structure_crafter,Structure Crafter,0.2.9.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21.1,1.22)",,,
服务器mods,[职业+]jobsplus-9.0.0-neoforge.jar,jobsplus,Jobs+,9.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.167,); minecraft@[1.21,); architectury@[13.0.6,); yamlconfig@[9.0.0,); arc@[9.0.0,); itemrestrictions@[9.0.0,); uilib@[9.0.0,)",,,
服务器mods,[脚本支持]kubejs-neoforge-2101.7.2-build.368.jar,kubejs,KubeJS,2101.7.2-build.368,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.199,); rhino@[2101.2.7-build.81,)","jei@[19.25.0.322,); roughlyenoughitems@[16.0.799,); emi@[1.1.22,); betteradvancedtooltips@[2101.1.0-build.1,)",,
服务器mods,[自动更新]automodpack-mc1.21.1-neoforge-4.0.5.jar,automodpack,AutoModpack,4.0.5,双端,分发器本体(requireAutoModpackOnClient)，客户端必装,否,,,,
服务器mods,[自然图鉴]fieldguide-neoforge-1.21.1-1.13.4.jar,fieldguide,Field Guide,1.13.4,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.226,); minecraft@[1.21.1, 1.21.2)",,,
服务器mods,[节气]EclipticSeasons-1.21.1-neoforge-0.14.2.1.2.jar,eclipticseasons,Ecliptic Seasons,0.14.2.1.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.197,); minecraft@[1.21,1.21.2)",,,
服务器mods,[范式]Paradigm-neoforge-1.21.1-2.3.0b.jar,paradigm,Paradigm,2.3.0b,双端,服务器+客户端均加载(Automodpack分发),否,"neoforge@[21,); minecraft@[1.21.1,1.22)",,,
服务器mods,[莱特曼货币]lightmanscurrency-1.21-2.3.0.5.jar,lightmanscurrency,Lightman's Currency,1.21-2.3.0.5,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.197,); minecraft@[1.21.1,1.21.2)",,,
服务器mods,[莱特曼货币悬赏]Lightmans-Currency-Bounties-1.0-serverfix.1.jar,lightmans_currency_bounties,Lightmans Currency Bounties - Server Fix,1.0-serverfix.1,服务器端,仅服务器加载(被autoExclude排除),否,bountiful@*,extrabounties@*,,文件已禁用(.disabled)未加载
服务器mods,[莱特曼货币悬赏]Lightmans-Currency-Bounties-1.0-serverfix.2.jar,lightmans_currency_bounties,Lightmans Currency Bounties - Server Fix,1.0-serverfix.2,双端,服务器+客户端均加载(Automodpack分发),否,bountiful@*,extrabounties@*,,
服务器mods,[莱特曼货币悬赏]Lightmans-Currency-Bounties-universal.jar,lightmans_currency_bounties,Lightmans Currency Bounties,1.0,服务器端,仅服务器加载(被autoExclude排除),否,bountiful@*,extrabounties@*,,文件已禁用(.disabled)未加载
服务器mods,[蝴蝶物语]Longwings-v0.9.5-1.21.1-NeoForge.jar,longwings,Longwings,0.9.5,双端,服务器+客户端均加载(Automodpack分发),是,neoforge@${neo_version_range}; minecraft@${minecraft_version_range},,,
服务器mods,[资源库]resourcefullib-neoforge-1.21-3.0.12.jar,resourcefullib,Resourceful Lib,3.0.12,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.0-beta,); minecraft@[1.21,)",,,
服务器mods,[跨平台架构]architectury-13.0.11-neoforge.jar,architectury,Architectury,13.0.11,双端,服务器+客户端均加载(Automodpack分发),是,"minecraft@[1.21,); neoforge@[21.0.110-beta,)",,,
服务器mods,[配方统一]almostunified-neoforge-1.21.1-1.4.2.jar,almostunified,AlmostUnified,1.21.1-1.4.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.37,); minecraft@[1.21.1,)","jei@[19.10.0.126,); roughlyenoughitems@[16.0.762,); emi@[1.1.13,)",,
服务器mods,[铁氧体核心]ferritecore-7.0.3-neoforge.jar,ferritecore,Ferrite Core,7.0.3,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.218,); minecraft@[1.21.1,1.22)",,,
服务器mods,[锂]lithium-neoforge-0.15.4+mc1.21.1.jar,lithium,Lithium,0.15.4+mc1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"minecraft@[1.21, 1.21.1]",,,
服务器mods,[队伍与领地]open-parties-and-claims-neoforge-1.21.1-0.29.3.jar,openpartiesandclaims,Open Parties and Claims,0.29.3,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.0-beta, 21.2); minecraft@[1.21, 1.21.1]","create@[6.0.0,)",,
服务器mods,[随身挎包]vercte-satchels-1.2.0.jar,satchels,Vercte's Satchels,1.2.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21.1]",,,
服务器mods,[雷暴视觉]tempestra-reforged-1.0.0.jar,tempestra,Tempestra,1.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1,); minecraft@[1.21.1]",,,
服务器mods,[飞艇]shellbound_for_airship-1.0.0-neoforge.jar,shellbound_for_airship,ShellBound for AirShip,1.0.0-neoforge,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.167,); minecraft@[1.21,1.21.1]",,,
服务器mods,[饰品API]curios-neoforge-9.5.1+1.21.1.jar,curios,Curios API,9.5.1+1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.60,); minecraft@[1.21, 1.22)",,,
服务器mods,blueprint-1.21.1-8.1.1.jar,blueprint,Blueprint,8.1.1,双端,服务器+客户端均加载(Automodpack分发),是,"minecraft@[1.21.1]; neoforge@[21.1.160,)",,,
服务器mods,caverns_and_chasms-1.21.1-3.0.0.jar,caverns_and_chasms,Caverns & Chasms,3.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"minecraft@[1.21.1]; neoforge@[21.1.222,); blueprint@[8.1.0,)",,,
服务器mods,roadweaver-neoforge-2.3.1-1.21.1-hotfix.jar,roadweaver,RoadWeaver,2.3.1-1.21.1,服务器端,仅服务器加载(被autoExclude排除),是,"neoforge@[21.1,); minecraft@[1.21.1,1.22)",,,文件已禁用(.disabled)未加载
服务器mods,tcth-0.1.0.jar,tcth,TCTH Integration,0.1.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.247,); minecraft@[1.21.1]","jobsplus@[9.0.0,); arc@[9.0.0,)",,
客户端目录,[Kotlin前置库]kotlinforforge-5.12.0-all.jar,,,,双端,服务器+客户端均加载(Automodpack分发)；无mods.toml元数据,?,,,,
客户端目录,[SuperMartijn配置库]supermartijn642configlib-1.1.8-neoforge-mc1.21.jar,supermartijn642configlib,SuperMartijn642's Config Library,1.1.8,双端,服务器+客户端均加载(Automodpack分发),否,"neoforge@[21.0.78-beta,); minecraft@[1.21,1.22)",,,
客户端目录,[客户端-通用拼音搜索]jecharacters-1.21.1-neoforge-4.5.27.jar,jecharacters,Just Enough Characters,4.5.27,客户端,仅客户端目录(main/mods),是,,,,
客户端目录,[客户端-镜头晃动]CameraOverhaul-v2.1.1-neoforge+mc[1.21-1.21.1].jar,cameraoverhaul,CameraOverhaul,2.1.1-neoforge+mc.1.21-1.21.1,客户端,仅客户端目录(main/mods),是,minecraft@>=1.21 <=1.21.1; cloth_config@>=16.0.0,,,
客户端目录,[客户端][世界粒子]aaa_particles_world-neoforge-1.21.1-2.0.0.jar,aaa_particles_world,AAA Particles: World,2.0.0,客户端,仅客户端目录(main/mods),是,"neoforge@[21.1.169,); minecraft@[1.21.1, 1.21.2); architectury@[13,); aaa_particles@[2.1,)",,,
客户端目录,[客户端][光影加载器]iris-neoforge-1.8.14-beta.1+mc1.21.1.jar,iris,Iris,1.8.14-beta.1+mc1.21.1,客户端,仅客户端目录(main/mods),是,"minecraft@[1.21,1.21.1)",,"embeddium@[0.0.1,)",
客户端目录,[客户端][女性身体优化]Female-Gender-Mod-neoforge-1.21-3.2.2.jar,wildfire_gender,Wildfire's Female Gender Mod,3.2.2,客户端,仅客户端目录(main/mods),是,"minecraft@[1.21,1.22); neoforge@[21.0.82-beta,)",,,
客户端目录,[客户端][实体渲染机制优化]entityculling-neoforge-1.10.5-mc1.21.1.jar,entityculling,EntityCulling,1.10.5,客户端,仅客户端目录(main/mods),是,"minecraft@[1.21.1]; neoforge@[20.2,)",,,
客户端目录,[客户端][资源包管理]packed_packs-neoforge-2.2.1+1.21.1.jar,packed_packs,Packed Packs,2.2.1+1.21.1,客户端,仅客户端目录(main/mods),是,"neoforge@[21.1.0,21.2.0)",,,
客户端目录,[客户端][输入法冲突修复]IMBlocker-5.5.4-neoforge+1.20.6-1.21.8.jar,imblocker,IMBlocker,5.5.4,客户端,仅客户端目录(main/mods),是,,,,
客户端目录,[客户端][重生动画]cinematic_respawn-1.21.1-neoforge-1.2.0.jar,cinematic_respawn,Cinematic Respawn,1.2.0,客户端,仅客户端目录(main/mods),是,"neoforge@[21.1,); minecraft@[1.21.1]",,,
客户端目录,[客户端][钠-扩展]sodium-extra-neoforge-0.9.3+mc1.21.1.jar,sodium_extra,Sodium Extra,0.9.3+mc1.21.1,客户端,仅客户端目录(main/mods),是,"minecraft@[1.21.1,1.21.2); sodium@[0.8.12+mc1.21.1,)","greenlight@[0.1.0,)",,
客户端目录,[客户端][钠-界面优化]reeses-sodium-options-neoforge-2.2.3+mc1.21.1.jar,reeses_sodium_options,Reese's Sodium Options,2.2.3+mc1.21.1,客户端,仅客户端目录(main/mods),是,"minecraft@1.21.1; sodium@[0.8.12,)","controlify@[3.0.0,)","sodiumoptionsapi@[0,)",
客户端目录,[客户端][钠]sodium-neoforge-0.8.13-beta.1+mc1.21.1.jar,sodium,Sodium,0.8.13-beta.1+mc1.21.1,客户端,仅客户端目录(main/mods),是,"minecraft@1.21.1; neoforge@[21.1.82,)",,"embeddium@[0.0.1,)",
客户端目录,[客户端][面部动画]Reactions-neoforge-0.7.0+1.21.1.jar,reactions,Reactions,0.7.0,客户端,仅客户端目录(main/mods),是,"neoforge@[21,); minecraft@[1.21,1.21.4)",,,
客户端目录,[客户端][顺滑F5]smooth_f5-neoforge-1.3.1.jar,smooth_f5,Smooth F5,1.3.1,客户端,仅客户端目录(main/mods),是,"neoforge@[21.1,); minecraft@[1.21.1,); architectury@[13.0.8,)",,,
客户端目录,[客户端][鼠标手势]MouseTweaks-neoforge-mc1.21-2.26.1.jar,mousetweaks,Mouse Tweaks,2.26.1,客户端,仅客户端目录(main/mods),是,,,,
客户端目录,[客户端]aaa_particles-neoforge-1.21.1-2.2.3.jar,aaa_particles,AAA Particles,2.2.3,客户端,仅客户端目录(main/mods),是,"neoforge@[21.1.169,); minecraft@[1.21, 1.21.2)",,,
客户端目录,[配置库]cloth-config-15.0.140-neoforge.jar,cloth_config,Cloth Config v15 API,15.0.140,客户端,仅客户端目录(main/mods),是,"neoforge@[21.0.110-beta,)",,,
