配方ID,产物,数量,机器,原料,附加参数
chair_jungle,丛林木椅子(kaleidoscope_cookery:chair_jungle),1,工作台,丛林木栅栏(minecraft:jungle_fence)×3 + 丛林木台阶(minecraft:jungle_slab)×3,
chair_mangrove,红树木椅子(kaleidoscope_cookery:chair_mangrove),1,工作台,红树木栅栏(minecraft:mangrove_fence)×3 + 红树木台阶(minecraft:mangrove_slab)×3,
chair_oak,橡木椅子(kaleidoscope_cookery:chair_oak),1,工作台,橡木栅栏(minecraft:oak_fence)×3 + 橡木台阶(minecraft:oak_slab)×3,
chair_spruce,云杉木椅子(kaleidoscope_cookery:chair_spruce),1,工作台,云杉木栅栏(minecraft:spruce_fence)×3 + 云杉木台阶(minecraft:spruce_slab)×3,
chair_warped,诡异木椅子(kaleidoscope_cookery:chair_warped),1,工作台,诡异木栅栏(minecraft:warped_fence)×3 + 诡异木台阶(minecraft:warped_slab)×3,
chili_ristra,辣椒串串(kaleidoscope_cookery:chili_ristra),1,工作台,红辣椒(kaleidoscope_cookery:red_chili)×6,
chopping_board,菜板(kaleidoscope_cookery:chopping_board),1,工作台,木压力板(#minecraft:wooden_pressure_plates)×6,
chopping_board_bone_from_cod,骨头(minecraft:bone),2,菜板,熟鳕鱼(minecraft:cooked_cod),切 4 刀
chopping_board_bone_from_salmon,骨头(minecraft:bone),2,菜板,熟鲑鱼(minecraft:cooked_salmon),切 4 刀
chopping_board_cooked_cow_offal,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),2,菜板,牛排(minecraft:cooked_beef),切 4 刀
chopping_board_cooked_cut_small_meats_from_chicken,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),2,菜板,熟鸡肉(minecraft:cooked_chicken),切 4 刀
chopping_board_cooked_cut_small_meats_from_rabbit,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),2,菜板,熟兔肉(minecraft:cooked_rabbit),切 4 刀
chopping_board_cooked_lamb_chops,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),2,菜板,熟羊肉(minecraft:cooked_mutton),切 4 刀
chopping_board_cooked_pork_belly,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),2,菜板,熟猪排(minecraft:cooked_porkchop),切 4 刀
chopping_board_raw_cow_offal,生牛杂(kaleidoscope_cookery:raw_cow_offal),2,菜板,生牛肉(minecraft:beef),切 4 刀
chopping_board_raw_cut_small_meats_from_chicken,生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),2,菜板,生鸡肉(minecraft:chicken),切 4 刀
chopping_board_raw_cut_small_meats_from_rabbit,生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),2,菜板,生兔肉(minecraft:rabbit),切 4 刀
chopping_board_raw_lamb_chops,生羊排(kaleidoscope_cookery:raw_lamb_chops),2,菜板,生羊肉(minecraft:mutton),切 4 刀
chopping_board_raw_noodles_from_raw_dough,生面条(kaleidoscope_cookery:raw_noodles),2,菜板,面团(#c:dough),切 4 刀
chopping_board_raw_pork_belly,生五花肉(kaleidoscope_cookery:raw_pork_belly),2,菜板,生猪排(minecraft:porkchop),切 4 刀
chopping_board_sashimi_from_cod,刺身(kaleidoscope_cookery:sashimi),2,菜板,生鳕鱼(minecraft:cod),切 4 刀
chopping_board_sashimi_from_salmon,刺身(kaleidoscope_cookery:sashimi),2,菜板,生鲑鱼(minecraft:salmon),切 4 刀
chopping_board_sashimi_from_tropical_fish,刺身(kaleidoscope_cookery:sashimi),2,菜板,热带鱼(minecraft:tropical_fish),切 4 刀
chorus_fruit_platter,紫颂果拼盘(kaleidoscope_cookery:chorus_fruit_platter),1,工作台,紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 碗(minecraft:bowl),
cold_cut_ham_slices,冷切火腿片(kaleidoscope_cookery:cold_cut_ham_slices),1,工作台,熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 碗(minecraft:bowl),
cold_roasted_meat,冷肉炙(kaleidoscope_cookery:cold_roasted_meat),1,工作台,牛排(minecraft:cooked_beef) + 牛排(minecraft:cooked_beef) + 牛排(minecraft:cooked_beef) + 碗(minecraft:bowl),
cold_style_sashimi,寒带风味刺身(kaleidoscope_cookery:cold_style_sashimi),1,工作台,雪球(minecraft:snowball) + 雪球(minecraft:snowball) + 雪球(minecraft:snowball) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),
cook_stool_acacia,金合欢木厨娘凳(kaleidoscope_cookery:cook_stool_acacia),1,工作台,金合欢木板(minecraft:acacia_planks)×5,
cook_stool_bamboo,竹厨娘凳(kaleidoscope_cookery:cook_stool_bamboo),1,工作台,竹块(minecraft:bamboo_block)×5,
cook_stool_birch,白桦木厨娘凳(kaleidoscope_cookery:cook_stool_birch),1,工作台,白桦木板(minecraft:birch_planks)×5,
cook_stool_cherry,樱花木厨娘凳(kaleidoscope_cookery:cook_stool_cherry),1,工作台,樱花木板(minecraft:cherry_planks)×5,
cook_stool_crimson,绯红木厨娘凳(kaleidoscope_cookery:cook_stool_crimson),1,工作台,绯红木板(minecraft:crimson_planks)×5,
cook_stool_dark_oak,深色橡木厨娘凳(kaleidoscope_cookery:cook_stool_dark_oak),1,工作台,深色橡木木板(minecraft:dark_oak_planks)×5,
cook_stool_jungle,丛林木厨娘凳(kaleidoscope_cookery:cook_stool_jungle),1,工作台,丛林木板(minecraft:jungle_planks)×5,
cook_stool_mangrove,红树木厨娘凳(kaleidoscope_cookery:cook_stool_mangrove),1,工作台,红树木板(minecraft:mangrove_planks)×5,
cook_stool_oak,橡木厨娘凳(kaleidoscope_cookery:cook_stool_oak),1,工作台,橡木木板(minecraft:oak_planks)×5,
cook_stool_spruce,云杉木厨娘凳(kaleidoscope_cookery:cook_stool_spruce),1,工作台,云杉木板(minecraft:spruce_planks)×5,
cook_stool_warped,诡异木厨娘凳(kaleidoscope_cookery:cook_stool_warped),1,工作台,诡异木板(minecraft:warped_planks)×5,
desert_style_sashimi,沙漠风味刺身(kaleidoscope_cookery:desert_style_sashimi),1,工作台,仙人掌(minecraft:cactus) + 仙人掌(minecraft:cactus) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),
diamond_kitchen_knife,钻石菜刀(kaleidoscope_cookery:diamond_kitchen_knife),1,工作台,钻石(#c:gems/diamond)×3 + 木棍(minecraft:stick),
empty_cup,空茶杯(kaleidoscope_cookery:empty_cup),1,工作台,花盆(minecraft:flower_pot),
enamel_basin,搪瓷盆子(kaleidoscope_cookery:enamel_basin),1,工作台,石按钮(minecraft:stone_button) + 重型测重压力板(minecraft:heavy_weighted_pressure_plate) + 桶(minecraft:bucket),
end_style_sashimi,末地风味刺身(kaleidoscope_cookery:end_style_sashimi),1,工作台,紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),
farmer_boots,农夫皮靴(kaleidoscope_cookery:farmer_boots),1,工作台,铁锭(#c:ingots/iron)×2 + 皮革(minecraft:leather)×2,
farmer_chest_plate,农夫围裙(kaleidoscope_cookery:farmer_chest_plate),1,工作台,铁锭(#c:ingots/iron)×2 + 皮革(minecraft:leather)×6,
farmer_leggings,农夫长裤(kaleidoscope_cookery:farmer_leggings),1,工作台,皮革(minecraft:leather)×6 + 铁锭(#c:ingots/iron),
fish_flavored_shredded_pork_rice_bowl,鱼香肉丝盖饭(kaleidoscope_cookery:fish_flavored_shredded_pork_rice_bowl),1,盖饭(饭碗:菜+米饭),鱼香肉丝(kaleidoscope_cookery:fish_flavored_shredded_pork),
flex_pot_blaze_lamb_chop,烈焰羊排(kaleidoscope_cookery:blaze_lamb_chop),1,"炒锅(灵活配方,可替换原料)",烈焰粉(minecraft:blaze_powder) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl)
flex_pot_braised_beef,红烧牛肉(kaleidoscope_cookery:braised_beef),1,"炒锅(灵活配方,可替换原料)",生牛肉(#c:foods/raw_beef) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl)
flex_pot_braised_pork_ribs,红烧排骨(kaleidoscope_cookery:braised_pork_ribs),1,"炒锅(灵活配方,可替换原料)",骨头(minecraft:bone) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl)
flex_pot_candied_potato,拔丝土豆(kaleidoscope_cookery:candied_potato),1,"炒锅(灵活配方,可替换原料)",糖(minecraft:sugar) + 马铃薯(minecraft:potato),载体:碗(minecraft:bowl)
flex_pot_chorus_fried_egg,荷包紫颂烧(kaleidoscope_cookery:chorus_fried_egg),1,"炒锅(灵活配方,可替换原料)",蛋(#c:eggs) + 紫颂果(minecraft:chorus_fruit),载体:碗(minecraft:bowl)
flex_pot_crystal_lamb_chop,水晶羊排(kaleidoscope_cookery:crystal_lamb_chop),1,"炒锅(灵活配方,可替换原料)",紫水晶碎片(minecraft:amethyst_shard) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl)
flex_pot_dongpo_pork,东坡肉(kaleidoscope_cookery:dongpo_pork),1,"炒锅(灵活配方,可替换原料)",生猪排(#c:foods/raw_pork) + 竹子(minecraft:bamboo),载体:碗(minecraft:bowl)
flex_pot_donkey_burger,驴肉火烧(kaleidoscope_cookery:donkey_burger),1,"炒锅(灵活配方,可替换原料)",辣椒(#c:crops/chilipepper) + 面团(#c:dough) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),
flex_pot_egg_fried_rice,蛋炒饭(kaleidoscope_cookery:egg_fried_rice),1,"炒锅(灵活配方,可替换原料)",蛋(#c:eggs) + 熟米饭(#c:foods/cooked_rice),载体:碗(minecraft:bowl)
flex_pot_fish_flavored_shredded_pork,鱼香肉丝(kaleidoscope_cookery:fish_flavored_shredded_pork),1,"炒锅(灵活配方,可替换原料)",生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 蘑菇(#c:mushrooms),载体:碗(minecraft:bowl)
flex_pot_fondant_pie,翻糖派(kaleidoscope_cookery:fondant_pie),1,"炒锅(灵活配方,可替换原料)",糖(minecraft:sugar) + 南瓜派(minecraft:pumpkin_pie),载体:碗(minecraft:bowl)
flex_pot_fondant_spider_eye,翻糖蛛眼(kaleidoscope_cookery:fondant_spider_eye),1,"炒锅(灵活配方,可替换原料)",糖(minecraft:sugar) + 蜘蛛眼(minecraft:spider_eye),载体:碗(minecraft:bowl)
flex_pot_fried_caterpillar,油炸猪儿虫(kaleidoscope_cookery:fried_caterpillar),1,"炒锅(灵活配方,可替换原料)",毛虫(#kaleidoscope_cookery:caterpillars),载体:碗(minecraft:bowl)
flex_pot_fried_spring_roll,炸春卷(kaleidoscope_cookery:fried_spring_roll),1,"炒锅(灵活配方,可替换原料)",幻翼膜(minecraft:phantom_membrane) + 生猪排(#c:foods/raw_pork) + 蘑菇(#c:mushrooms),载体:碗(minecraft:bowl)
flex_pot_frost_lamb_chop,凛冬羊排(kaleidoscope_cookery:frost_lamb_chop),1,"炒锅(灵活配方,可替换原料)",蓝冰(minecraft:blue_ice) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl)
flex_pot_oil_splashed_fish,油泼鱼(kaleidoscope_cookery:oil_splashed_fish),1,"炒锅(灵活配方,可替换原料)",生鱼(#c:raw_fishes) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl)
flex_pot_pan_seared_knight_steak,香煎骑士牛排(kaleidoscope_cookery:pan_seared_knight_steak),1,"炒锅(灵活配方,可替换原料)",甜浆果(minecraft:sweet_berries) + 生牛肉(#c:foods/raw_beef) + 骨头(minecraft:bone),载体:碗(minecraft:bowl)
flex_pot_scramble_egg_with_tomatoes,番茄炒蛋(kaleidoscope_cookery:scramble_egg_with_tomatoes),1,"炒锅(灵活配方,可替换原料)",蛋(#c:eggs) + 番茄(#c:crops/tomato),载体:碗(minecraft:bowl)
flex_pot_slime_ball_meal,黏液饭(kaleidoscope_cookery:slime_ball_meal),1,"炒锅(灵活配方,可替换原料)",粘液球(minecraft:slime_ball),载体:碗(minecraft:bowl)
flex_pot_spicy_chicken,辣子鸡(kaleidoscope_cookery:spicy_chicken),1,"炒锅(灵活配方,可替换原料)",生鸡肉(#c:foods/raw_chicken) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl)
flex_pot_spicy_rabbit_head,麻辣兔头(kaleidoscope_cookery:spicy_rabbit_head),1,"炒锅(灵活配方,可替换原料)",生兔肉(minecraft:rabbit) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl)
flex_pot_stargazy_pie,仰望星空派(kaleidoscope_cookery:stargazy_pie),1,"炒锅(灵活配方,可替换原料)",生鱼(#c:raw_fishes) + 南瓜派(minecraft:pumpkin_pie),载体:碗(minecraft:bowl)
flex_pot_sticky_candy,牛皮糖(kaleidoscope_cookery:sticky_candy),1,"炒锅(灵活配方,可替换原料)",皮革(minecraft:leather) + 糖(minecraft:sugar),
flex_pot_stir_fried_pork_with_peppers,青椒炒肉(kaleidoscope_cookery:stir_fried_pork_with_peppers),1,"炒锅(灵活配方,可替换原料)",生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl)
flex_pot_stuffed_tiger_skin_pepper,虎皮青椒酿肉(kaleidoscope_cookery:stuffed_tiger_skin_pepper),1,"炒锅(灵活配方,可替换原料)",青辣椒(kaleidoscope_cookery:green_chili) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),载体:碗(minecraft:bowl)
flex_pot_sweet_and_sour_ender_pearls,珍珠咕噜肉(kaleidoscope_cookery:sweet_and_sour_ender_pearls),1,"炒锅(灵活配方,可替换原料)",末影珍珠(minecraft:ender_pearl) + 末影之眼(minecraft:ender_eye),载体:碗(minecraft:bowl)
flex_pot_sweet_and_sour_pork,糖醋里脊(kaleidoscope_cookery:sweet_and_sour_pork),1,"炒锅(灵活配方,可替换原料)",生猪排(#c:foods/raw_pork) + 糖(minecraft:sugar),载体:碗(minecraft:bowl)
flex_stockpot_beef_meatball_soup,牛丸汤(kaleidoscope_cookery:beef_meatball_soup),1,"汤锅(灵活配方,可替换原料)",生丸子(kaleidoscope_cookery:raw_meatball) + 生菜(#c:crops/lettuce),
flex_stockpot_beef_noodle,牛肉面(kaleidoscope_cookery:beef_noodle),1,"汤锅(灵活配方,可替换原料)",生牛肉(#c:foods/raw_beef) + 生面条(kaleidoscope_cookery:raw_noodles),
flex_stockpot_borscht,罗宋汤(kaleidoscope_cookery:borscht),1,"汤锅(灵活配方,可替换原料)",生牛肉(#c:foods/raw_beef) + 番茄(#c:crops/tomato),
flex_stockpot_braised_beef_with_potatoes,土豆炖牛肉(kaleidoscope_cookery:braised_beef_with_potatoes),1,"汤锅(灵活配方,可替换原料)",生牛肉(#c:foods/raw_beef) + 马铃薯(minecraft:potato),
flex_stockpot_brown_mushroom_pot_soup,棕蘑菇瓦罐汤(kaleidoscope_cookery:brown_mushroom_pot_soup),1,"汤锅(灵活配方,可替换原料)",棕色蘑菇(minecraft:brown_mushroom),载体:花盆(minecraft:flower_pot)
flex_stockpot_buddha_jumps_over_the_wall,佛跳墙(kaleidoscope_cookery:buddha_jumps_over_the_wall),1,"汤锅(灵活配方,可替换原料)",蛋(#c:eggs) + 幻翼膜(minecraft:phantom_membrane) + 生菜(#c:crops/lettuce),载体:花盆(minecraft:flower_pot)
flex_stockpot_chicken_and_mushroom_stew,小鸡炖蘑菇(kaleidoscope_cookery:chicken_and_mushroom_stew),1,"汤锅(灵活配方,可替换原料)",生鸡肉(#c:foods/raw_chicken) + 蘑菇(#c:mushrooms),
flex_stockpot_crimson_fungus_pot_soup,绯红菌瓦罐汤(kaleidoscope_cookery:crimson_fungus_pot_soup),1,"汤锅(灵活配方,可替换原料)",绯红菌(minecraft:crimson_fungus),载体:花盆(minecraft:flower_pot)
flex_stockpot_dough_drop_soup,疙瘩汤(kaleidoscope_cookery:dough_drop_soup),1,"汤锅(灵活配方,可替换原料)",生菜(#c:crops/lettuce) + 面粉(#c:flour),
flex_stockpot_fearsome_thick_soup,恐惧浓汤(kaleidoscope_cookery:fearsome_thick_soup),1,"汤锅(灵活配方,可替换原料)",腐肉(minecraft:rotten_flesh) + 幽匿块(minecraft:sculk),
flex_stockpot_four_joy_meatball_soup,四喜丸子汤(kaleidoscope_cookery:four_joy_meatball_soup),1,"汤锅(灵活配方,可替换原料)",生丸子(kaleidoscope_cookery:raw_meatball),
flex_stockpot_hot_dry_noodles,热干面(kaleidoscope_cookery:hot_dry_noodles),1,"汤锅(灵活配方,可替换原料)",辣椒(#c:crops/chilipepper) + 生面条(kaleidoscope_cookery:raw_noodles),
flex_stockpot_hui_noodle,羊肉烩面(kaleidoscope_cookery:hui_noodle),1,"汤锅(灵活配方,可替换原料)",生羊肉(#c:foods/raw_mutton) + 生面条(kaleidoscope_cookery:raw_noodles),
flex_stockpot_laba_congee,腊八粥(kaleidoscope_cookery:laba_congee),1,"汤锅(灵活配方,可替换原料)",种子(#c:seeds) + 糖(minecraft:sugar),
flex_stockpot_lamb_and_radish_soup,萝卜羊肉汤(kaleidoscope_cookery:lamb_and_radish_soup),1,"汤锅(灵活配方,可替换原料)",生羊肉(#c:foods/raw_mutton) + 胡萝卜(minecraft:carrot),
flex_stockpot_numbing_spicy_chicken,椒麻鸡(kaleidoscope_cookery:numbing_spicy_chicken),1,"汤锅(灵活配方,可替换原料)",辣椒(#c:crops/chilipepper) + 生鸡肉(#c:foods/raw_chicken),
flex_stockpot_pork_bone_soup,大骨汤(kaleidoscope_cookery:pork_bone_soup),1,"汤锅(灵活配方,可替换原料)",骨头(minecraft:bone),
flex_stockpot_pufferfish_soup,河豚汤(kaleidoscope_cookery:pufferfish_soup),1,"汤锅(灵活配方,可替换原料)",河豚(minecraft:pufferfish) + 生菜(#c:crops/lettuce),
flex_stockpot_pufferfish_soup_entity,河豚汤(kaleidoscope_cookery:pufferfish_soup),1,"汤锅(灵活配方,可替换原料)",生菜(#c:crops/lettuce),
flex_stockpot_red_mushroom_pot_soup,红蘑菇瓦罐汤(kaleidoscope_cookery:red_mushroom_pot_soup),1,"汤锅(灵活配方,可替换原料)",红色蘑菇(minecraft:red_mushroom),载体:花盆(minecraft:flower_pot)
flex_stockpot_seafood_miso_soup,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,"汤锅(灵活配方,可替换原料)",生鱼(#c:raw_fishes) + 生菜(#c:crops/lettuce),
flex_stockpot_seafood_miso_soup_cod_entity,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,"汤锅(灵活配方,可替换原料)",生菜(#c:crops/lettuce),
flex_stockpot_seafood_miso_soup_salmon_entity,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,"汤锅(灵活配方,可替换原料)",生菜(#c:crops/lettuce),
flex_stockpot_seafood_miso_soup_tropical_entity,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,"汤锅(灵活配方,可替换原料)",生菜(#c:crops/lettuce),
flex_stockpot_spicy_blood_stew,毛血旺(kaleidoscope_cookery:spicy_blood_stew),1,"汤锅(灵活配方,可替换原料)",生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 烈焰粉(minecraft:blaze_powder),
flex_stockpot_udon_noodle,乌冬面(kaleidoscope_cookery:udon_noodle),1,"汤锅(灵活配方,可替换原料)",生菜(#c:crops/lettuce) + 蛋(#c:eggs) + 生面条(kaleidoscope_cookery:raw_noodles),
flex_stockpot_warped_fungus_pot_soup,诡异菌瓦罐汤(kaleidoscope_cookery:warped_fungus_pot_soup),1,"汤锅(灵活配方,可替换原料)",诡异菌(minecraft:warped_fungus),载体:花盆(minecraft:flower_pot)
flex_stockpot_wild_mushroom_rabbit_soup,野菌兔肉汤(kaleidoscope_cookery:wild_mushroom_rabbit_soup),1,"汤锅(灵活配方,可替换原料)",生兔肉(minecraft:rabbit) + 蘑菇(#c:mushrooms),
fruit_basket,果篮(kaleidoscope_cookery:fruit_basket),1,工作台,木棍(minecraft:stick) + 木板(#minecraft:planks)×5 + 箱子(minecraft:chest),
gold_kitchen_knife,金菜刀(kaleidoscope_cookery:gold_kitchen_knife),1,工作台,金锭(#c:ingots/gold)×3 + 木棍(minecraft:stick),
golden_salad,黄金沙拉(kaleidoscope_cookery:golden_salad),1,工作台,金苹果(minecraft:golden_apple) + 金苹果(minecraft:golden_apple) + 金胡萝卜(minecraft:golden_carrot) + 金胡萝卜(minecraft:golden_carrot) + 闪烁的西瓜片(minecraft:glistering_melon_slice) + 闪烁的西瓜片(minecraft:glistering_melon_slice) + 碗(minecraft:bowl),
iron_kitchen_knife,铁菜刀(kaleidoscope_cookery:iron_kitchen_knife),1,工作台,铁锭(#c:ingots/iron)×3 + 木棍(minecraft:stick),
kitchen_shovel,锅铲(kaleidoscope_cookery:kitchen_shovel),1,工作台,铁锭(#c:ingots/iron) + 铁粒(#c:nuggets/iron) + 木棍(minecraft:stick),
kitchenware_racks,厨具架(kaleidoscope_cookery:kitchenware_racks),1,工作台,木棍(minecraft:stick)×3 + 铁锭(#c:ingots/iron)×2 + 铁粒(#c:nuggets/iron),
millstone,石磨(kaleidoscope_cookery:millstone),1,工作台,木栅栏(#c:fences/wooden) + 木棍(minecraft:stick) + 砂轮(minecraft:grindstone) + 平滑石头(minecraft:smooth_stone)×3,
millstone_amethyst_shard_from_amethyst_block,紫水晶碎片(minecraft:amethyst_shard),3,石磨,紫水晶块(minecraft:amethyst_block),
millstone_black_dye_from_wither_rose,黑色染料(minecraft:black_dye),2,石磨,凋灵玫瑰(minecraft:wither_rose),
millstone_blue_dye_from_cornflower,蓝色染料(minecraft:blue_dye),2,石磨,矢车菊(minecraft:cornflower),
millstone_bone_meal_from_bone,骨粉(minecraft:bone_meal),5,石磨,骨头(minecraft:bone),
millstone_coal_from_coal_ore,煤炭(minecraft:coal),3,石磨,煤矿石(minecraft:coal_ore),
millstone_coal_from_deepslate_coal_ore,煤炭(minecraft:coal),3,石磨,深层煤矿石(minecraft:deepslate_coal_ore),
millstone_cobblestone_from_stone,圆石(minecraft:cobblestone),1,石磨,石头(minecraft:stone),
millstone_cyan_dye_from_pitcher_plant,青色染料(minecraft:cyan_dye),2,石磨,瓶子草(minecraft:pitcher_plant),
millstone_diamond_from_deepslate_diamond_ore,钻石(minecraft:diamond),2,石磨,深层钻石矿石(minecraft:deepslate_diamond_ore),
millstone_diamond_from_diamond_ore,钻石(minecraft:diamond),2,石磨,钻石矿石(minecraft:diamond_ore),
millstone_emerald_from_deepslate_emerald_ore,绿宝石(minecraft:emerald),2,石磨,深层绿宝石矿石(minecraft:deepslate_emerald_ore),
millstone_emerald_from_emerald_ore,绿宝石(minecraft:emerald),2,石磨,绿宝石矿石(minecraft:emerald_ore),
millstone_flour_from_wheat,面粉(kaleidoscope_cookery:flour),1,石磨,小麦(minecraft:wheat),
millstone_gold_nugget_from_gilded_blackstone,金粒(minecraft:gold_nugget),3,石磨,镶金黑石(minecraft:gilded_blackstone),
millstone_gold_nugget_from_nether_gold_ore,金粒(minecraft:gold_nugget),5,石磨,下界金矿石(minecraft:nether_gold_ore),
millstone_green_dye_from_cactus,绿色染料(minecraft:green_dye),2,石磨,仙人掌(minecraft:cactus),
millstone_green_dye_from_fern,绿色染料(minecraft:green_dye),1,石磨,蕨(minecraft:fern),
millstone_green_dye_from_large_fern,绿色染料(minecraft:green_dye),3,石磨,大型蕨(minecraft:large_fern),
millstone_gunpowder_from_flint,火药(minecraft:gunpowder),1,石磨,燧石(minecraft:flint),
millstone_lapis_lazuli_from_deepslate_lapis_ore,青金石(minecraft:lapis_lazuli),7,石磨,深层青金石矿石(minecraft:deepslate_lapis_ore),
millstone_lapis_lazuli_from_lapis_ore,青金石(minecraft:lapis_lazuli),7,石磨,青金石矿石(minecraft:lapis_ore),
millstone_light_blue_dye_from_blue_orchid,淡蓝色染料(minecraft:light_blue_dye),2,石磨,兰花(minecraft:blue_orchid),
millstone_light_gray_dye_from_azure_bluet,淡灰色染料(minecraft:light_gray_dye),2,石磨,蓝花美耳草(minecraft:azure_bluet),
millstone_light_gray_dye_from_oxeye_daisy,淡灰色染料(minecraft:light_gray_dye),2,石磨,滨菊(minecraft:oxeye_daisy),
millstone_magenta_dye_from_allium,品红色染料(minecraft:magenta_dye),2,石磨,绒球葱(minecraft:allium),
millstone_magenta_dye_from_lilac,品红色染料(minecraft:magenta_dye),3,石磨,丁香(minecraft:lilac),
