"配方 ID","产物序号","产物中文名","产物 ID","数量","是否可食用","饥饿值","饱食度","食用效果/BUFF"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","8","是","8","14",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","7","是","8","14",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","9","是","8","14",""
"kaleidoscope_cookery:flex_pot/chorus_fried_egg","1","荷包紫颂烧","kaleidoscope_cookery:chorus_fried_egg","1","是","9","0","胀气 700tick 1级 概率1"
"spawn:date_fence_gate","1","椰枣木栅栏门","spawn:date_fence_gate","1","否","","",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_2","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","2","是","8","14",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_1","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","1","是","8","14",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_4","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","4","是","8","14",""
"farmersdelight:cyan_hanging_canvas_sign","1","悬挂式青色粗布告示牌","farmersdelight:cyan_hanging_canvas_sign","1","否","","",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_3","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","3","是","8","14",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","6","是","8","14",""
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","1","糍粑","kaleidoscope_cookery:sticky_rice_cake","5","是","8","14",""
"farmersdelight:pot/modify/fried_rice","1","炒饭","farmersdelight:fried_rice","1","是","12","19.2","滋养 3600tick 1级 概率1"
"kaleidoscope_cookery:flex_pot/fish_flavored_shredded_pork","1","鱼香肉丝","kaleidoscope_cookery:fish_flavored_shredded_pork","1","是","9","10.998","活力 1800tick 1级 概率1"
"kaleidoscope_cookery:flex_stockpot/hot_dry_noodles","1","热干面","kaleidoscope_cookery:hot_dry_noodles","1","是","14","18.004","生机 9600tick 1级 概率1"
"kaleidoscope_cookery:cook_stool_spruce","1","云杉木厨娘凳","kaleidoscope_cookery:cook_stool_spruce","1","否","","",""
"farmersdelight:milk_bottle","1","奶瓶","farmersdelight:milk_bottle","4","否","","",""
"farmersdelight:pumpkin_from_slices","1","南瓜","minecraft:pumpkin","1","否","","",""
"farmersdelight:tomato_crate","1","箱装番茄","farmersdelight:tomato_crate","1","否","","",""
"ordertocook:motorcycle","1","小电驴","ordertocook:motorcycle","1","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","1","爆裂紫颂果","minecraft:popped_chorus_fruit","9","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","1","爆裂紫颂果","minecraft:popped_chorus_fruit","8","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","1","爆裂紫颂果","minecraft:popped_chorus_fruit","7","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","1","爆裂紫颂果","minecraft:popped_chorus_fruit","6","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","1","爆裂紫颂果","minecraft:popped_chorus_fruit","5","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_4","1","爆裂紫颂果","minecraft:popped_chorus_fruit","4","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_3","1","爆裂紫颂果","minecraft:popped_chorus_fruit","3","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_2","1","爆裂紫颂果","minecraft:popped_chorus_fruit","2","否","","",""
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_1","1","爆裂紫颂果","minecraft:popped_chorus_fruit","1","否","","",""
"kaleidoscope_cookery:flex_stockpot/seafood_miso_soup_cod_entity","1","海鲜味噌汤","kaleidoscope_cookery:seafood_miso_soup","1","是","6","8.004","水下呼吸 9600tick 1级 概率1"
"kaleidoscope_cookery:millstone/cobblestone_from_stone","1","圆石","minecraft:cobblestone","1","否","","",""
"farmersdelight:painting_from_canvas","1","画","minecraft:painting","1","否","","",""
"farmersdelight:cooking/dumplings","1","饺子","farmersdelight:dumplings","2","是","8","12.8",""
"kaleidoscope_cookery:millstone/string_from_black_wool","1","线","minecraft:string","3","否","","",""
"spawn:sea_pickle_from_big_sea_pickle","1","海泡菜","minecraft:sea_pickle","4","否","","",""
"farmersdelight:book_from_canvas","1","书","minecraft:book","1","否","","",""
"spawn:reefstone_wall_from_reefstone_stonecutting","1","礁石墙","spawn:reefstone_wall","1","否","","",""
"spawn:cooked_tuna_slice_from_smoking","1","熟金枪鱼片","spawn:cooked_tuna_slice","1","是","4","4",""
"kaleidoscope_cookery:millstone/green_dye_from_fern","1","绿色染料","minecraft:green_dye","1","否","","",""
"farmersdelight:red_hanging_canvas_sign","1","悬挂式红色粗布告示牌","farmersdelight:red_hanging_canvas_sign","1","否","","",""
"farmersdelight:cutting/bamboo_basket","1","粗布","farmersdelight:canvas","1","否","","",""
"kaleidoscope_cookery:chopping_board/cooked_cut_small_meats_from_rabbit","1","熟切制小肉","kaleidoscope_cookery:cooked_cut_small_meats","2","是","4","6.4",""
"farmersdelight:organic_compost_from_rotten_flesh","1","有机堆肥","farmersdelight:organic_compost","1","否","","",""
"spawn:heliostone_slab","1","日光石台阶","spawn:heliostone_slab","6","否","","",""
"spawn:date_sign","1","椰枣木告示牌","spawn:date_sign","3","否","","",""
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","1","红蘑菇瓦罐汤","kaleidoscope_cookery:red_mushroom_pot_soup","1","是","18","24.012","温暖 6000tick 1级 概率1"
"spawn:heliostone_wall_stonecutting","1","日光石墙","spawn:heliostone_wall","1","否","","",""
"kaleidoscope_cookery:table_bamboo","1","竹餐桌","kaleidoscope_cookery:table_bamboo","1","否","","",""
"kaleidoscope_cookery:teapot/sakura_fubuki","1","樱吹雪","kaleidoscope_cookery:sakura_fubuki","1","否","","",""
"spawn:rotten_pressure_plate","1","腐木压力板","spawn:rotten_pressure_plate","1","否","","",""
"kaleidoscope_cookery:cook_stool_mangrove","1","红树木厨娘凳","kaleidoscope_cookery:cook_stool_mangrove","1","否","","",""
"farmersdelight:rope_fence","1","绳栅栏","farmersdelight:rope_fence","3","否","","",""
"kaleidoscope_cookery:flex_pot/oil_splashed_fish","1","油泼鱼","kaleidoscope_cookery:oil_splashed_fish","1","是","13","15.99","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:chopping_board/cooked_lamb_chops","1","熟羊排","kaleidoscope_cookery:cooked_lamb_chops","2","是","3","4.8",""
"farmersdelight:cutting/apple_pie","1","苹果派切片","farmersdelight:apple_pie_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1"
"kaleidoscope_cookery:pot/chorus_fried_egg","1","荷包紫颂烧","kaleidoscope_cookery:chorus_fried_egg","1","是","9","0","胀气 700tick 1级 概率1"
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_5","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","5","是","4","6.4",""
"kaleidoscope_cookery:flex_pot/slime_ball_meal","1","黏液饭","kaleidoscope_cookery:slime_ball_meal","1","是","9","0","胀气 700tick 1级 概率1"
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_6","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","6","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_3","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","3","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_4","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","4","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_9","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","9","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_7","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","7","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_8","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","8","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_1","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","1","是","4","6.4",""
"kaleidoscope_cookery:pot/raw_cow_offal_to_cooked_cow_offal_2","1","熟牛杂","kaleidoscope_cookery:cooked_cow_offal","2","是","4","6.4",""
"farmersdelight:bacon_and_eggs","1","培根蛋","farmersdelight:bacon_and_eggs","1","是","10","12","滋养 1200tick 1级 概率1"
"kaleidoscope_cookery:millstone/smooth_stone_from_cobblestone","1","平滑石头","minecraft:smooth_stone","1","否","","",""
"kaleidoscope_cookery:stove_campfire","1","炉灶","kaleidoscope_cookery:stove","1","否","","",""
"kaleidoscope_cookery:flex_pot/stuffed_tiger_skin_pepper","1","虎皮青椒酿肉","kaleidoscope_cookery:stuffed_tiger_skin_pepper","1","是","13","15.99","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:pot/stir_fried_pork_with_peppers","1","青椒炒肉","kaleidoscope_cookery:stir_fried_pork_with_peppers","1","是","9","10.998","活力 1800tick 1级 概率1"
"kaleidoscope_cookery:millstone/string_from_red_wool","1","线","minecraft:string","3","否","","",""
"farmersdelight:pot/add/cooked_cod_slice","1","熟鳕鱼片","farmersdelight:cooked_cod_slice","1","是","3","3",""
"farmersdelight:stockpot/modify/pumpkin_soup","1","南瓜汤","farmersdelight:pumpkin_soup","1","是","14","21","滋养 6000tick 1级 概率1"
"farmersdelight:cutting/mangrove_log","1","去皮红树原木","minecraft:stripped_mangrove_log","1","否","","",""
"farmersdelight:chopping_board/add/chocolate_pie_slice","1","巧克力派切片","farmersdelight:chocolate_pie_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1"
"kaleidoscope_cookery:pot/scramble_egg_with_tomatoes","1","番茄炒蛋","kaleidoscope_cookery:scramble_egg_with_tomatoes","1","是","9","10.998","活力 1800tick 1级 概率1"
"farmersdelight:salvaging/leather_armor","1","皮革","minecraft:leather","1","否","","",""
"kaleidoscope_cookery:pot/candied_potato","1","拔丝土豆","kaleidoscope_cookery:candied_potato","1","是","20","22","温暖 1600tick 1级 概率1"
"spawn:cutting/rotten_log","1","去皮腐木原木","spawn:stripped_rotten_log","1","否","","",""
"spawn:reefstone_stairs_from_reefstone_stonecutting","1","礁石楼梯","spawn:reefstone_stairs","1","否","","",""
"kaleidoscope_cookery:millstone/flour_from_wheat","1","面粉","kaleidoscope_cookery:flour","1","否","","",""
"kaleidoscope_cookery:stockpot/chicken_and_mushroom_stew","1","小鸡炖蘑菇","kaleidoscope_cookery:chicken_and_mushroom_stew","1","是","6","8.004","温暖 9600tick 1级 概率1"
"farmersdelight:cutting/cake","1","蛋糕切片","farmersdelight:cake_slice","7","是","2","0.4","迅捷 400tick 1级 概率1"
"kaleidoscope_cookery:millstone/pink_dye_from_pink_petals","1","粉红色染料","minecraft:pink_dye","2","否","","",""
"kaleidoscope_cookery:millstone/quartz_from_quartz_bricks","1","下界石英","minecraft:quartz","3","否","","",""
"farmersdelight:cutting/sweet_berry_cheesecake","1","甜浆果芝士派切片","farmersdelight:sweet_berry_cheesecake_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1"
"spawn:ant_farm","1","蚂蚁农场","spawn:ant_farm","1","否","","",""
"kaleidoscope_cookery:cold_roasted_meat","1","冷肉炙","kaleidoscope_cookery:cold_roasted_meat","1","是","16","25.6",""
"spawn:reefstone_tile_slab_from_reefstone_stonecutting","1","礁石台阶","spawn:reefstone_tile_slab","2","否","","",""
"spawn:sunflower_seeds_from_vanilla_sunflower","1","向日葵种子","spawn:sunflower_seeds","3","否","","",""
"kaleidoscope_cookery:millstone/magenta_dye_from_lilac","1","品红色染料","minecraft:magenta_dye","3","否","","",""
"farmersdelight:kelp_roll","1","海带寿司卷","farmersdelight:kelp_roll","1","是","12","12",""
"farmersdelight:carrot_from_crate","1","胡萝卜","minecraft:carrot","9","是","3","3.6000001",""
"kaleidoscope_cookery:pot/stuffed_tiger_skin_pepper","1","虎皮青椒酿肉","kaleidoscope_cookery:stuffed_tiger_skin_pepper","1","是","13","15.99","温暖 1600tick 1级 概率1"
"farmersdelight:salvaging/birch_chest_boat","1","白桦木船","minecraft:birch_boat","1","否","","",""
"spawn:algal_reefstone_wall","1","藻礁石墙","spawn:algal_reefstone_wall","6","否","","",""
"spawn:cutting/rotten_planks","1","裂纹腐木木板","spawn:cracked_rotten_planks","1","否","","",""
"farmersdelight:salvaging/cherry_furniture","1","樱花木板","minecraft:cherry_planks","1","否","","",""
"farmersdelight:salvaging/jungle_chest_boat","1","丛林木船","minecraft:jungle_boat","1","否","","",""
"farmersdelight:cutting/crimson_stem","1","去皮绯红菌柄","minecraft:stripped_crimson_stem","1","否","","",""
"farmersdelight:salvaging/spruce_furniture","1","云杉木板","minecraft:spruce_planks","1","否","","",""
"kaleidoscope_cookery:millstone/sand_from_gravel","1","沙子","minecraft:sand","1","否","","",""
"farmersdelight:chopping_board/add/apple_pie_slice","1","苹果派切片","farmersdelight:apple_pie_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1"
"farmersdelight:chopping_board/add/kelp_roll_slice","1","海带寿司","farmersdelight:kelp_roll_slice","3","是","6","6",""
"kaleidoscope_cookery:stockpot/dumpling_count_1","1","饺子","kaleidoscope_cookery:dumpling","1","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_2","1","饺子","kaleidoscope_cookery:dumpling","2","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_3","1","饺子","kaleidoscope_cookery:dumpling","3","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_4","1","饺子","kaleidoscope_cookery:dumpling","4","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_5","1","饺子","kaleidoscope_cookery:dumpling","5","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_6","1","饺子","kaleidoscope_cookery:dumpling","6","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_7","1","饺子","kaleidoscope_cookery:dumpling","7","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_8","1","饺子","kaleidoscope_cookery:dumpling","8","是","8","16","温暖 1600tick 1级 概率1"
"farmersdelight:integration/create/milling/wild_tomatoes","1","番茄种子","kaleidoscope_cookery:tomato_seed","1","否","","",""
"spawn:tuna_sandwich_fd","1","金枪鱼三明治","spawn:tuna_sandwich","1","是","8","16",""
"kaleidoscope_cookery:flex_stockpot/brown_mushroom_pot_soup","1","棕蘑菇瓦罐汤","kaleidoscope_cookery:brown_mushroom_pot_soup","1","是","18","24.012","温暖 6000tick 1级 概率1"
"kaleidoscope_cookery:stockpot/dumpling_count_9","1","饺子","kaleidoscope_cookery:dumpling","9","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:flex_stockpot/buddha_jumps_over_the_wall","1","佛跳墙","kaleidoscope_cookery:buddha_jumps_over_the_wall","1","是","20","22","饱腹代偿 3600tick 1级 概率1"
"kaleidoscope_cookery:pot/sweet_and_sour_ender_pearls","1","珍珠咕噜肉","kaleidoscope_cookery:sweet_and_sour_ender_pearls","1","是","9","0","胀气 700tick 1级 概率1"
"kaleidoscope_cookery:flex_pot/fondant_pie","1","翻糖派","kaleidoscope_cookery:fondant_pie","1","是","20","22","饱腹代偿 1600tick 1级 概率1"
"kaleidoscope_cookery:pot/fish_flavored_shredded_pork","1","鱼香肉丝","kaleidoscope_cookery:fish_flavored_shredded_pork","1","是","9","10.998","活力 1800tick 1级 概率1"
"farmersdelight:salvaging/stone","1","圆石","minecraft:cobblestone","1","否","","",""
"spawn:cooked_bluefish_from_campfire_cooking","1","熟扁鲹","spawn:cooked_bluefish","1","是","6","9.6",""
"kaleidoscope_cookery:flex_stockpot/seafood_miso_soup","1","海鲜味噌汤","kaleidoscope_cookery:seafood_miso_soup","1","是","6","8.004","水下呼吸 9600tick 1级 概率1"
"spawn:date_pressure_plate","1","椰枣木压力板","spawn:date_pressure_plate","1","否","","",""
"kaleidoscope_cookery:stockpot/spicy_blood_stew","1","毛血旺","kaleidoscope_cookery:spicy_blood_stew","1","是","13","15.99","抗火 1600tick 1级 概率1"
"spawn:slime_ball_from_smelting_mucus","1","黏液球","minecraft:slime_ball","1","否","","",""
"farmersdelight:red_canvas_sign","1","红色粗布告示牌","farmersdelight:red_canvas_sign","1","否","","",""
"farmersdelight:golden_knife","1","金刀","farmersdelight:golden_knife","1","否","","",""
"farmersdelight:cutting/cabbage","1","卷心菜叶","farmersdelight:cabbage_leaf","2","是","1","0.8",""
"kaleidoscope_cookery:flex_pot/egg_fried_rice","1","蛋炒饭","kaleidoscope_cookery:egg_fried_rice","1","是","8","14",""
"spawn:blasted_sandstone_slab_from_blasted_sandstone_stonecutting","1","荒砂岩台阶","spawn:blasted_sandstone_slab","2","否","","",""
"farmersdelight:cutting/oxeye_daisy","1","淡灰色染料","minecraft:light_gray_dye","2","否","","",""
"ordertocook:chair","1","椅子","ordertocook:chair","1","否","","",""
"kaleidoscope_cookery:teapot/barley_tea","1","大麦茶","kaleidoscope_cookery:barley_tea","1","否","","",""
"spawn:reefstone_tile_stairs_from_reefstone_stonecutting","1","礁石楼梯","spawn:reefstone_tile_stairs","1","否","","",""
"spawn:clam_case_yellow","1","黄色蚌盒","spawn:clam_case_yellow","1","否","","",""
"farmersdelight:integration/create/milling/wild_rice","1","稻米","kaleidoscope_cookery:rice","1","否","","",""
"kaleidoscope_cookery:millstone/string_from_orange_wool","1","线","minecraft:string","3","否","","",""
"spawn:cut_blasted_sandstone_slab_from_blasted_sandstone_stonecutting","1","切制荒砂岩台阶","spawn:cut_blasted_sandstone_slab","2","否","","",""
"kaleidoscope_cookery:flex_stockpot/beef_noodle","1","牛肉面","kaleidoscope_cookery:beef_noodle","1","是","14","18.004","生机 9600tick 1级 概率1"
"kaleidoscope_cookery:chair_spruce","1","云杉木椅子","kaleidoscope_cookery:chair_spruce","1","否","","",""
"farmersdelight:cooking/pumpkin_soup","1","南瓜汤","farmersdelight:pumpkin_soup","1","是","14","21","滋养 6000tick 1级 概率1"
"kaleidoscope_cookery:kitchenware_racks","1","厨具架","kaleidoscope_cookery:kitchenware_racks","1","否","","",""
"kaleidoscope_cookery:millstone/string_from_blue_wool","1","线","minecraft:string","3","否","","",""
"farmersdelight:wooden_basket","1","木篮","farmersdelight:wooden_basket","1","否","","",""
"farmersdelight:tatami_block_from_full","1","榻榻米方块","farmersdelight:tatami","1","否","","",""
"farmersdelight:chocolate_pie_from_slices","1","巧克力派","farmersdelight:chocolate_pie","1","否","","",""
"farmersdelight:cooking/vegetable_noodles","1","蔬菜面","farmersdelight:vegetable_noodles","1","是","14","21","滋养 6000tick 1级 概率1"
"kaleidoscope_cookery:millstone/polished_deepslate_from_deepslate","1","磨制深板岩","minecraft:polished_deepslate","1","否","","",""
"kaleidoscope_cookery:millstone/polished_deepslate_from_cobbled_deepslate","1","磨制深板岩","minecraft:polished_deepslate","1","否","","",""
"kaleidoscope_cookery:millstone/diamond_from_deepslate_diamond_ore","1","钻石","minecraft:diamond","2","否","","",""
"farmersdelight:nether_salad","1","下界沙拉","farmersdelight:nether_salad","1","是","5","4","反胃 240tick 1级 概率0.30000001192092896"
"kaleidoscope_cookery:chopping_board/sashimi_from_salmon","1","刺身","kaleidoscope_cookery:sashimi","2","是","1","1",""
"farmersdelight:canvas_from_canvas_rug","1","粗布","farmersdelight:canvas","1","否","","",""
"farmersdelight:cooked_bacon_from_smoking","1","熟培根","farmersdelight:cooked_bacon","1","是","4","6.4",""
"spawn:algal_reefstone_stairs_from_algal_reefstone_stonecutting","1","藻礁石楼梯","spawn:algal_reefstone_stairs","1","否","","",""
"farmersdelight:green_canvas_sign","1","绿色粗布告示牌","farmersdelight:green_canvas_sign","1","否","","",""
"farmersdelight:salvaging/birch_furniture","1","白桦木板","minecraft:birch_planks","1","否","","",""
"farmersdelight:light_gray_hanging_canvas_sign","1","悬挂式淡灰色粗布告示牌","farmersdelight:light_gray_hanging_canvas_sign","1","否","","",""
"spawn:steamed_clams","1","蒸蚌汉堡","spawn:steamed_clams","1","是","11","17.6",""
"spawn:salvaging/date_furniture","1","椰枣木木板","spawn:date_planks","1","否","","",""
"farmersdelight:cooked_bacon_from_campfire_cooking","1","熟培根","farmersdelight:cooked_bacon","1","是","4","6.4",""
"farmersdelight:cooking/mushroom_rice","1","蘑菇饭","farmersdelight:mushroom_rice","1","是","12","19.2","滋养 3600tick 1级 概率1"
"kaleidoscope_cookery:qingtuan_plate","1","一盘青团","kaleidoscope_cookery:qingtuan_plate","1","否","","",""
"kaleidoscope_cookery:desert_style_sashimi","1","沙漠风味刺身","kaleidoscope_cookery:desert_style_sashimi","1","是","16","6","芥末 6000tick 1级 概率1"
"farmersdelight:salvaging/oak_furniture","1","橡木木板","minecraft:oak_planks","1","否","","",""
"farmersdelight:cooked_cod_slice","1","熟鳕鱼片","farmersdelight:cooked_cod_slice","1","是","3","3",""
"spawn:red_algae_carpet","1","覆地红藻","spawn:red_algae_carpet","3","否","","",""
"farmersdelight:integration/create/milling/rice_panicle","1","稻米","kaleidoscope_cookery:rice","1","否","","",""
"kaleidoscope_cookery:millstone/string_from_purple_wool","1","线","minecraft:string","3","否","","",""
"farmersdelight:cutting_board","1","砧板","farmersdelight:cutting_board","1","否","","",""
"spawn:date_seed","1","椰枣种子","spawn:date_seed","1","否","","",""
"spawn:canned_herring","1","鲱鱼罐头","spawn:canned_herring","1","是","3","1.8000001",""
"kaleidoscope_cookery:cook_stool_oak","1","橡木厨娘凳","kaleidoscope_cookery:cook_stool_oak","1","否","","",""
"kaleidoscope_cookery:stockpot/beef_noodle","1","牛肉面","kaleidoscope_cookery:beef_noodle","1","是","14","18.004","生机 9600tick 1级 概率1"
"farmersdelight:integration/create/mixing/tomato_sauce_from_mixing","1","番茄酱","farmersdelight:tomato_sauce","1","是","4","3.2",""
"farmersdelight:cake_from_slices","1","蛋糕","minecraft:cake","1","否","","",""
"spawn:date_cookie","1","椰枣曲奇","spawn:date_cookie","4","是","2","1.2",""
"farmersdelight:roasted_mutton_chops","1","烤羊排","farmersdelight:roasted_mutton_chops","1","是","14","21","滋养 6000tick 1级 概率1"
"kaleidoscope_cookery:flex_pot/dongpo_pork","1","东坡肉","kaleidoscope_cookery:dongpo_pork","1","是","20","22","饱腹代偿 1600tick 1级 概率1"
"farmersdelight:cabbage_crate","1","箱装卷心菜","farmersdelight:cabbage_crate","1","否","","",""
"spawn:cooking/clam_chowder","1","蚌肉浓汤","spawn:clam_chowder","1","是","8","12.8",""
"farmersdelight:half_tatami_mat","1","短榻榻米垫","farmersdelight:half_tatami_mat","2","否","","",""
