"来源模组","配方 ID","配方中文译名（主产物）","配方序列化类型","合成机器/工序","产物中文名","产物 ID","产物数量","是否可食用","饥饿值","饱食度","食用效果/BUFF","经验值","烹饪时间(tick)","原料概览","备注"
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","6","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","5","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","8","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","7","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_2","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","2","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_1","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","1","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_4","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","4","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_3","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","3","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"farmersdelight","farmersdelight:integration/create/milling/wild_beetroots","甜菜种子","create:milling","自定义工序（create:milling）","甜菜种子","minecraft:beetroot_seeds","1","否","","","","","","原料：海甜菜 <farmersdelight:wild_beetroots>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","水煎包","kaleidoscope_cookery:stockpot","万花筒汤锅","水煎包","kaleidoscope_cookery:shengjian_mantou","9","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"spawn","spawn:algal_reefstone_wall_from_algal_reefstone_stonecutting","藻礁石墙","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","藻礁石墙","spawn:algal_reefstone_wall","1","否","","","","","","原料：藻礁石 <spawn:algal_reefstone>",""
"spawn","spawn:algal_reefstone_stairs","藻礁石楼梯","minecraft:crafting_shaped","工作台（有序合成）","藻礁石楼梯","spawn:algal_reefstone_stairs","4","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl","糖醋里脊盖饭","kaleidoscope_cookery:rice_bowl","自定义工序（kaleidoscope_cookery:rice_bowl）","糖醋里脊盖饭","kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl","1","是","14","18.004","饱腹代偿 3600tick 1级 概率1","","","原料：糖醋里脊 <kaleidoscope_cookery:sweet_and_sour_pork>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/light_gray_dye_from_azure_bluet","淡灰色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","淡灰色染料","minecraft:light_gray_dye","2","否","","","","","","原料：蓝花美耳草 <minecraft:azure_bluet>",""
"farmersdelight","farmersdelight:rice_roll_medley_block","寿司拼盘","minecraft:crafting_shapeless","工作台（无序合成）","寿司拼盘","farmersdelight:rice_roll_medley_block","1","否","","","","","","原料：海带寿司 <farmersdelight:kelp_roll_slice>；原料：海带寿司 <farmersdelight:kelp_roll_slice>；原料：海带寿司 <farmersdelight:kelp_roll_slice>；原料：鲑鱼寿司 <farmersdelight:salmon_roll>；原料：鲑鱼寿司 <farmersdelight:salmon_roll>；原料：鲑鱼寿司 <farmersdelight:salmon_roll>；原料：鳕鱼寿司 <farmersdelight:cod_roll>；原料：碗 <minecraft:bowl>；原料：鳕鱼寿司 <farmersdelight:cod_roll>",""
"farmersdelight","farmersdelight:cutting/smoked_ham","熟猪排","farmersdelight:cutting","切菜板","熟猪排","minecraft:cooked_porkchop","2","是","8","12.8","","","","原料：烟熏火腿 <farmersdelight:smoked_ham>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"farmersdelight","farmersdelight:blue_canvas_sign","蓝色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","蓝色粗布告示牌","farmersdelight:blue_canvas_sign","1","否","","","","","","原料：#farmersdelight:canvas_signs；原料：#c:dyes/blue",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","8","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","7","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","9","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/chorus_fried_egg","荷包紫颂烧","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","荷包紫颂烧","kaleidoscope_cookery:chorus_fried_egg","1","是","9","0","胀气 700tick 1级 概率1","","","原料：#c:eggs；原料：紫颂果 <minecraft:chorus_fruit>；容器/载体：碗 <minecraft:bowl>",""
"spawn","spawn:date_fence_gate","椰枣木栅栏门","minecraft:crafting_shaped","工作台（有序合成）","椰枣木栅栏门","spawn:date_fence_gate","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_2","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","2","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_1","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","1","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_4","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","4","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"farmersdelight","farmersdelight:cyan_hanging_canvas_sign","悬挂式青色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","悬挂式青色粗布告示牌","farmersdelight:cyan_hanging_canvas_sign","1","否","","","","","","原料：#farmersdelight:hanging_canvas_signs；原料：#c:dyes/cyan",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_3","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","3","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","6","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","糍粑","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","糍粑","kaleidoscope_cookery:sticky_rice_cake","5","是","8","14","","","","原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>；原料：米饭 <kaleidoscope_cookery:cooked_rice>",""
"farmersdelight","farmersdelight:pot/modify/fried_rice","炒饭","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","炒饭","farmersdelight:fried_rice","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：#c:crops/rice；原料：#c:eggs；原料：#c:crops/carrot；原料：#c:crops/onion；容器/载体：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/fish_flavored_shredded_pork","鱼香肉丝","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","鱼香肉丝","kaleidoscope_cookery:fish_flavored_shredded_pork","1","是","9","10.998","活力 1800tick 1级 概率1","","","原料：#c:foods/raw_pork；原料：#c:crops/chilipepper；原料：#c:mushrooms；容器/载体：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/hot_dry_noodles","热干面","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","热干面","kaleidoscope_cookery:hot_dry_noodles","1","是","14","18.004","生机 9600tick 1级 概率1","","","原料：#c:crops/chilipepper；原料：生面条 <kaleidoscope_cookery:raw_noodles>",""
"kaleidoscope_cookery","kaleidoscope_cookery:cook_stool_spruce","云杉木厨娘凳","minecraft:crafting_shaped","工作台（有序合成）","云杉木厨娘凳","kaleidoscope_cookery:cook_stool_spruce","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:milk_bottle","奶瓶","minecraft:crafting_shapeless","工作台（无序合成）","奶瓶","farmersdelight:milk_bottle","4","否","","","","","","原料：奶桶 <minecraft:milk_bucket>；原料：玻璃瓶 <minecraft:glass_bottle>；原料：玻璃瓶 <minecraft:glass_bottle>；原料：玻璃瓶 <minecraft:glass_bottle>；原料：玻璃瓶 <minecraft:glass_bottle>",""
"farmersdelight","farmersdelight:pumpkin_from_slices","南瓜","minecraft:crafting_shaped","工作台（有序合成）","南瓜","minecraft:pumpkin","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:tomato_crate","箱装番茄","minecraft:crafting_shaped","工作台（有序合成）","箱装番茄","farmersdelight:tomato_crate","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"ordertocook","ordertocook:motorcycle","小电驴","minecraft:crafting_shaped","工作台（有序合成）","小电驴","ordertocook:motorcycle","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","9","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","8","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","7","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","6","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","5","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_4","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","4","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_3","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","3","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_2","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","2","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>；原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_1","爆裂紫颂果","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","爆裂紫颂果","minecraft:popped_chorus_fruit","1","否","","","","","","原料：紫颂果 <minecraft:chorus_fruit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/seafood_miso_soup_cod_entity","海鲜味噌汤","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","海鲜味噌汤","kaleidoscope_cookery:seafood_miso_soup","1","是","6","8.004","水下呼吸 9600tick 1级 概率1","","","原料：#c:crops/lettuce",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/cobblestone_from_stone","圆石","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","圆石","minecraft:cobblestone","1","否","","","","","","原料：石头 <minecraft:stone>",""
"farmersdelight","farmersdelight:painting_from_canvas","画","minecraft:crafting_shaped","工作台（有序合成）","画","minecraft:painting","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
