"配方 ID","原料序号","原料可选项（中文名 <ID>）","候选物品数量","备注"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","5","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","6","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","4","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","5","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","4","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","5","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","6","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","7","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","8","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","4","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","5","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","6","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","7","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_2","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_2","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_1","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_4","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_4","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_4","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_4","4","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_3","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_3","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_3","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"farmersdelight:integration/create/milling/wild_beetroots","1","海甜菜 <farmersdelight:wild_beetroots>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","4","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","5","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","6","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","7","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","8","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","9","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"spawn:algal_reefstone_wall_from_algal_reefstone_stonecutting","1","藻礁石 <spawn:algal_reefstone>","","原料"
"kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl","1","糖醋里脊 <kaleidoscope_cookery:sweet_and_sour_pork>","","原料"
"kaleidoscope_cookery:millstone/light_gray_dye_from_azure_bluet","1","蓝花美耳草 <minecraft:azure_bluet>","","原料"
"farmersdelight:rice_roll_medley_block","1","海带寿司 <farmersdelight:kelp_roll_slice>","","原料"
"farmersdelight:rice_roll_medley_block","2","海带寿司 <farmersdelight:kelp_roll_slice>","","原料"
"farmersdelight:rice_roll_medley_block","3","海带寿司 <farmersdelight:kelp_roll_slice>","","原料"
"farmersdelight:rice_roll_medley_block","4","鲑鱼寿司 <farmersdelight:salmon_roll>","","原料"
"farmersdelight:rice_roll_medley_block","5","鲑鱼寿司 <farmersdelight:salmon_roll>","","原料"
"farmersdelight:rice_roll_medley_block","6","鲑鱼寿司 <farmersdelight:salmon_roll>","","原料"
"farmersdelight:rice_roll_medley_block","7","鳕鱼寿司 <farmersdelight:cod_roll>","","原料"
"farmersdelight:rice_roll_medley_block","8","碗 <minecraft:bowl>","","原料"
"farmersdelight:rice_roll_medley_block","9","鳕鱼寿司 <farmersdelight:cod_roll>","","原料"
"farmersdelight:cutting/smoked_ham","1","烟熏火腿 <farmersdelight:smoked_ham>","","原料"
"farmersdelight:cutting/smoked_ham","2","{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}","","工具"
"farmersdelight:cutting/smoked_ham","3","#c:tools/knife","","工具"
"farmersdelight:blue_canvas_sign","1","#farmersdelight:canvas_signs","","原料"
"farmersdelight:blue_canvas_sign","2","#c:dyes/blue","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","4","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","5","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","6","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","7","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_8","8","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","4","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","5","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","6","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_7","7","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","4","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","5","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","6","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","7","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","8","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_9","9","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:flex_pot/chorus_fried_egg","1","#c:eggs","","原料"
"kaleidoscope_cookery:flex_pot/chorus_fried_egg","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:flex_pot/chorus_fried_egg","3","碗 <minecraft:bowl>","","容器/载体"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_2","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_2","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_1","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_4","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_4","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_4","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_4","4","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"farmersdelight:cyan_hanging_canvas_sign","1","#farmersdelight:hanging_canvas_signs","","原料"
"farmersdelight:cyan_hanging_canvas_sign","2","#c:dyes/cyan","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_3","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_3","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_3","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","4","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","5","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_6","6","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","1","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","2","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","3","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","4","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"kaleidoscope_cookery:pot/cooked_rice_to_sticky_rice_cake_5","5","米饭 <kaleidoscope_cookery:cooked_rice>","","原料"
"farmersdelight:pot/modify/fried_rice","1","#c:crops/rice","","原料"
"farmersdelight:pot/modify/fried_rice","2","#c:eggs","","原料"
"farmersdelight:pot/modify/fried_rice","3","#c:crops/carrot","","原料"
"farmersdelight:pot/modify/fried_rice","4","#c:crops/onion","","原料"
"farmersdelight:pot/modify/fried_rice","5","碗 <minecraft:bowl>","","容器/载体"
"kaleidoscope_cookery:flex_pot/fish_flavored_shredded_pork","1","#c:foods/raw_pork","","原料"
"kaleidoscope_cookery:flex_pot/fish_flavored_shredded_pork","2","#c:crops/chilipepper","","原料"
"kaleidoscope_cookery:flex_pot/fish_flavored_shredded_pork","3","#c:mushrooms","","原料"
"kaleidoscope_cookery:flex_pot/fish_flavored_shredded_pork","4","碗 <minecraft:bowl>","","容器/载体"
"kaleidoscope_cookery:flex_stockpot/hot_dry_noodles","1","#c:crops/chilipepper","","原料"
"kaleidoscope_cookery:flex_stockpot/hot_dry_noodles","2","生面条 <kaleidoscope_cookery:raw_noodles>","","原料"
"farmersdelight:milk_bottle","1","奶桶 <minecraft:milk_bucket>","","原料"
"farmersdelight:milk_bottle","2","玻璃瓶 <minecraft:glass_bottle>","","原料"
"farmersdelight:milk_bottle","3","玻璃瓶 <minecraft:glass_bottle>","","原料"
"farmersdelight:milk_bottle","4","玻璃瓶 <minecraft:glass_bottle>","","原料"
"farmersdelight:milk_bottle","5","玻璃瓶 <minecraft:glass_bottle>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","4","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","5","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","6","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","7","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","8","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_9","9","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","4","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","5","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","6","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","7","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_8","8","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","4","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","5","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","6","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_7","7","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","4","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","5","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_6","6","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","4","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_5","5","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_4","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_4","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_4","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_4","4","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_3","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_3","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_3","3","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_2","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_2","2","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:pot/chorus_fruit_to_popped_chorus_fruit_1","1","紫颂果 <minecraft:chorus_fruit>","","原料"
"kaleidoscope_cookery:flex_stockpot/seafood_miso_soup_cod_entity","1","#c:crops/lettuce","","原料"
"kaleidoscope_cookery:millstone/cobblestone_from_stone","1","石头 <minecraft:stone>","","原料"
"farmersdelight:cooking/dumplings","1","#c:foods/dough","","原料"
"farmersdelight:cooking/dumplings","2","#c:crops/cabbage","","原料"
"farmersdelight:cooking/dumplings","3","#c:crops/onion","","原料"
"farmersdelight:cooking/dumplings","4","{""type"":""neoforge:compound"",""children"":[{""tag"":""c:foods/raw_chicken""},{""tag"":""c:foods/raw_pork""},{""tag"":""c:foods/raw_beef""},{""item"":""minecraft:brown_mushroom""}]}","","原料"
"kaleidoscope_cookery:millstone/string_from_black_wool","1","黑色羊毛 <minecraft:black_wool>","","原料"
"farmersdelight:book_from_canvas","1","纸 <minecraft:paper>","","原料"
"farmersdelight:book_from_canvas","2","纸 <minecraft:paper>","","原料"
"farmersdelight:book_from_canvas","3","纸 <minecraft:paper>","","原料"
"farmersdelight:book_from_canvas","4","粗布 <farmersdelight:canvas>","","原料"
"spawn:reefstone_wall_from_reefstone_stonecutting","1","礁石 <spawn:reefstone>","","原料"
"spawn:cooked_tuna_slice_from_smoking","1","金枪鱼片 <spawn:tuna_slice>","","原料"
"kaleidoscope_cookery:millstone/green_dye_from_fern","1","蕨 <minecraft:fern>","","原料"
"farmersdelight:red_hanging_canvas_sign","1","#farmersdelight:hanging_canvas_signs","","原料"
"farmersdelight:red_hanging_canvas_sign","2","#c:dyes/red","","原料"
"farmersdelight:cutting/bamboo_basket","1","竹篮 <farmersdelight:bamboo_basket>","","原料"
"farmersdelight:cutting/bamboo_basket","2","{""type"":""farmersdelight:item_ability"",""action"":""axe_dig""}","","工具"
"farmersdelight:cutting/bamboo_basket","3","#minecraft:axes","","工具"
"kaleidoscope_cookery:chopping_board/cooked_cut_small_meats_from_rabbit","1","熟兔肉 <minecraft:cooked_rabbit>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","1","泥土 <minecraft:dirt>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","2","腐肉 <minecraft:rotten_flesh>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","3","腐肉 <minecraft:rotten_flesh>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","4","草秆 <farmersdelight:straw>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","5","草秆 <farmersdelight:straw>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","6","骨粉 <minecraft:bone_meal>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","7","骨粉 <minecraft:bone_meal>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","8","骨粉 <minecraft:bone_meal>","","原料"
"farmersdelight:organic_compost_from_rotten_flesh","9","骨粉 <minecraft:bone_meal>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","1","红色蘑菇 <minecraft:red_mushroom>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","2","红色蘑菇 <minecraft:red_mushroom>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","3","红色蘑菇 <minecraft:red_mushroom>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","4","红色蘑菇 <minecraft:red_mushroom>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","5","红色蘑菇 <minecraft:red_mushroom>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","6","红色蘑菇 <minecraft:red_mushroom>","","原料"
"kaleidoscope_cookery:stockpot/red_mushroom_pot_soup","7","花盆 <minecraft:flower_pot>","","容器/载体"
"spawn:heliostone_wall_stonecutting","1","日光石 <spawn:heliostone>","","原料"
"kaleidoscope_cookery:teapot/sakura_fubuki","1","粉红色花簇 <minecraft:pink_petals>","","原料"
