配方ID,产物,数量,机器,原料,附加参数
cooked_bacon,熟培根(farmersdelight:cooked_bacon),1,熔炉,生培根(farmersdelight:bacon),200刻; 经验0.35
cooked_bacon_from_campfire_cooking,熟培根(farmersdelight:cooked_bacon),1,营火,生培根(farmersdelight:bacon),600刻; 经验0.35
cooked_bacon_from_smoking,熟培根(farmersdelight:cooked_bacon),1,烟熏炉,生培根(farmersdelight:bacon),100刻; 经验0.35
cooked_chicken_cuts,熟鸡肉丁(farmersdelight:cooked_chicken_cuts),1,熔炉,生鸡肉丁(farmersdelight:chicken_cuts),200刻; 经验0.35
cooked_chicken_cuts_from_campfire_cooking,熟鸡肉丁(farmersdelight:cooked_chicken_cuts),1,营火,生鸡肉丁(farmersdelight:chicken_cuts),600刻; 经验0.35
cooked_chicken_cuts_from_smoking,熟鸡肉丁(farmersdelight:cooked_chicken_cuts),1,烟熏炉,生鸡肉丁(farmersdelight:chicken_cuts),100刻; 经验0.35
cooked_cod_slice,熟鳕鱼片(farmersdelight:cooked_cod_slice),1,熔炉,生鳕鱼片(farmersdelight:cod_slice),200刻; 经验0.35
cooked_cod_slice_from_campfire_cooking,熟鳕鱼片(farmersdelight:cooked_cod_slice),1,营火,生鳕鱼片(farmersdelight:cod_slice),600刻; 经验0.35
cooked_cod_slice_from_smoking,熟鳕鱼片(farmersdelight:cooked_cod_slice),1,烟熏炉,生鳕鱼片(farmersdelight:cod_slice),100刻; 经验0.35
cooked_mutton_chops,熟羊排(farmersdelight:cooked_mutton_chops),1,熔炉,生羊排(farmersdelight:mutton_chops),200刻; 经验0.35
cooked_mutton_chops_from_campfire_cooking,熟羊排(farmersdelight:cooked_mutton_chops),1,营火,生羊排(farmersdelight:mutton_chops),600刻; 经验0.35
cooked_mutton_chops_from_smoking,熟羊排(farmersdelight:cooked_mutton_chops),1,烟熏炉,生羊排(farmersdelight:mutton_chops),100刻; 经验0.35
cooked_salmon_slice,熟鲑鱼片(farmersdelight:cooked_salmon_slice),1,熔炉,生鲑鱼片(farmersdelight:salmon_slice),200刻; 经验0.35
cooked_salmon_slice_from_campfire_cooking,熟鲑鱼片(farmersdelight:cooked_salmon_slice),1,营火,生鲑鱼片(farmersdelight:salmon_slice),600刻; 经验0.35
cooked_salmon_slice_from_smoking,熟鲑鱼片(farmersdelight:cooked_salmon_slice),1,烟熏炉,生鲑鱼片(farmersdelight:salmon_slice),100刻; 经验0.35
cooking_pot,厨锅(farmersdelight:cooking_pot),1,工作台,红砖(minecraft:brick)×2 + 木锹(minecraft:wooden_shovel) + 铁锭(#c:ingots/iron)×5 + 水桶(#c:buckets/water),
crimson_cabinet,绯红木橱柜(farmersdelight:crimson_cabinet),1,工作台,绯红木台阶(minecraft:crimson_slab)×6 + 绯红木活板门(minecraft:crimson_trapdoor)×2,
cutting_board,砧板(farmersdelight:cutting_board),1,工作台,木棍(minecraft:stick)×2 + 木板(#minecraft:planks)×4,
cyan_canvas_sign,青色粗布告示牌(farmersdelight:cyan_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 青色染料(#c:dyes/cyan),
cyan_hanging_canvas_sign,悬挂式青色粗布告示牌(farmersdelight:cyan_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 青色染料(#c:dyes/cyan),
dark_oak_cabinet,深色橡木橱柜(farmersdelight:dark_oak_cabinet),1,工作台,深色橡木台阶(minecraft:dark_oak_slab)×6 + 深色橡木活板门(minecraft:dark_oak_trapdoor)×2,
diamond_knife,钻石刀(farmersdelight:diamond_knife),1,工作台,钻石(minecraft:diamond) + 木棍(minecraft:stick),
egg_sandwich,夹蛋三明治(farmersdelight:egg_sandwich),1,工作台,面包(#c:foods/bread) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),
flint_knife,燧石刀(farmersdelight:flint_knife),1,工作台,燧石(minecraft:flint) + 木棍(minecraft:stick),
food_serving,{},1,厨锅(分装机制),,
fried_egg,煎蛋(farmersdelight:fried_egg),1,熔炉,鸡蛋(minecraft:egg),200刻; 经验0.35
fried_egg_from_campfire_cooking,煎蛋(farmersdelight:fried_egg),1,营火,鸡蛋(minecraft:egg),600刻; 经验0.35
fried_egg_from_smoking,煎蛋(farmersdelight:fried_egg),1,烟熏炉,鸡蛋(minecraft:egg),100刻; 经验0.35
fruit_salad,水果沙拉(farmersdelight:fruit_salad),1,工作台,苹果(minecraft:apple) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 浆果(#c:foods/berry) + 浆果(#c:foods/berry) + 南瓜片(farmersdelight:pumpkin_slice) + 碗(minecraft:bowl),
full_tatami_mat,长榻榻米垫(farmersdelight:full_tatami_mat),2,工作台,榻榻米方块(farmersdelight:tatami),
full_tatami_mat_from_halves,长榻榻米垫(farmersdelight:full_tatami_mat),1,工作台,短榻榻米垫(farmersdelight:half_tatami_mat) + 短榻榻米垫(farmersdelight:half_tatami_mat),
gleaming_salad_block,闪亮沙拉(farmersdelight:gleaming_salad_block),1,工作台,发光浆果(minecraft:glow_berries) + 蜜瓶(minecraft:honey_bottle) + 发光浆果(minecraft:glow_berries) + 番茄(#c:crops/tomato) + 金胡萝卜(minecraft:golden_carrot) + 甜菜根(#c:crops/beetroot) + 卷心菜(farmersdelight:cabbage) + 碗(minecraft:bowl) + 卷心菜(farmersdelight:cabbage),
gold_nugget_from_blasting_knife,金粒(minecraft:gold_nugget),1,高炉,金刀(farmersdelight:golden_knife),100刻; 经验0.1
gold_nugget_from_smelting_knife,金粒(minecraft:gold_nugget),1,熔炉,金刀(farmersdelight:golden_knife),200刻; 经验0.1
golden_knife,金刀(farmersdelight:golden_knife),1,工作台,金锭(minecraft:gold_ingot) + 木棍(minecraft:stick),
gray_canvas_sign,灰色粗布告示牌(farmersdelight:gray_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 灰色染料(#c:dyes/gray),
gray_hanging_canvas_sign,悬挂式灰色粗布告示牌(farmersdelight:gray_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 灰色染料(#c:dyes/gray),
green_canvas_sign,绿色粗布告示牌(farmersdelight:green_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 绿色染料(#c:dyes/green),
green_hanging_canvas_sign,悬挂式绿色粗布告示牌(farmersdelight:green_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 绿色染料(#c:dyes/green),
grilled_salmon,香烤鲑鱼(farmersdelight:grilled_salmon),1,工作台,熟鲑鱼(#c:foods/cooked_salmon) + 甜浆果(minecraft:sweet_berries) + 碗(minecraft:bowl) + 卷心菜(#c:crops/cabbage) + 洋葱(#c:crops/onion),
half_tatami_mat,短榻榻米垫(farmersdelight:half_tatami_mat),2,工作台,长榻榻米垫(farmersdelight:full_tatami_mat),
hamburger,汉堡包(farmersdelight:hamburger),1,工作台,面包(#c:foods/bread) + 牛肉饼(farmersdelight:beef_patty) + 绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato) + 洋葱(#c:crops/onion),
hanging_canvas_sign,悬挂式粗布告示牌(farmersdelight:hanging_canvas_sign),6,工作台,锁链(minecraft:chain)×2 + 原木(#minecraft:logs)×4 + 粗布(farmersdelight:canvas)×2,
honey_cookie,蜂蜜曲奇(farmersdelight:honey_cookie),8,工作台,蜜瓶(minecraft:honey_bottle) + 小麦(#c:crops/wheat) + 小麦(#c:crops/wheat),
honey_glazed_ham_block,蜜汁火腿(farmersdelight:honey_glazed_ham_block),1,工作台,甜浆果(minecraft:sweet_berries) + 蜜瓶(minecraft:honey_bottle) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 烟熏火腿(farmersdelight:smoked_ham) + 甜浆果(minecraft:sweet_berries) + 米饭(farmersdelight:cooked_rice) + 碗(minecraft:bowl) + 米饭(farmersdelight:cooked_rice),
horse_feed,马食(farmersdelight:horse_feed),1,工作台,任选其一:[干草块(minecraft:hay_block) | 稻穗捆(farmersdelight:rice_bale)] + 苹果(minecraft:apple) + 苹果(minecraft:apple) + 金胡萝卜(minecraft:golden_carrot),
iron_knife,铁刀(farmersdelight:iron_knife),1,工作台,铁锭(#c:ingots/iron) + 木棍(minecraft:stick),
iron_nugget_from_blasting_knife,铁粒(minecraft:iron_nugget),1,高炉,铁刀(farmersdelight:iron_knife),100刻; 经验0.1
iron_nugget_from_smelting_knife,铁粒(minecraft:iron_nugget),1,熔炉,铁刀(farmersdelight:iron_knife),200刻; 经验0.1
jungle_cabinet,丛林木橱柜(farmersdelight:jungle_cabinet),1,工作台,丛林木台阶(minecraft:jungle_slab)×6 + 丛林木活板门(minecraft:jungle_trapdoor)×2,
kelp_roll,海带寿司卷(farmersdelight:kelp_roll),1,工作台,米饭(farmersdelight:cooked_rice)×2 + 蔬菜(#c:foods/vegetable) + 干海带(minecraft:dried_kelp)×3,
lead_from_straw,拴绳(minecraft:lead),1,工作台,草秆(farmersdelight:straw)×5,
light_blue_canvas_sign,淡蓝色粗布告示牌(farmersdelight:light_blue_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 淡蓝色染料(#c:dyes/light_blue),
light_blue_hanging_canvas_sign,悬挂式淡蓝色粗布告示牌(farmersdelight:light_blue_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 淡蓝色染料(#c:dyes/light_blue),
light_gray_canvas_sign,淡灰色粗布告示牌(farmersdelight:light_gray_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 淡灰色染料(#c:dyes/light_gray),
light_gray_hanging_canvas_sign,悬挂式淡灰色粗布告示牌(farmersdelight:light_gray_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 淡灰色染料(#c:dyes/light_gray),
lime_canvas_sign,黄绿色粗布告示牌(farmersdelight:lime_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 黄绿色染料(#c:dyes/lime),
lime_hanging_canvas_sign,悬挂式黄绿色粗布告示牌(farmersdelight:lime_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 黄绿色染料(#c:dyes/lime),
magenta_canvas_sign,品红色粗布告示牌(farmersdelight:magenta_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 品红色染料(#c:dyes/magenta),
magenta_hanging_canvas_sign,悬挂式品红色粗布告示牌(farmersdelight:magenta_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 品红色染料(#c:dyes/magenta),
mangrove_cabinet,红树木橱柜(farmersdelight:mangrove_cabinet),1,工作台,红树木台阶(minecraft:mangrove_slab)×6 + 红树木活板门(minecraft:mangrove_trapdoor)×2,
melon_juice,西瓜汁(farmersdelight:melon_juice),1,工作台,西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 糖(minecraft:sugar) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 玻璃瓶(minecraft:glass_bottle),
melon_popsicle,西瓜冰棍(farmersdelight:melon_popsicle),1,工作台,西瓜片(minecraft:melon_slice)×4 + 冰(minecraft:ice)×2 + 木棍(minecraft:stick),
milk_bottle,奶瓶(farmersdelight:milk_bottle),4,工作台,奶桶(minecraft:milk_bucket) + 玻璃瓶(minecraft:glass_bottle) + 玻璃瓶(minecraft:glass_bottle) + 玻璃瓶(minecraft:glass_bottle) + 玻璃瓶(minecraft:glass_bottle),
milk_bucket_from_bottles,奶桶(minecraft:milk_bucket),1,工作台,桶(minecraft:bucket) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle),
mixed_salad,混合沙拉(farmersdelight:mixed_salad),1,工作台,绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato) + 甜菜根(#c:crops/beetroot) + 碗(minecraft:bowl),
mutton_wrap,羊肉卷饼(farmersdelight:mutton_wrap),1,工作台,面包(#c:foods/bread) + 熟羊肉(#c:foods/cooked_mutton) + 绿叶菜(#c:foods/leafy_green) + 洋葱(#c:crops/onion),
nether_salad,下界沙拉(farmersdelight:nether_salad),1,工作台,绯红菌(minecraft:crimson_fungus) + 诡异菌(minecraft:warped_fungus) + 碗(minecraft:bowl),
netherite_knife_smithing,下界合金刀(farmersdelight:netherite_knife),1,锻造台,下界合金升级锻造模板(minecraft:netherite_upgrade_smithing_template) + 钻石刀(farmersdelight:diamond_knife) + 下界合金锭(minecraft:netherite_ingot),
oak_cabinet,橡木橱柜(farmersdelight:oak_cabinet),1,工作台,橡木台阶(minecraft:oak_slab)×6 + 橡木活板门(minecraft:oak_trapdoor)×2,
onion,洋葱(farmersdelight:onion),9,工作台,箱装洋葱(farmersdelight:onion_crate),
onion_crate,箱装洋葱(farmersdelight:onion_crate),1,工作台,洋葱(farmersdelight:onion)×9,
orange_canvas_sign,橙色粗布告示牌(farmersdelight:orange_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 橙色染料(#c:dyes/orange),
orange_hanging_canvas_sign,悬挂式橙色粗布告示牌(farmersdelight:orange_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 橙色染料(#c:dyes/orange),
organic_compost_from_rotten_flesh,有机堆肥(farmersdelight:organic_compost),1,工作台,泥土(minecraft:dirt) + 腐肉(minecraft:rotten_flesh) + 腐肉(minecraft:rotten_flesh) + 草秆(farmersdelight:straw) + 草秆(farmersdelight:straw) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal),
organic_compost_from_tree_bark,有机堆肥(farmersdelight:organic_compost),1,工作台,泥土(minecraft:dirt) + 草秆(farmersdelight:straw) + 草秆(farmersdelight:straw) + 骨粉(minecraft:bone_meal) + 骨粉(minecraft:bone_meal) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark),
packed_mud_from_straw,泥坯(minecraft:packed_mud),2,工作台,草秆(farmersdelight:straw) + 泥巴(minecraft:mud) + 泥巴(minecraft:mud),
painting_from_canvas,画(minecraft:painting),1,工作台,木棍(minecraft:stick)×8 + 粗布(farmersdelight:canvas),
paper_from_tree_bark,纸(minecraft:paper),1,工作台,树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark) + 树皮(farmersdelight:tree_bark),
pie_crust,馅饼酥皮(farmersdelight:pie_crust),1,工作台,小麦(#c:crops/wheat)×3 + 奶(#c:drinks/milk),
pink_canvas_sign,粉红色粗布告示牌(farmersdelight:pink_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 粉红色染料(#c:dyes/pink),
pink_hanging_canvas_sign,悬挂式粉红色粗布告示牌(farmersdelight:pink_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 粉红色染料(#c:dyes/pink),
potato_crate,箱装马铃薯(farmersdelight:potato_crate),1,工作台,马铃薯(minecraft:potato)×9,
potato_from_crate,马铃薯(minecraft:potato),9,工作台,箱装马铃薯(farmersdelight:potato_crate),
pumpkin_from_slices,南瓜(minecraft:pumpkin),1,工作台,南瓜片(farmersdelight:pumpkin_slice)×4,
pumpkin_pie_from_pie_crust,南瓜派(minecraft:pumpkin_pie),2,工作台,南瓜片(farmersdelight:pumpkin_slice)×4 + 蛋(#c:eggs) + 糖(minecraft:sugar) + 馅饼酥皮(farmersdelight:pie_crust),
pumpkin_pie_from_slices,南瓜派(minecraft:pumpkin_pie),1,工作台,南瓜派切片(farmersdelight:pumpkin_pie_slice)×4,
pumpkin_seeds_from_slice,南瓜种子(minecraft:pumpkin_seeds),1,工作台,南瓜片(farmersdelight:pumpkin_slice),
purple_canvas_sign,紫色粗布告示牌(farmersdelight:purple_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 紫色染料(#c:dyes/purple),
purple_hanging_canvas_sign,悬挂式紫色粗布告示牌(farmersdelight:purple_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 紫色染料(#c:dyes/purple),
red_canvas_sign,红色粗布告示牌(farmersdelight:red_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 红色染料(#c:dyes/red),
red_hanging_canvas_sign,悬挂式红色粗布告示牌(farmersdelight:red_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 红色染料(#c:dyes/red),
rice,稻米(farmersdelight:rice),1,工作台,稻米穗(farmersdelight:rice_panicle),
rice_bag,袋装稻米(farmersdelight:rice_bag),1,工作台,稻米(farmersdelight:rice)×9,
rice_bale,稻穗捆(farmersdelight:rice_bale),1,工作台,稻米穗(farmersdelight:rice_panicle)×9,
rice_from_bag,稻米(farmersdelight:rice),9,工作台,袋装稻米(farmersdelight:rice_bag),
rice_panicle,稻米穗(farmersdelight:rice_panicle),9,工作台,稻穗捆(farmersdelight:rice_bale),
rice_roll_medley_block,寿司拼盘(farmersdelight:rice_roll_medley_block),1,工作台,海带寿司(farmersdelight:kelp_roll_slice) + 海带寿司(farmersdelight:kelp_roll_slice) + 海带寿司(farmersdelight:kelp_roll_slice) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鳕鱼寿司(farmersdelight:cod_roll) + 碗(minecraft:bowl) + 鳕鱼寿司(farmersdelight:cod_roll),
roast_chicken_block,烤鸡(farmersdelight:roast_chicken_block),1,工作台,洋葱(#c:crops/onion) + 蛋(#c:eggs) + 面包(#c:foods/bread) + 胡萝卜(#c:crops/carrot) + 熟鸡肉(minecraft:cooked_chicken) + 烤马铃薯(minecraft:baked_potato) + 胡萝卜(#c:crops/carrot) + 碗(minecraft:bowl) + 烤马铃薯(minecraft:baked_potato),
roasted_mutton_chops,烤羊排(farmersdelight:roasted_mutton_chops),1,工作台,熟羊排(farmersdelight:cooked_mutton_chops) + 甜菜根(#c:crops/beetroot) + 碗(minecraft:bowl) + 米饭(farmersdelight:cooked_rice) + 番茄(#c:crops/tomato),
rope,绳子(farmersdelight:rope),4,工作台,草秆(farmersdelight:straw)×2,
rope_fence,绳栅栏(farmersdelight:rope_fence),3,工作台,绳子(farmersdelight:rope)×4 + 木棍(minecraft:stick)×2,
rope_fence_gate,绳栅栏门(farmersdelight:rope_fence_gate),1,工作台,木棍(minecraft:stick)×4 + 绳子(farmersdelight:rope)×2,
rope_from_safety_net,绳子(farmersdelight:rope),4,工作台,安全网(farmersdelight:safety_net),
safety_net,安全网(farmersdelight:safety_net),1,工作台,绳子(farmersdelight:rope)×4,
salmon_roll,鲑鱼寿司(farmersdelight:salmon_roll),2,工作台,生鲑鱼片(farmersdelight:salmon_slice) + 生鲑鱼片(farmersdelight:salmon_slice) + 米饭(farmersdelight:cooked_rice),
scaffolding_from_canvas,脚手架(minecraft:scaffolding),6,工作台,竹子(minecraft:bamboo)×6 + 粗布(farmersdelight:canvas),
shepherds_pie_block,牧羊人派(farmersdelight:shepherds_pie_block),1,工作台,烤马铃薯(minecraft:baked_potato) + 奶(#c:drinks/milk) + 烤马铃薯(minecraft:baked_potato) + 熟羊肉(#c:foods/cooked_mutton) + 熟羊肉(#c:foods/cooked_mutton) + 熟羊肉(#c:foods/cooked_mutton) + 洋葱(#c:crops/onion) + 碗(minecraft:bowl) + 洋葱(#c:crops/onion),
skillet,煎锅(farmersdelight:skillet),1,工作台,铁锭(#c:ingots/iron)×4 + 红砖(minecraft:brick),
smoked_ham,烟熏火腿(farmersdelight:smoked_ham),1,烟熏炉,火腿(farmersdelight:ham),200刻; 经验0.35
spruce_cabinet,云杉木橱柜(farmersdelight:spruce_cabinet),1,工作台,云杉木台阶(minecraft:spruce_slab)×6 + 云杉木活板门(minecraft:spruce_trapdoor)×2,
steak_and_potatoes,牛排配马铃薯(farmersdelight:steak_and_potatoes),1,工作台,烤马铃薯(minecraft:baked_potato) + 牛排(minecraft:cooked_beef) + 碗(minecraft:bowl) + 洋葱(#c:crops/onion) + 米饭(farmersdelight:cooked_rice),
stove,炉灶(farmersdelight:stove),1,工作台,铁锭(#c:ingots/iron)×3 + 红砖块(minecraft:bricks)×4 + 营火(minecraft:campfire),
straw,草秆(farmersdelight:straw),9,工作台,草捆(farmersdelight:straw_bale),
straw_bale,草捆(farmersdelight:straw_bale),1,工作台,草秆(farmersdelight:straw)×9,
stuffed_potato,填馅马铃薯(farmersdelight:stuffed_potato),1,工作台,烤马铃薯(minecraft:baked_potato) + 熟牛肉(#c:foods/cooked_beef) + 奶(#c:drinks/milk),
