配方ID,原始配方,UNITE后状态,UNITE后配方,来源包
chopping_board/add/chocolate_pie_slice.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:chocolate_pie_slice×4 | 原料:[farmersdelight:chocolate_pie],always
chopping_board/add/kelp_roll_slice.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:kelp_roll_slice×3 | 原料:[farmersdelight:kelp_roll],always
chopping_board/add/pumpkin_slice.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:pumpkin_slice×4 | 原料:[minecraft:pumpkin],always
chopping_board/add/sweet_berry_cheesecake_slice.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:sweet_berry_cheesecake_slice×4 | 原料:[farmersdelight:sweet_berry_cheesecake],always
cooking/dumplings.json,"farmersdelight:cooking | 产物:farmersdelight:dumplings×2 | 原料:[c:foods/dough, c:crops/cabbage, c:crops/onion, ?]",修改,"farmersdelight:cooking | 产物:farmersdelight:dumplings×2 | 原料:[c:dough, c:crops/cabbage, c:crops/onion, ?]",always
cutting/tag_dough.json,farmersdelight:cutting | 产物:farmersdelight:raw_pasta× | 原料:[c:foods/dough] | 工具:knife_dig; c:tools/knife,修改,farmersdelight:cutting | 产物:farmersdelight:raw_pasta× | 原料:[c:dough] | 工具:knife_dig; c:tools/knife,always
pot/add/bacon_and_eggs.json,—,新增(KC机器),"kaleidoscope_cookery:pot | 产物:farmersdelight:bacon_and_eggs×1 | 原料:[c:eggs, c:eggs, c:foods/raw_bacon, c:foods/raw_bacon]",always
pot/add/beef_patty.json,—,新增(KC机器),kaleidoscope_cookery:pot | 产物:farmersdelight:beef_patty×1 | 原料:[farmersdelight:minced_beef],always
pot/add/cooked_bacon.json,—,新增(KC机器),kaleidoscope_cookery:pot | 产物:farmersdelight:cooked_bacon×1 | 原料:[farmersdelight:bacon],always
pot/add/cooked_chicken_cuts.json,—,新增(KC机器),kaleidoscope_cookery:pot | 产物:farmersdelight:cooked_chicken_cuts×1 | 原料:[farmersdelight:chicken_cuts],always
pot/add/cooked_cod_slice.json,—,新增(KC机器),kaleidoscope_cookery:pot | 产物:farmersdelight:cooked_cod_slice×1 | 原料:[farmersdelight:cod_slice],always
pot/add/cooked_salmon_slice.json,—,新增(KC机器),kaleidoscope_cookery:pot | 产物:farmersdelight:cooked_salmon_slice×1 | 原料:[farmersdelight:salmon_slice],always
pot/modify/fried_rice.json,—,新增(KC机器),"kaleidoscope_cookery:pot | 产物:farmersdelight:fried_rice×1 | 原料:[c:crops/rice, c:eggs, c:crops/carrot, c:crops/onion]",always
stockpot/modify/pumpkin_soup.json,—,新增(KC机器),"kaleidoscope_cookery:stockpot | 产物:farmersdelight:pumpkin_soup×1 | 原料:[farmersdelight:pumpkin_slice, c:foods/leafy_green, c:foods/raw_pork]",always
